《前方严浩翔迅速撤回一个摸头动作》
《再去上会呗》哈哈哈哈哈哈哈哈哈哈哈哈
《来》《还没商量好，你再上会儿》
他们真的没喝吗
《来自马哥我去》
《我去》
贺儿吃饭是持久战
你若安好那还得了
别吵我们宋宋在烧烤
超自然喝同一瓶水的风年
蛋团在除了舞台以外的所有犄角旮旯都有竞争意识哈哈哈
这个轰鸣声足以看出耀文开的多快
让我想到了之前问节目组是不是他们降的雨
老师们带带我们翔霖玩吧
《啥都憋不住的年纪》
起床：养成系固定节目
文轩和“小丈母娘”
哦哟家长组
时代少年团成立团体工作室！
《王者荣耀》
难得听小马说话不用调音量哈哈哈哈哈
我现在在期待一个不敢期待的东西……
《一到你俩，BGM都温柔了》
《男孩子的胜负欲啊》
怎么感觉七个蛋总是在放烟花哈哈哈哈哈
想看翔哥叫小贺
摇摇晃晃~~
我们翔霖能坐一车吗
不是啊……小贺，你喝了多少？
我轩听到有吃的立马弹起哈哈哈哈哈哈
丁会长看看我们翔霖吧
笑嘻我了耀文
支持七P
《你过奖了哈》
张哥：来吧小贺
woooooooooooo～最敢说奖给小宋
三辆车走出了不同的道路。
长点心啊，到时候被毒唯骂死了亚轩，最重要的一点，他们的关系不需要你们评判
《严盯盯上线》
《先蹿出去了》
家长组好抓马
一个月了  我们炸可算是到了内蒙了
箱子你的生日物料呢
被开玩笑的人觉得不礼貌，那就是不好的梗确实啊，但是他们的关系需要我们进入插手吗？
我要递给老天爷贺会长的祺鑫
给大家庆祝开学？？
上次这辆车坐7个人还是丁哥开的！
严浩翔这个世界上是没有你在意的人了迈
你是安全了，我的安全呢
翔哥：我凑个热闹
张哥迫不及待哈哈哈
头一回见冰红茶喝醉的
男生永远无法抗拒烟花的魅力
贺儿～
《刘耀稳》
在梦里wave
每年至少一次自驾游
路人也挺不解的，夏天鞭炮
脆的song chi
姐  搞团就是为了这几个瞬间
《前、后护法保驾护航》
你安全了，我呢？
能说“我去”说明是个好宝宝，和我一样不会说脏话，最多说个我天我去这种
你们敢抖，我有点不敢看啊
三年之期以到，翔霖复活吧！
他俩门打不开的原因是因为张哥还在睡 门外是严 懂得都懂
鑫轩新概念合作，天杀的我要看23双人舞台
没有年上宠，哪来年下疯啊啊啊啊啊啊啊翔霖绝了
哈哈哈哈哈哈哈哈这是堵了多久啊我天
醒批勇闯无人区
