大圣:坏了，遇到真猴子了
时代的眼泪
屏息凝神，屏息凝神
开幕踢大圣的第六根（
一脚把大圣锁子黄金甲踹开线了
乘胜追踢（指正）
但你在他吃桃子的时候蓄力，会被扔桃子打断
这踢到哪了？doge
看到地上的水了吗，都是大圣放的
大圣：这小子，颇有我师傅爆衣时几分姿态
大圣其实会飞踹
大圣：不可以哦
复活了，我的爱人
你当年更活泼
《全脚功夫》
中脚气了（doge
我也喝完了（自豪）
大圣∶一个大飞脚好悬没给我黄金甲踹开线喽
把大圣的锁子黄金甲踹开线
大圣:坏了我的棍法都失传了
在CG里用棍比实战多系列
没有教棍法2333333
大圣：我已经摸清他的招式了
逗川（吗喽附体）
天命人，你可以敲了
大圣:不对劲，这不是我的招，这小子另拜新师来
大圣：来 接着踢
二郎神：你知道我要说什么对吧
大圣：你手里的如意金箍棒是摆件吗？还真是
小飞棍来咯~(
你刚才想说坤坤对吧（doge）
集齐六根复活逗川了0.0
de de de decsde
堂堂大圣戏玉帝逗如来，结果被只小猴踢死
大圣小伙立正了
小飞棍？缝纫机警告（
大圣残躯死后身上全是脚气
夜凯！
大圣:锁子金甲给我踹开线了
woc？？？？？
你这天命人好奇怪呀，真的
求求喝药吧，看着难受
你复活啦！
[ohh][ohh]
[ohh]
帅哥 你谁啊
被剧透了，真无语
能不能不要把剧情相关的放在封面和标题啊？还有人没打完呢，直接就剧透了，这么大的up这点意识都没有？
国足天命人
哈哈哈哈哈哈哈
你这截图真有毒，我都替大圣感到不爽
帅
仙峰寺棍法是吧
穿模了
大圣这不也会飞踢吗
难他天
《悟空笑传之踩踩背》
失踪人口回归
一心两面肯定可以共享WiFi啊（
！
[ohh]
衣服不升级看的是真难受
我超 你谁！
就是这种神奇判定
真有点高手过招中场休息的感觉
？？？？？？
跟鲸鱼打白衣一样
我的天，我竟然还能等到你
o h h h h
？？？？？？？？？？？？
你是唯一一个玩出了猴子感觉的
好贱的感觉，哈哈哈
失踪人口回归
他急了
泪目
哈哈哈哈哈哈哈哈
你可回来了
哈哈哈哈
帅！
触发坚毅不倒了
他会
我踢白衣秀士的时候经常莫名其妙踢空
hhhhh
Oh
小飞棍来no
第一次知道
我是铁头功，我是金刚腿
九天雷霆双脚蹬
脚气给大圣熏的 都快站不住了
建议出一个变身：赤脚大仙，主打一个踢技
大圣∶一个大飞脚好悬没给我黄金甲踹开线喽
男人什么时候最慌：
发出猴叫
感谢雷军开源
阿阿阿啊啊爷青回！最爱的up终于回归了哭了呜呜呜呜
僧伽吒法门
僧伽吒法门
僧伽吒法门
僧伽吒法门
失踪人口回归
僧伽吒法门
僧伽吒法门
僧伽吒法门
僧伽吒法门
一个滑铲
僧伽吒法门
僧伽吒法门
僧伽吒法门
大圣：好强的推背感
这里应该来一句，展示容错，哈哈哈
泪目啊啊啊啊啊
失踪人口回归
申猴：小老弟，试试一口气猛喝几口，美哟
宇将军飞踢
谁？
被踢多了，大圣也会飞踢了
夏亚投胎天命人（
啊？
徐静雨流派
啊啊啊啊啊啊
鸡爪衣
牢川复活了!
亢金的雷不能挡，浮图塔的雷可以挡
[ohh]
哦
大圣：我年轻时可没这么神金
失踪人口回归
脚艺人
刚想说坤坤，是吧？
感觉大圣残躯不难啊正常流程走当时我一遍就过了
拳脚功夫
川！！！！！！！
活啦！！！！！！！！
坤坤？
这两天？这两年！
失踪人口回归
复活吧我的up
菩提祖师也干了
锁子黄金甲给我踹开线了
[ohh]
大圣火圈里还可以给石猴变身攒豆，我就是石猴蹭他火圈然后给他一个满豆打残，出去大头接棍切收尾的
大聖： 對面為什麼不用棍子
大圣：明明是我自己往后退的
666
全新的招数
二师兄：哈哈贤侄，你又空了。
闪电五连踢
有个技巧蓄力棍必中AI玩不过人
你是？
失踪人口回归
精魄被动效果还是生效的吧
这马骝去过佛山拜了黄飞鸿为师
经典水中回血外套，穿这件打大圣真的是轮椅中的轮椅，再套个避水珠和越狱兔日金乌，真的好打
大圣：丸辣
什么？
果体战队！
棍子起到一个造型作用
一个3D动作游戏，被你玩出了街霸的感觉，6666
这叫声，是天命人本人了
大圣：气笑了
有意思
出院
？你是？
[ohh]
花果山天残脚
都教先疯脚了
泪目
《什么跆拳道》
一定要再见啊，川!!!
龙场悟道！
糕手过招
我用的三尖两刃刀也不是花果山来的
一阶段一个四段豆直接打了大圣半管血，二阶段根本打不中
[ohhhhhh]
其实喝完马上滚也不会抢
先疯脚
6666
踢麻了
怂感十足
你好，曾经见过你
回血还挺快
薪王的化身pro max plus版
失踪人口回归
大圣：我年轻的时候这一脚应该直接给你踹个透明窟窿
爷青回
爷爷 你关注的up主更新了！
展示容错
一口气猛和几口，美哟
展示容错
啊啊啊！
一键立回嗯啊
欢迎回归！
发出猴叫
失踪人口回归
大圣：我真的不知道怎么反制这个
跳起来踢你膝盖
两年半 你回来了
能不能改一下标题啊？大圣多少人的偶像，被你说那么难听
什么？！
不是，你是谁？！！！
宇将军
因为看一秒少一秒是吧哈哈哈
泪目
大圣放水而已，进攻欲望再加强一些很多人又要卡住
圆月
啊
大圣：你小子是一口不给我留啊
大圣：你给我李宁踹开线了
这是谁来了？我终于等到了
？
[ohhhhh]
想起姿态那转圈圈踢贼搞笑
脚气给大圣熏的 都快站不住了
man！
死而复生
大圣：敲里哇
失踪人口回归
小飞棍老是被特效盖住看不见
师承徐静雨
大圣起始会飞踹
dark游♂戏
失踪人口回归
猴青回
欢迎回来
回来啦！！！！！
卧槽！
踹哈
被定了可以放聚形散气跑掉
踹哈！
占戈哥欠走己
二郎神更难吧
川我好想你TT
年轻人不讲武德
学我者活，像我者死，任何时候都得创新啊
来打kick!
棍头红是禁字决还在，这个葫芦的效果已经过了
nb
一个左正蹬
好悬没给我神装踹开线了，没你好果汁吃啊
失踪人口回归
活了活了！
大圣使出了连环踢
不是???????
大圣也会
广智救我
你往哪儿踢？
什么皇牌空战
他也会，那还是班门弄斧
泪目了
HHHHH
怎么还护食呢
狮子溜了！狮子溜了！
耶
爷关更！！！
霸者重装
大圣：就你会踢？
哪里的玛喽在叫
广志 救我！！！
这不带波波浪浪
带禁字决是很好打的，因为其他法术对大圣基本都没啥用
哈哈哈哈
怎么复活了？
这游戏好像投技优先度最高，精防也好铜头铁臂也好都会被投
意义明确的特写
会踹但他的飞棍是直接红的
不是，踢哪里呢？
师承假面骑士(确信
大圣：年轻人不讲武德
失踪人口回归！
哈哈哈哈哈
啊？复活啦？
国足没你我不看
李小龙飞踹传人
哈哈哈哈
徐静雨行为
我现在更不放心了
没有预输入队列覆盖导致的坐牢
？？？
头还可以换大力套，受击攒气条
人皇步说是
李小龙：飞踢！
角度刁钻
孤影众说是
忽略
感觉比杨戬稍微简单一点
李小龙标准动作：飞踢
何人打的仙峰脚
棍子是红的关我脚什么事（
啊？爷青回！
飞行道具都可以挡
大圣：这个脚给我臭迷糊了
这个解说爆笑
鲸鱼飞踢流
啊？
新人up主door传
大圣心合计，我转世就成了个这？
逗川我喜欢你，，，，，
川！！！
啊啊啊啊啊啊，，，头像也亮啦
高手过招大圣甚至知道怎么反制你的技能了
回来了！！
而且飞踢技术教的还挺不错
[ohh]
黑神话飞踢王
复活吧！额地爱人！！！
[ohhh]
坠机但是坠到了另一个飞机的螺旋桨上
哈哈哈哈哈
你是谁！！！！！！
啊?！
？？？？？？？？？
快看我发现什么不得了的东西了
仙峰脚（doge
[ohh]
[ohh]
大圣确实也会踢
走忽略
宇将军猴
其实这个飞踹大圣也会，惊不惊喜，刺不刺激
三颗没中过
失踪人口回归
大圣也踢了哈哈
三豆好了，大圣cd也好了
突然觉得好像奥运会上的乒乓球比赛，越到最后越要稳住，才能获胜！
天呐天呐天呐这是什么！
活了卧槽
手是两扇门，全靠脚打人
不好意思.大圣不仅会.还会4连踹
会的好吧，定身法+飞踹+4蓄力棍
[ohhhhhhhhh]
踢哪呢
[ohhh]
[ohh]
大圣：我怎么觉得有点不放心呢
失踪人口回归
当你在导师的研究方向上水论文的时候belike
打完二郎神之后，感觉大圣也不是很难
泪目
失踪人口回归
其实大圣是会飞踢加重击的
踹铜头铁臂会被投技吗
啊？！
许久不见，甚是想念
瞧！伙计！看我发现了谁！
[OHHHHHHHHH]
旅修技一别千里
大圣可以把你连踢到空中，比你踢得高多了
往哪儿踢呐
类目
失踪人口回归
复活吧，我的爱人！
靠的是玉……（被打）
你复活辣?！
大圣的铠甲都被踹开线了
一脚踹回了那个夏天是吧
？？？
666666666666
节目效果有了
爷青回啊啊啊啊
什么时候踹踹杨戬
