你也可以做到（Ray音）
吃剩下的蟹壳
万代：以前是给我压力，这次是直接给我往死路上壁
阿斯兰：byd我怎么进驾驶舱
如果万代机设什么的没有定稿的话，可能直接找ray，按这里的来了
万代：我今天公布要拆卸才能收纳的HG，你来拆我台？
这下真是徒手搓高达了（指魔蟹）
设计创意秒杀解体匠系列
建议卖给万代，因为我想玩，那个京宝梵都能出，这个必须得出啊
鱼的水贴本
哇，他甚至想要可动
不吃肯德基吗？（
万代：我也敢
下期食材:eg完美强袭（不是）
正义；我来组成骨架！
参加比赛估计又能拿个冠军了
万代：好办，把手和肩甲去掉
《拘束架》（幻）
ray：跟着我，你（指万代），也可以做到
万代：什么？我打RAY？
《论RAY为什么是神》
你也可以做到（doge）
万代：很简单，只塞个身体和头就行了
创制燃焰:我不到啊
创燃：在想我的事？
解体匠蟹doge
阿斯兰萨拉，正义，出击!
弹簧锁（威廉老登色）
也感谢RAY Studio团队替我们这些爱胶人士圆梦
解体匠qwq蟹
太阳炉没绷住
神中神啊，ray.我的超人！
RAY的魔蟹世界(幻听)
万代:员工们都给我学着点，这玩意咱们要卖的比酱沙还贵
万代学一学别想着坑钱了，国模现在要不就是199，要不就是299，还有铁骨
[OHHHHHHHHHH]
太有实力了
求链接!
牛逼啊
牛逼
牛逼
[OHHH]
牛逼
牛啊
[ohh]
o h h h
牛逼
牛逼
ray牛啊 还得是ray
啊？
6666666666
狗万代你看看
[ohh]
牛
牛逼
牛逼
楞着干什么，三连啊！！！
咱们一起at万代
顶峰
[OHHH]
万代：明天来上班
[ohhhh]
牛逼
卧槽卧槽卧槽
[OHH]
牛逼
牛逼
牛逼
牛逼
啊？
牛逼
买来版权，自己造吧
过了过了
牛逼
你们真是伙食好，，，，
反黑骑士装甲
万代：明天来模型部上班儿
牛逼
牛逼
[ohhhh]
不是？啊？听到BGM瞬间鸡皮疙瘩起来了
牛逼
万代：懂了，马上安排
这是真nb啊
牛逼！太牛逼了。
原来上期只是个铺垫。
反浩克装甲
牛逼
牛逼
牛逼
牛逼
牛!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[ohh]
牛逼！！
匠！！！！！！！！！！！！！！！！！！！！！！！！！！！
万代:我来量产? 真的假的?
钢铁侠
[ohh]
牛逼
这里正义亮眼灯就好了
?啊?
来了！！！！
上个链接  我要买 买买买  斯哈（口水都掉了）
[OHH]
[OHH]
[OHH]
raid模型世界
满屏牛逼+1
懂了 下次做个mg千禧年号～doge
？？？
牛逼
请收下我的膝盖
nb
猜猜这得卖多少
nb
背包好小啊
见证历史！
《just do it》
牛逼
魔蟹匠解机
nb！
预定价:999
上链接！！！！！
牛逼
[OHH]
卧槽
艺术品
牛逼
牛逼
老师我想看PG沙扎比
这才是艺术
这可以把版权卖万代了
卧槽，离谱
光是一个3d打印就够我们受的了
腰部这个折叠关节绝对是点睛之笔，实现了整个创意的可能性
牛逼啊！
[ohhhhh]
太牛逼了
好听
解体匠蟹
见证历史
wtf
太牛了
你也可以做到
我靠
你也可以做到
这联动结构
牛逼
牛逼
@RAY的模型世界 ray老师，我们想看看万代都没有做的夏亚的逆袭中的大MA阿瓦龙
YYDS正义魔蟹
牛逼啊！！！
全体起立！
