黑熊精打白衣秀士险胜，反而黑风大王打他没那么吃力
毕竟幽魂只是金池的残魂
灵虚子：我打黑熊？
希望有二郎神打大圣残躯
因为幽魂是黑风想复活金池但失败的产物肯定比不上本身
看得出来主播是带着个人情绪的（笑）
幽魂:还是原来不缺魂少魄的我厉害啊
卢 恩 熊
刘邦：你也斩白蛇？
凌虚子舔爪子是大后摇，后面BOSS都没有
黑熊精：我就是山里灵活的熊
感觉这个没什么悬念呀。灵虚子弱火呀！黑熊精第二阶段遍地是火。
白衣秀士本来血条就短，你觉得长是因为磨叽二阶段＋让他在水里回血了
白衣修士的兄长应该是杨戬吧
可爱捏
金池，幽魂，三花猫.jpg
确实，亮的地方容易过曝暗的地方又经常太黑（）
幽魂的韧性太低了
灵虚子：是我没见过的机制呢（
白色宇宙黑暗穹苍
《真假金池》
幽魂是头目，金池长老是妖王，这真的公平吗？
自己打的时候光挨打了，现在才发现这些boss的动作设计的真好
熊大圣！
《鲁智深VS浪里白条》
没有水白衣不会回血
林冲大战鲁智深（doge
这观赏性一下就上来了
嗯，打幽魂打的
如此苦苦相逼，便怪不得小生现出本相！
金池比幽魂简单，场地小怪无限给玩家回血
灵虚了：我打大王？
《旗鼓相当》
化劲！
鲁迅大战周树人
《元素化》
都不谈画质，这动作可比法环帅多了
这也太精彩了吧，侧面看出动捕的优秀
把尾巴捡起来 我让你把尾巴捡起来
白衣二阶段本来就是菜鸡
只会踩一捧一可太自卑了，笑死人
抬走抬走
这个灵虚子是从灵山那过来的，原来的凌虚子被黑熊复活后自杀了
疯虎打虎先锋
我打我自己
来啦
王八拳＋5毛特效
秀啊
a ?这mod就出了？
不是因为你先打幽魂再打金池所以才觉得金池简单？弹幕还列上次数了不知道控制变量？
没空啊，掉血了
最喜欢的斗蛐蛐环节
白衣秀士太刮了
黄旭东vs黄旭东
八戒？
你俩搁这田里摸螺蛳呢
虚化犬
我打我自己
我赌黑风大王
我赌飞凤大王
大头表示你们一起上吧，擦溜点，赶时间
金池韧性貌似更高
攻击频率都不同，，
不做商业用途违哪门子法
吸附q把狗熊大战骗出来了
沃里克vs沃利贝尔
水花是优化，不可能实时模拟水花，就是预先导出动画
土豆vs马铃薯
发芽土豆vs发芽紫薯
这位更是重在参与
太有意思了
白衣一票
灵虚子攻击欲望不高
我来助你！
特马公式化解说
好活当赏
讲究
宇将军飞踢
幽魂太容易硬直
三天不打上房揭瓦
熊大打狼人
狗狗VS狗狗
灵虚子弱火 赢不了
鲁智深大战墨龙九天
猜到了
普通刀哥大战黄金刀哥
上单狼人打狗熊
好的，你赞和币都没了
黑旋风摧毁停车场
《冲锋枪》
我想看二郎神打苇名一心
一个有二阶段一个没二阶段
黑熊的血大概是灵虚子的两倍，怎么打嘛
金池有回血挂啊
花和尚鲁智深vs白衣秀士王伦
一个低配打高配怎么打啊，没悬念啊
花里胡哨的逼伤害没有
这几个boss都不是一个等级的啊
虚化犬啊
精彩
虚化犬啊
师徒大打出手
刀哥大战关瑞生
爷最喜欢的赛博斗蛐蛐
把个角色平衡做一下 就可以做成格斗游戏了
触发连招
我勒个虚化苟啊
鲁迅vs周树人
一匹狼怎么打得过熊
这就开始有黑猴的电子斗蛐蛐了？
一张！一驰！
我打我自己
海景房不做背插太减分了
闪光大头
两个等级差好多吧 这狼好打得很
氪金了就是强
快说价钱让我死心
这招应该叫双峰贯耳
劲爆尾杀
寅虎打小黄龙
这里没水啊
凌虚子弱火，不公平
卧槽，黑风这个侧身躲
虚化犬
有毛？放火！
福瑞控
帅！
白衣还有一条血呢
what？很有看点啊
我打我自己
甚至没开二阶段
我打我的分身
被你懂完了
想看广智对战广谋
哈哈哈就知道会有！
提问：唔吼吼吼吼吼是什么招数
我草
龟星！
同场地妖王数值接近的
帅啊】
头目打妖王数值差距
大招收尾，讲究
龟星
龟星就算了
谁懂啊，家人们，黑风三遍，白衣十几遍
最喜欢的电子斗蛐蛐终于来了
我打我自己
感觉数值没平衡
青背龙打赤然龙
白衣的攻击欲望没有打玩家的时候高啊
.3.0
这不比法环斗蛐蛐好看？
演虎打黄眉
电子榨菜
灵虚子攻击欲望低
呃...软件解包 犯法吧?这样明说 没关系?
你大王还是你大王
白衣像极了我打boss的时候
幽魂主场
白衣太脆了
