细节虎先锋
黑神话 广智
空屏拿下
青头娃娃三我大圣梦碎了
bro以为自己是齐天大圣
指开局蓄满三段劈棍重击
黑神话:广智（指正）
正是在下…
风林月影，启动
灏克？？！
隔壁鲤鱼一命通关
《黑笑话：吗喽》
省流:快跑！！
黑笑话:吗喽
阿拉斯加
*请保持你的决心
真实
风灵月影!启动！
哈哈哈哈哈哈哈哈哈哈哈哈哈
三遍过广智，很难吗？
黑神话—广智
羡慕有女朋友
解压呢？
猴头下酒
哈哈哈哈哈哈
打bus
哈哈哈哈哈
黑神话:广志
20小时一周目
哈哈哈哈绷不住了
哈哈哈哈哈beng
三天都二周目了
这个游戏你开的越多，越像大圣
啊你偷窥我
黑神话：来自BOSS的嘲讽
黑神话：全是BOSS
满地的BOSS
你们谁砸电视摔手柄了
笑死我了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈
有空气墙
一天一章
5555555
“我还没出力，你就倒下了”
哈哈哈哈哈哈
省流:你给路打油
盲猜烦死了
虎先锋：怎么还没猴来？金池他们干嘛呢？
然而玩的根本不是孙悟空，有啥关系？
500年啦！！
第N次失败时：风灵月影，启动！
引起不适
解压时
还真是三天就能打完前提是有假期（）
出事儿了
红了
确实是三天通关了
俺也一样
怎么就一个怪太真实啦哈哈哈哈
我卡了两天大头儿子，，，
广智救我
三天不多啊，我两天就通了
女友：你怎么一直在打那个大头娃娃，你是不是喜欢他
贵？不好意思7000的电脑无所畏惧
说真CG说真美就太过了。但对于第一个国产3A大家的包容度还是很高
哈哈哈哈哈哈哈哈 这里太贴切了
真实（doge）
bass
世界名画之《广智救我》
一个怪哈哈哈
话说 幽魂是不是不用打
黑神话:灵虚子
居然有女朋友？？
广智救我！
哈哈哈哈哈哈哈
广智何在 速来护驾
定！！！
、
:摔炮
快去请风灵老祖！
还好我没有女友（）
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
慢慢来也行。
实际上不应该是广智救我吗？
广智救我！！
哈哈
我怀疑你在监视我
广谋的小弟比广谋nb的不是一点两点
哈哈哈哈哈哈哈哈哈哈哈迷路太真实了
一周 二周目了。 一个关卡差不多4个钟头 ，红孩儿、寅虎和大圣残躯搞死我了
两三百买的游戏就一个怪？
哈哈
深井
鲤鱼:第一章没啥难度啊？
我还真三天三十小时左右，一个普通的鬼泣怪猎黑魂玩家
