老登有一种今天玩完 明天就不在内娱干了的松弛感
我觉得有几个人更有权利回答吧。
我们不知道该怎么安慰你们，你们才能听到，但是我们会用尽全力来守护你们
缺点:巨雷登陆计划（开玩笑）
虽然因为恋爱这件事对你印象变了很多 但毕竟是看着你们长大的 还是心疼
你俩给我吓一跳。。。双子别太像了
小朱和小余要一起出道！
左航既然看他了
鑫鑫小鱼忍着痛说出来辛苦啦，未来都要好好的
苏新皓好可爱呀！
不是，高中，毕业证？
从一变灵（bushi）
很好的鑫鑫，给小余递纸
小苏眼睛红红的好心疼
张极还是挺单纯的
《遗憾是与你们错过的六年》
天亮了我的初五该出道我的初五要成为闪闪发光的大明星了
左航：喝口水压压惊
我想念我的小话唠帅帅了 o(╥﹏╥)o
我们三丝最大的遗憾就是，海边的梦想完成了，人却早已不是当初约定的人
张峻豪抬头
这里老于的表情笑死我了
“你的痛苦我都心疼想为你解决”
真正的遗憾说出来也会被剪掉吧。。唉。。。
气氛好怪啊
《镜头语言》
左航三代最强唯一RAP担
一个拆金针菇 一个拆灯
可以问朱苏这个问题嘛哈哈哈哈
但那些不经意说的话对别人造成的伤害可能是别人一辈子都无法释怀的
大家好，我是TF家族张泽禹
成为明星的代价是有很多遗憾
“就让爱我的人来救我吧”
我嘞个左……天润
c83一起出道！！！！
帅帅
帅帅和阿志要一直好好的
苏新皓苏新皓
快出道了搞这么煽情
朱志鑫在玩金针菇笑死我了
所以本来要问的是你是这里面唱歌最好的吗（狗头
虽然是对家  但希望大家都好好的
峻豪，你会后悔辜负了粉丝吗
爱赌的爸 坚强的妈和爱豆的他 宝丝祝思思妹和鑫鑫健健康康平平安安
我嘞个发小
苏在摸摸小鱼
《朋友不多，都在这桌》
顺顺，不要哭⊙﹏⊙。铲妈看着也很难受。
其实笑不用一直挂在脸上的，这是你们最后的一次真心话，想哭就哭吧，没人会在这个时候心还是冰的
“我们好不容易，我们身不由己”
产生了也没事，反正演唱会之后各过各的，又不会再相见了
他们选择了这份职业，就要承担这些，但也是从十几岁的小孩走过来的，要说遗憾多的是
我一直不咋在意的，但未免太刻意把苏新皓截掉吧，人呢？
祝君武运昌隆，愿君顶峰相见
这很真实的 友谊本来就是阶段性的 有些缘分断了就断了吧
应该问苏新皓和邓佳鑫
余宇涵在想什么呢
别这样刚擦干的眼泪又哭了，铲丝真的希望你们都好好的啊
笑死我了突然搞笑
感觉小苏快哭了 好低落的感觉宝宝
说得轻巧，造成的伤害能忘记吗
志极好可爱
《番位》
《谈恋爱好不好玩》
为什么我们家小苏镜头这么少，简简单单的就这么过吗
。大家别玩梗了，行吗？
不是…这个问题真有意思
吓我一跳我以为左航呢
那苏新皓受过的伤害算什么呢
偷喝苏新皓的水！
我嘞个水灵灵的涵坤
这两个问题都很犀利
《善良》
前面的，不是老铁顺在说他爷爷去世的时候，能别提丹吗
峻豪不哭爷爷会在天上保佑你平平安安
小禹禹站在边边角角的那些年
9（6翻了）
不用怀疑哥们儿 你确实说唱最好
这是能问的？！（但好像该问的另有其人
左航邓佳鑫手牵手一起出道吧，不要再放开彼此了
《妈生鼻》
要出道了开始搞团魂。。有啥意义。之前。。唉。。
“大家好，我是苏新皓”
这波回得好
左邓一起成为大明星吧
我哭了，不是粉，真心希望小鱼能出道，他综合实力绝对能排进前五
我认了，我们登真的就是同事而已。。。。。
一定要去搞这嘛，聊点儿开心的不好吗？好不容易来海边
那么多遗憾一时竟不知从何说起
张极净说大实话
谁不委屈 但是其他人的委屈加起来还没有苏新皓一个人受的委屈多 你要我怎么不计前嫌
更爱朱志鑫了
毛哥心疼余宇涵吧
苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓
后悔谈恋爱没藏好了
现在就别在这玩梗了行吗？真的很难受。。。
左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航
永远忘不了左航得第一你们是怎么说左航的
张泽禹游戏王实锤！
我们泽禹赢了
上热搜呦～
祝君武运昌隆，愿君顶峰相见
陈浚铭
勇敢一点，对左航说
高中毕业了不高考吗？
宝宝是不是哭了
他又不是不懂自己的身份 只是心善怕ts尴尬
张峻豪：？
“以十三人打破规则，手牵手，一起出道”
谈恋爱没藏好
宠物猪调解家庭纠纷
这个镜头切的好
不是，十一个朋友很少吗？我一个都没有
没必要在这上面骂吧
小苏好嫩
咋着be4换豪丞左邓了
苏苏你别又要被骂了…
你们说这个余宇涵是什么心情啊
左航三代第一且唯一rap
豹豹猫猫我开饭了
芒猴八嘎闺蜜头……
苏新皓好可爱啊呜呜呜
张峻豪说唱确实强
小鱼小鱼快快游，四面八方皆自由！小鱼小鱼快快游，四面八方皆自由！小鱼小鱼快快游，四面八方皆自由！
妈呀补药放c83了。。。
顺最大的遗憾可能是辜负了小时候的努力吧
小苏为什么一直低着头呀
张泽禹张极成名在望！
左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担
极禹双c出道
哪里都好 每个人也没变 就是我的苏朱没有像之前一样开心了
