女儿唯一清醒又理智的存在
女儿才是我心里的想法
有什么原因，同样是境遇一落千丈，妻子可以抬头向前还照顾家里人，他就超雄？
是女主造成的吗？
因为写作比赛停办了，凯利再不攒钱真的生活不了，人都是逼出来的
f5丈夫总算干了件人事
电影是电影，现实中的你不应该为了一个人牺牲自己，不要做自我感动
可生活又哪有这么多喜剧？
要摆脱自卑，是要自己努力，而不是否认妻子的付出
真正的女性力量，伟大
求求别说理想母亲了，她真的好苦啊，她的强大没给她带来自己的生活
最大的感受是，女主是个很厉害的人
这女主是真正有智慧的人
她是凭实力赢，不是比运气那种抽奖，但也觉得科幻
犹豫是在思考女儿为什么会问这种问题，
没有凯莉，伊芙琳会更幸福
确实这个家没有他会更幸福
“第一次吃了别人做的饭”
正确的思路应该是谁不珍惜谁就该被放弃包括小孩
不是运气，是她写作得来的奖
飞舞丈夫
因为他清楚的知道自己的窝囊。所以他恨妻子的能力，又离不开妻子的能力
勇敢去做！
这是家里的大儿子，不是爸爸
小曲响起~
“每次回来都会带点东西”“填满冰箱哪怕需要一年时间”
女儿才能共情母亲
理解他，谁理解女主，女主这么拼是为了谁
《神金》
凯里：伊芙林的大宝
对凯利来说确实没什么大不了，他是家庭的受益者
我认为不是不抛弃丈夫，而是不让孩子收到错误的影响
应该是是孩子的原因不离婚，十个孩子呢
这样的女人如果自己一个人过日子不知道得有多幸福
心疼啥啊，就记得自己干了这两件事，然后自我感动认为其他人都不理解自己赢麻了呵呵
这部片子有点把人带歪了，这么有才能的女主值得更美好的人生，至少不要这么艰难痛苦
尊严是他自己打击的，不是靠别人给的
都酒精中毒了，可能吗？这也是编剧为了男性角色，给他一个台阶儿吧。
不是环境造就了她，而是她能在这样的环境中依旧强大
越看越超雄
女主丈夫跟个小孩子一样，但却比小孩子还让人闹心
不敢想象伊芙琳要是一个人该过得有多滋润
这丈夫的心智只有3岁
本片由真实故事改编，高血压患者请谨慎观看！
她值得！！！蕾姆了
？
失去优点，却没失去高傲
美国经济繁荣时期的商家都好良心啊，真么多活动
老婆确实是好老婆
她会把女儿培养成下一个像她一样的妻子么，以乐观坚韧去滋养巨婴丈夫
《你总会想出些办法的》
那也要更努力地为一个单方面付出的“家庭”继续付出？
第一反应应该是扶她起来啊
《滑倒》
"""由真实故事改编""好沉痛的事实"
《本想》《放心了》《妻子做饭》《原来是贷款了》
侯默能提供情绪价值
《素食主义者》
我是旷工，这就是神金
看着伊芙琳的手臂真的心疼
简直Frank附身
妻子可以为丈夫的成功感到骄傲，但丈夫却不会为妻子骄傲？
这位母亲在哪儿都会大有所为
发现没 在这里，妻子还在为丈夫说话
不是无法感到骄傲，是自己的尊严受到打击了。
丝滑连招
还以为不火了 原来是来早了（dog
怎么离婚？五十年代，没有女性岗位，还有十个孩子，咋离？
姐姐是写作的天才，她本不应该被困在柴米油盐中的
好
闯祸的都是儿子 开车的最终是女儿 编剧绝了
她真的好无私，让人好心疼
《我的26个女房客》直呼内行
其实妻子不离婚是为了锻炼孩子们，教会孩子们如何保证情绪稳定
小头控制大头了
他无法为他的妻子而感到骄傲
感觉一般男生自卑会发怒，女生自卑会责怪自己，事实上自卑怪不了任何人，你都需要克服这种心态
离了吧，以她自己的才华难道不可以生活？
劣质的婚姻只会把你拖向深渊，不要把另一半当成三岁小孩无条件的收拾烂摊子
被这样期待更是一种压力
只要父亲不改变，母亲在努力得来的收获都将被父亲送给别人
《幸福》
父亲不改变这个家还是会有原来的路！
他上辈子是拯救了银河系吗能娶到这么好妻子
《情绪稳定的妻子》
生那么多，每一个孩子教得好
这不是运气，这是一个才女拼尽全力
这部片子有点把人带歪了，这么有才能的女主值得更美好的人生，至少不要这么艰难痛苦
《轻松》
这些年她所做的一切，已经赢下了她的独特人生
她情绪真的好稳定
犹豫了就是答案
一会儿全部变成菌兽（bushi
男主是从开局就失去一切的那个人
天 这样任何事不责怪其实会造成大祸的
情绪稳定的女子拳击队
这才真的是顶起半边天的妇女
知道自己没什么贡献就好好照顾家里，别搁那还有什么情绪怨天怨地怨家人的
集帅天生拥有冷静思考的能力
阳刚先生天生理性大英雄大丈夫大老爷们
活爹
不是，你不教小孩，他下次还是这样，另一个儿子偷窃证明她这种教育方式不行（）
所以呢？？你很厉害所以就甘愿受这个男人的拖累吗
下头男被笼罩在自立女性的光环下
这种电影请问要表达个什么…
什么笔超雄
大家都承认的就是大众艺术，小部分人承认就是小众艺术
我老公也是这样，年三十万，但生活费给的很少，也会发怒我没在日常买的东西里给他最想要的高奢
没苦硬吃
不要给你已经受伤的家人任何压力。因为来自他们自我怀疑的压力就很大了。
好理智的男士
我爸也这样。。
现实是男女双方共同努力。或许有些人的努力却不被看见。
最擅长且出色的天赋被毁了，又有几个人能真正乐观面对呢
鳄鱼的眼泪。
男的就是cheap
一针见血的
他甚至还在工作，比大部分父亲要好
女主能不能鲨了男主啊
为什么男人的对不起总是这么难说出口
所以呢
终于，太好了
非要这个男的才能活吗？没这个男就活不了是吧？
我的家庭就是这样的……
我受不了这个男的了。
我很同情这个男人，毕竟什么都做不上
科幻片
有一种祖国人的感觉
强行洗白。
为什么n她要忍受她不该忍受的痛苦，她本可以过的更好
有必要吗 至于吗
终于死了
？
？
八嘎牙路!!!
你们这么认为是你们太俗了 这母亲很理性而已
进度条过半父亲依然没有成长
哇塞，我要疯了。
666
我本来以为这个电影是现代女权主义故意黑化男性的，感觉太极端了，结果是现实[笑哭]
唉
现实比电影来的更魔幻。电影来源于现实，却脱离于现实，那是美化现实
现在也多的是这种明明女的更强但还要照顾男的自尊心的家庭，下一代不会了
我的天
这还是人吗
好牛逼 她情绪处理能力好强
赶紧去旅游啊
梅姨很牛的
哎
赶紧离婚 甩开渣男
赶紧离婚吧
离婚就好
好窒息…
这个真的好用，我在英国用
nb
私募弹幕
深井
梅姨啊
梅姨
神经
男人没钱 很难有地位 中外都差不多
典型的美国人美国电影
啥家庭阿就生10个
那个年代没有避孕措施吗
？
纯科幻片
过去那种男尊女卑的大环境没那么容易改变，到现在依然难说已经改变了
少拍这种电影对社会更有益处
我们不应该歌颂苦难，苦难就是苦难，它并不能给人带来任何欢愉和裨益
you should have it
嘉然和马文杰一起看过
一边顾10个孩子一边写作得奖，哪有这么容易
有什么问题吗
神父可能象征整个传统社会对妻子的规训
有些人本来down一沾酒色更堕落
怕你们没整明白，他们爸一直在工厂上班的
完全理解不了
终于没了
只要这个父亲还这样，日子永远都不会好
？
这是个歌颂女性的电影
美国的家庭要依靠不确定的中奖为生
尊重祝福吧
讽刺
何必呢？又穷又生这么多，一味忍忍忍
他不是撒气，他只是生病了
？
。。。不会再买
好窒息
所以我很好奇为什么生了10个孩子…
神金
这丈夫…
就是fw
不要啊
而他说女人能顶半边天
你有什么资格说这些？
这不离婚？
谢谢，刚打转的眼泪硬生生回去了
越南战争
笑死，一群未经他人苦的疯狂说别人玻璃心…
谁信么？？
为什么不改变丈夫，有这么难么？带着孩子受苦
有些人自私自利却看不得别人的无私
真的，他参与的大小活动写的讲什么的？真是。还要承担十个孩子的生活。太厉害了。
fw
你不改变这个家就不会改变
这电影想表达什么呀？我到现在只能看到一个父亲没做到父亲的职责
他是不是要开始霉运了？？
我不曾见过太阳，或许能忍受黑暗
我还以为男的是作家
大男子主义魅力时刻
哈基人应激了
心疼个机䃻，这是正常皮肤，有些人皮肤天生就是这样的
恐龙先生的暗恋对象
估计不是幸运，而是自己有一笔钱吧
啊？
不是，软饭不香吗？我羡慕死了好吗
真事改编科幻片
