创到空气墙了
坠机了
黑神话马喽
英雄碎片
土豆子发芽了
五灵变身:石甲能！
黑熊精：跑路了，兄弟
这个二郎神是假的吧
以贪求不贪
我有一颗除妖的心，但我自己就是妖
曼巴out
剧情解说，你说不要剧透，无敌了
猴哥是想保全他的猴子猴孙，不然天庭拿他没办法
孙悟空:大号没了，现在注册了个小号
真是讽刺啊，当一个人要用一个物品来表示自己成功的话，那这个人本身就是不成功的。
s级英雄孙悟空碎片
致敬传奇变脸王，黑熊精
刀哥
金箍不是取完经就摘了吗
这金池长老是犹太人吗？一直问我加沙在哪
黑熊精貌似到现在不知道大火的缘由
牢熊坠机了
黑神话广智
黑神话广智
扮演的广智（确信）
物理超度确信
有种跟我来山顶，慧慧
风灵月影宗启动!
风灵月影，启动！
《六魂》
风灵月影
坠机了
CF齐天大圣套装
这里孙悟空是故意让杨戬把他杀死的，后面战胜杨戬后杨戬有说
鲤鱼啥时候火到这个地步了？
感觉....像命座？
跟鲤鱼有什么关系吗？
鲤鱼一遍过
吗喽
观音不是解了紧箍吗？
是天庭耍了个花招 把悟空本来带的金箍换成了紧箍！
金箍不是取完真经后就自动脱落了吗？
二郎神应该是真的
悟空小号
哈马斯金池
电脑配置不行的我，也就只能看看了
刀哥（确信）
说西方的，你根本读不懂西游记
原著孙悟空是杀不死的
666，变脸不扣豆，开桂了
杨戬是真的
《我们家悟空》
可能摘掉的只是金箍，紧箍咒还能有用
第六根在杨戬身上。最后的真结局吗？就是。女人获得了大圣的记忆，没有带上。紧箍，然后呢？就在花果山逍遥自在。也算完成了。孙悟空的任务。
幻影忍者前情提要
打了五次，，
还有刀哥
大圣不会死总有一天他会踩着筋斗云回来的
泉州东西塔吗？
广智救我
我不贪婪，我就不会在意我成为了圣僧
其实广志并没有后面的虎哥和石猿好用
如若不披上那袈裟，何来的成佛之机？
两遍过，白衣秀士卡了我挺久，那里有水，有点掉帧。
开头歌曲哪位好心人知道呀，求求啦
更新的赞我，谢谢！谢谢啦
英雄碎片
“师父曾告诫，若做错事，定会寻我惩戒。当我大闹天宫，打上凌霄宝殿，他老人家并没有出现阻拦，我便知道，我没有错！”
圣诞快乐劳伦斯先生
笑死我了
复活赛，致敬传奇大闹王牢孙
400w的天命人
第一集《猴王出事》
幻影忍者前情提要
一次过的
牙签长老
什么地狱笑话
kid
如来：我嘞个擦，我滴人你们都敢管？
黑（曼巴）熊精坠机了
义父
◇◇◇◇
圣遗物
有成佛的念想就已经有了贪念了
修佛修的就是六根清净
这六种灵器是代表人的六根吗…
吴承恩:我也要玩
刀哥
圣遗物
有证据吗？你就在这胡说，妖言惑众
大圣碎片吗
冷知识:二郎神也会七十二变
想不被剧透的可以走了
识时务者为俊杰
黑神话广智
二郎神是假的，那他为什么知道孙悟空的“意”为什么会有和孙悟空结拜的记忆，为什么记忆中会有孙悟空说过那些话，怎么着当时杨戬擒悟空其实是青狮擒悟空呗
这个大圣感冒了吧
说金翅大鹏的都是神金
什么天命人，是广智（doge）
撞空气墙了
不难的，一遍过
大人饶命啊，我从小的愿望就是成为彼岸的一份子啊！
金箍不是被摘了吗？
黑神话：广智
其实黑熊精是观音自己把他放回来的
西方怎么搞把强大的我们放在花果山任由发展
这不是杨戬 是假的 都是假的
3次过
刀哥，你头上长草了
悟空，悟空，终究悟了空。
牢大
幻视成科比
取景地在我们山西
金池：说我没活，昨天咬打火机烧着了，禅院烧没了经没七百多
穢土転生の術
6颗无限宝石。
《孙悟空碎片》
变成天命人的坐骑了
刀哥本色出演
主角是悟空神魂化身之一的心，心猿
鲤鱼小鬼又来了
刀哥
之前大圣有这师弟八戒和天上佛仙帮助才拿得妖怪，这下天命人得一人单打独斗，难难难
是我超度了他们，是我重建了寺院，我做到了那个男人没有做到的事（雾）
马云：我对钱没有兴趣
坠机了
这里坚持长老指的“你”是黑熊精吗？
程之
飞舞刀
取那么多钱，让他成为大神，可谁曾问过他自己是否想成为？
《sci》
魂魄虽死，神魂仍存
那是天命人  悟空早死了↑
《打上灵霄宝殿》dogs
哈克南男爵（幻视）
无处不在的月计人
别造谣就是二郎神
狮驼岭也是伏笔了，可惜时间太紧没做出来
杨戬是真的
假的会跟你一个天命人说这么多？火眼金睛看不出也能开三眼
懂了，玩家是孙悟饭
我叮~一下就过了
泉州东西塔
蜀面豪杰
大圣不一定能打过大鹏鸟
首先围攻大圣这件事是观音让他去的，再者灵物是最后杨戬分的
黑熊鲁智深
金池长老=以色列
刀哥
紧箍咒是种咒
满命大圣
六个命之座
原著好像是撞墙紫砂了
出金了！
不是烧完之后，发现袈裟不见，一头撞在墙上四的吗
火皮ky麻了
悟空的容器
传说之下
诺知后事如何，请听下回分解
以色裂长老
大圣一直是偏道家的
大圣:榜前十的大号被永封了，建个小号玩玩
六命孙悟空
这是场戏
刀哥
用听得懂的意思来说就是，你会信大禅院里的金身菩萨，还是烂庙里的泥菩萨
这个二郎神是真的，不然的话，什么妖怪能跟我们家悟空都不开
黑奴隶 广智
二郎神就是本来的二郎神，不然的话，什么妖怪能跟我们家大圣打五五开？
我乃主角光环
金刀哥
冷知识：金池长老有270岁
黄金土豆插牙签
后来有人似你三分，我便慌了神
在那一瞬间，我仿佛看见他回来了
没死呢，集齐六个法宝又活了
证明自己的价值吗
盲猜老猴是菩提，一遍又一遍的试着再次寻回他的徒弟
盲猜这猴，是菩提
666烟斗不带烟
输了就想逃你玩不起没有实力
man！
此时此刻你莫不是在说笑
牛逼啊
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
这不就是讽刺古代朝堂吗？当你帮皇上打下了江山，而你又过于牛啤，那你就别想活着隐退
其实应该叫，黑马喽！神化
为什么这圣物是只细麻雀？
不会开几个神秘小按钮打开武魂真身吗？
天命人是玩家而操作的是一只猴子
脑叶公司
两次过
广智逃跑流
广智救我！
山下唐僧发力了
大圣不可能死了
你操纵的是天命人
感觉这里的语音好像杨超越
刀哥你怎么头上长草了
广智救我
黑神话 广智
伏地魔
广智要杀，广谋要烧
讽刺
更了赞我，谢谢
刀哥你头上咋长刺了
二郎神大罗金仙，猴子也是，怎么能打不过呢
孙悟空怎么会死呢
这个应该是大圣的手下，不然也不可能这么忠心耿耿
坠机了
我听别人说第1个是镀了金身的，精英怪呀
但是呢，你你一旦解锁可以变成广志，这个游戏就变成了黑神话广智
可能是别的玩家来玩了
但是可能天命的人就是其中一件
是天命人
感觉像是听书
广智，广谋，这袈裟我不要了，你们别烧了！
蜀面豪杰
天命人再强 他也只是个天命人 大圣再弱 他也好歹也是个大圣
这里怎么是虎皮裙？？？
说的是齐天大圣是为了和二郎神赌，能不能将金箍取下来，而选择自杀的吗？
有点想哭了
小圣说的不是二郎吗
注意背景是，被烧掉的寺庙。
小西天土地，在此恭迎天明人
不是腰缠万贯，怎么会跟大家说我对钱一点兴趣都没有，你细品
帮帮我广志先生
666循环是吧？
鲤鱼难道要给你看很多失败片段吗他不会剪辑吗
花果山猴子们生死簿被改了，早就不是普通猴子了
哎呦喂，刀哥头上长草了
刀哥
是广志
如果把那个天命之人改成那个孙悟空转世呢
主角是悟空神魂化身之一的心，心猿
你还我你还我
全球4亿天命人了
金箍不是取完金就摘的吗
