一个人连续打了4小时大头，她的心态是这么变化的
撑死虎先锋也是一种打法
幽魂可以绕但绕了就没头槌了
好可爱
大树守卫教做人
知道为啥这游戏没有死亡惩罚了吧
看似不经意间的指路“右边走”
记住这个笑容
大头教你不犯贪念，不犯嗔怒
我遇到大头的时候没有出现结界 就表明大头可打可不打
此时应该立棍式接戳棍式先输出一波再说
虽然你是齐天大圣，但对面也是清源妙道二郎显圣真君。
别打虎先锋太难了，直接去打小黄龙
《理论上讲》
这关相当于新手军训（XD）
类似艾尔登法环的大树守卫
大树守卫
十里坡剑神
我投币，你们倒是把后面的剧情放出来呀
4级打了两遍
10级过的，还专门去旁边绕路刷了一下等级
降维打击
先打广志再打大头就容易多了，不过我也先打的大头，现在卡在大圣那里了
0HHHH
13
拿了广智两命过
我们是冠军！
纯黑可不是一般人好吗
对我们这些成为艾尔登之王来说简单，我武士开局打赢过大树守卫
我打虎先锋的时候都没有三蓄力
[OHH]
再买一台
那还不饿死了？
这玩意出门打了几次就过了。。
三段蓄力打大头
锁定真是肌肉记忆
13
哈哈哈哈哈哈哈
算账了 盘小头
我也是开局就打的。。。
P5r
每个人
不 晚上可以玩小头（doge）
哈哈哈哈
折磨
大头都能打4个小时。。。
12级过
冷知识吃西瓜上火，西瓜皮才降火
虎先锋真比大头简单多了，
哈哈哈哈哈哈
？？？
纯黑 无敌
后面还有黄眉呢
？
没打过自己好好反思一下，有没有买蔚来，有没有去换电
是不是要来了
就一直打硬直就好了··基本可以半 无限连杀··
还能进洞？
哈哈··
就是1个AOE+前方冲击波 很难么？
虎先锋很容易啊·难的事出浑天钢的 小黄龙+毒敌先锋·我各死30次+、
应该先打广智再打幽魂
大头我打了俩小时，白衣我一次就过了。。
六级
我就不习惯用手柄，用手柄打的巨烂
下饭哈哈
还有白衣秀士等着你呢
两层棍势打大头很好打 敲他破招就完事了
被打得目光呆滞
21级过
都能三段棍术了
我也卡了几小时，打不过练级加点才过的
《哪个是steam啊》
后面还有白衣秀士
笑容逐渐消失
信心满满
为什么都有三级棍势了
我起来了
5级左右吧
6666666越级打怪
23级
我看我老公打的，然后我接着玩儿后面的了，感觉都挺好打的，现在打到虎先锋，有点儿卡住了
虎先锋一家三口都是快慢刀，很恶心，打正常BOSS都没觉得有那么难受
为什么没有外卖广告
虎先锋最恶心的地方在于快慢刀，打了别的BOSS，节奏快了，突然来一个快快慢之后，节奏被打很乱
大头我三次过
还好吧，打这玩意有点不熟悉技能，但也是丝血反杀，比TM崩坏三一些boos简单点
没死
12级过的
喜欢
好厚的血
啊？
我了个3豆
白衣太难了
1遍过
广智：？
五级 我先去后面把庙开了就来跟他死磕，
不触发连招？
oh
14级
牛皮
这么好的老婆。
看黑哥的视频更郁闷了
哈哈哈笑死我了
突然感觉鲤鱼ace好厉害啊
你们冲击波怎么躲的兄弟们
[ohh]
冲击波我永远躲不过去
后面的好像是mb自由
七龙珠 ：悟空
哈哈哈哈
因为先看到了这个
。。第一章BOSS全清通关才花了两个半小时不到，还有半小时编辑染色器。
7级？
错误的安利doge
[Ohhhh]
白天打大头，晚上打小头
虎先锋我一次过
这转场！
快哭了
6级打的
8级
22
是两口子吗？为什么抱她的时候犹豫了
先打广志
坐鞭上？
这种情况，他只是说你有毛病，证明他是真爱你啊哈哈
体大弱门
没有死
打大头的时候都有三级棍势了说是
[OHHHHHHHHHH]
[ohhhhhhh]
[ohh]
11级
666666
虎先锋：外卖到了？快送来
虎先锋：waimaidoa
算 账
啊？这大头我玩的时候直接没看到啊。。。
卡在第四章小金龙和毒敌大王。心态一蹦
友情努力胜利
当你重棍打下去他僵直了就应该知道我怎么无脑打了
我升了十几级在这，然后去广智，回来还是打不过，20级才过
锁定要按摇杆有点蛋疼，我全开自动了
[ohh]
暴种子了？
会定诶
好好好
你打过了光头就意味着，基本没有任何难度了
手柄广告在哪里
不是，把我们当套？
ps版本没有锁定难度翻倍
放心所有人都会卡一卡
哈哈哈
我卡的白衣秀士。那货两条血。
牛逼了，都三个豆了，我过的时候才一个豆
金池长老多简单啊 还能回血
卧槽
8级
我没有，略略略
6级过
卧槽 打这玩意打到12级 真离谱
哈哈哈哈哈哈
确实简单 我黑熊 虎先锋 白龙  黄眉全是一遍过
5
？
没绷住
我也想要一个精英手柄
我草
牛逼的 广智都不打
SEED
50
三里棍势是20以上了
喜欢
坏批一个
这玩意我20级过的。。
7级
留体力啊
8级
10级过的
卡了将近5个小时。
2蓄力打的虎先锋
广智带的
一次过
强自上了啊
我打黄风大圣的时候才22级。。。当时基本没咋卡，大部分初见过，打的最多就是大头，打了4次
你是一头驴
[ohh]
找广智呀
怒目
10
教科书上的题和实际考试中的题
我25级过的
成长=三级棍势
27级过黑熊，43级过黄风，69级过黄眉。。。现在在黄花观晃悠这应该是普遍现象吧
5级过，但是只点了3点，忘记要点技能~
打了三遍才过，是有点厉害
广智老儿速来救我
大头还好吧，也就10次左右过了。没广智
不卡，很轻松
chusheng
5级
初见无伤
没有BGM赢不了
15分钟三级过了。。真的难吗。。
啊？你都有三段重棍啦？
5级的时候打的，打完8级
黑风大王一次过哎这个也会卡吗
卡这里的是有多菜？
没怎么卡，好像十条命之内打过的
差不多200级
新手质检官了属实打了七次还是八次来着
12
3 级棍势你是升了多少级
虎先锋菜的两把带走
哈哈哈哈 笑死我了
8 级就过了
谁家水壶开了？（dog）
2 小时打了 5 个 boss 是什么水平
细说算账
我打到13级过的，纯苟，开了两发广智
玩了7小时这里还没过
太可怜了，看见一个心甘情愿被骗的女人
已经三豆了吗
打他小头
谢宝好大
7级过的大头
算一下要交多少公粮了
不先去找广智吗
怎么不打了？是不想打吗？啊？还是不爱打？（doge）
7级过
准备
大头半小时过的
风洞
你说玩了一天的大头是游戏里的大头还是你老公的大头？
灵虚子是送的
不会不会，但是我想问一下，你这游戏怎么就一个怪呀
音容宛在
哈哈哈哈
13
我玩你！起来！能不能给我玩？
我喜欢
一命通关的别吹牛逼 不开外挂没人可以一命通关
我去
10级
忘了，就打了三遍
没拿变身就故意让去右边打大头 其实挺恶心了
血亏
10级还行，我打完广志好像是12级
打完广志再去打的
下饭
11
这几个小怪让我升了七 八级
还真是，虎先锋目前是我卡最多次的怪，卡了半小时
快回忆起来 以前怎么打大树守卫的
喜欢
13
后面有wip内容
在这硬升到8级，才过
三次过，要拿到广智
[ohhhhhhhhhhhhhhh]
广智两遍过，幽魂我卡了一个多小时，硬莽过去的
喜欢
200、
4遍过
6
先打广智啊
这是哪？我都没进过
nb
激动不已
哈哈哈哈哈哈
ooooo
12级
吃硬直
我10级过的
红温了
哈哈哈哈哈哈
原地趣事哈哈哈哈
求解虎先锋和蓝大头有啥难的吗- -
逐渐崩溃
痛苦面具
10级
9
4
三级蓄力最牛皮
广智:怎么还没来
狂打狗哥小头！！！
哈哈
看看老戴老师就可以  纯黑太高级了
没事，我第一个boss是帮朋友打的虎先锋，坐牢一小时过了
我玩你。起来
哈哈哈哈哈哈哈哈哈
小狗不是去上海了吗？
所以这个时候不能死磕，换换脑子就好了
接着就是打老公了
8
13级还在打大头
p5r哈哈哈哈哈哈哈哈联动了吗
四五次吧，还挺顺利的
虾仁猪心
[ohhh]
13
毕竟打了好几个小时一直在用力抠按键哈哈哈
13
[ohhhhh]
基拉给你加油
这个还行 白衣秀士 真给我卡麻了
一阵强劲的音乐响起
我6个小时
啥？虎先锋？标题不是大头吗？
11
这个打不过进去也是卡关而已
3
哈哈哈哈哈哈哈
你家水开了
[OHH]
少爷牛！！
43次
哈哈哈三级蓄力都出来了
首发玩的基本都是直接打的
10级
吃瓜群众-狗哥
灭霸
红温了快
没有
↓出了人种袋的亢金星君↓
这boss就是得死磕着打，抢在对方出招之前把硬直打出来就能连好几套
11
大概是6级好像
11
大头就是游科让你认识魂游和黑猴区别的boss，按魂游玩闪避偷刀流必死，就是得冲上去莽着打才行
捧杀
现在二十三级还在和黑熊精打顶上之战
我也是十多级过得
狗哥：先点菜先点菜（）
霍金：您礼貌吗？
这bgm
我也卡在这了 99级了都
啊 gp都会了吗
风灵月影
7
气势仿佛是打死了杨戬！！！
23级才过的。。。
但是绕过的话少一个非常强的化身
你看，又急
这是中国的孙悟空不是卡卡罗特别乱配乐
三豆至少20级以上
打不过游戏，我还打不过你！！！
3级一把过
没感觉幽魂有这么难啊。。。很多人节目效果吧。。。
8级的时候过的 大头儿子
《赢一把就睡》
有没有一种可能，图标正面有字？？？doge
[ohh]
[ohh]
7级
我卡的是广智
慢慢会打了就感觉很好打后面金池黑熊都是初见过
卡到10级
我卡了半个多小时就过了
[ohh]
确实是训练的，提前了解金池长老出招 doge
一股强劲的音乐响起
我们是冠军！
这是高手
3棍了，我去
广智快救一下
哈哈哈哈哈哈哈哈哈哈哈
这么菜你还点什么菜
哈哈哈哈哈哈哈哈哈哈哈
丸辣
