此时一个人自信满满的翻出了纱巾
我只能说古偶是史
御剑怜侍（雾）
御剑怜侍
先收藏，等下辈子投胎成女孩的时候再用
太子妃升职记御用服装组长
小时候我要是有这种视频，直接给我香迷糊了
我不敢想我小时候要是看到这个视频会有多高兴
我小时候老拿我家床单这么穿
有《红楼梦》那味儿了
小时候要会这么变 我绝对是村花
oc先穿
？
丝巾仙人
6666厉害
小时候披着丝巾是我的梦啊
发生什么事了
没眨眼啊？？？
南无阿弥陀佛
我现在想去买这三条丝巾……
手好巧
挺好看的，哈哈
啊？
啊？
啊？
我小时候要看到这个就好了
好漂亮…
厉害
这不是湘玉嘛～
这款像小姐夜里偷溜出去的披风装
天黑了
别说，真挺好看
6
啊？
我小时候用窗帘干过，还有拖的尾巴
省流:床单仙子
寻妹眨
不热吗
联系工厂，然后把丝巾上架，我要买
这不是黑熊精吗
牛比啊！
谢谢你，这下不用买汉服了，这几个款都好看
第一款第四款最好看
竟然还有这么多款式
好像林青霞那套古装
真的很古装诶
啊？
啊？
啊
啊？
啊？
啊？
牛逼
还有高手？
郡主
是三角肌
好强！
我靠！！！！！
太厉害了
啊？
天才
好看！
这套好看，侠女
好厉害
太牛了
太棒了
啊？
这下看懂了
魔法
天才
啊？
颜色有一点土
可以
大如但凡请你去做造型也不至于那么丑
高手
确实6
没人想要四斤的链接吗
哇塞
WC，牛
哈哈哈哈哈哈哈
看完了，她，会魔法吧？好聪明啊！
是美颜，他开了美颜
？
？
替闺女收藏了
求丝巾尺寸
厉害啊
依萍跳桥装
啊？
王熙凤
天都拍黑了
啊？
我靠
天才
啊？
啊？
天衣无缝就是这么来的
厉害
我靠
我趣
这套好看
咋这么聪明
我勒个豆
小时候用床单的加一
果然，古人的审美还是超前的
买买买
省流：没眨眼
？？？
魔法
啊？
还有！好家伙
孙尚香
买家秀
唐风
大唐风华
唐风
怎么回事 好漂亮
孙尚香
啊？
Cos有福了
其实男孩也可以用的哦
丝巾够大，人够瘦。
啊？
握草，牛啊
我喜欢这个！
？？？？我没有快进啊
此时有个人去翻箱倒柜的找丝巾了
中暑仙人
回头再看几遍
不敢相信我的眼睛
啊？
啊？？
我小时候要你有你这手艺，我不得称霸一方
王熙凤王熙凤王熙凤王熙凤王熙凤王熙凤王熙凤王熙凤王熙凤！！！！！！！
王熙凤！！？！！王熙凤是你吗？王熙凤王熙凤熙凤熙凤王熙凤王熙凤！！！！！！
啊？
我小时候怎么没刷到（恼）
可怕的收藏量
这下古装剧更没成本了
现在的古装有这创意也不至于…
阿
《快速拿起被单》
小时候夏天的大小毛巾毯就是被我这么搭配的
貂蝉
红楼梦
花这钱买衣服不好么，哪来这么大桌布
nb
姐姐，你去做电视剧服装设计吧，我求你了。
好热
爱了
好好玩
这衣服看着好像佟掌柜穿过
眼睛一下就瞪大了
天哪每一套都好好看
哇，我小时候拿一条丝巾变古装玩的，哈哈哈
好像《西游记》里面的
太牛啦！
刘涛（
这不是我们小时候玩儿过的么
我妈电话铃声
啊？
为什么小时候刷不到。。。。
我都不需要丝巾 我家里被子毯子老多了
6
oc先……
好看好看
啊？？？？
西游记的味道
好省钱！
天都黑了
啊？
哎呀落地上了
哇好会
丝巾我有 美女哪里领？
你去当服装设计师好吗？我狂买！
快去古装戏剧组应聘
好漂亮！
？？？
太会了
太美了。
太难了
珍珍爱爱莲莲
魔法  一定是魔法
我去 好强
探春
我喜欢这样的女人
这个最好看
啊？
上丝巾链接！！
啊？
直接拍到天黑了哎
v顺风车拼车一喂顺风车
v顺风车拼车一喂顺风车
v顺风车拼车一喂顺风车v
牛逼
完了这个是真好看
天才！
？
水袖缠绵
我超
感觉好土
孙尚香
你小时候玩儿的床单和我玩儿的好像不一样
？蛙趣
这就有点捉襟见肘了短
啊？
真有灵性
马文杰安利给嘉然
背后也这么好看！
主要看起来大夏天也不热！！
换首bgm求求了
啊
貂蝉
啊？
少君出塞
好神奇
天才
嫦娥！
啊？
不是？
啊？
啊？
好美啊，口水都快流下来了
啊？
寻妹眨
第三套最好看
御剑怜侍飘飘原来是这么做的
欢迎回来
321上链接
妈呀这part像刘涛版白娘子
给我干哪来了？这还是国内吗？
这样不挡走道吗
啊？
好看
好多服装设计都是这样，先一块儿一块儿布往模特身上添加，最后确定了模板才剪裁的
牛逼
我花几百块买的服装是算什么？
眼前一亮又一亮
要是我小时候会这样就行了
魔法
魔法
大神
这个喷不了这个是真牛
啊？
这个披风有种旅行者的感觉www
啊？
拍的多久天都黑了
小时候的梦想
真有那味了，厉害！！！
啊？
啊？
大话西游的味道
简直像是魔法
啊？
啊？
啊？
6
哇这个我喜欢
余越变古装
啊？
宝玉
牛
大唐服饰
这个喷不了这个是真好看
西游记啊啊啊啊
齐胸襦裙？
哇偶
啊？？？？
广陵王
啊？
有西游记的感觉是因为这个配色，橙白色，谁懂我静音横着女儿情在看
原来最简单三块布就能搞定
请古装剧剧组们好好看看
倒回来看这个领口怎么回事
啊？
这下不得不点赞了
？
真的好厉害呀
凤丫头
啊？
老师去拯救内娱吧
不是？
我小时候拿床单就是要的这个感觉
像小时候古装剧里漂亮姐姐会穿的那种感觉
她真的好会啊，审美也很在线
牛牛牛
我先来，oc先穿
卧槽？
战国袍的感觉
还挺好看的
！
厉害是厉害，但是有种西游记的感觉，懂我意思吗
这还是丝巾么？
天衣无缝（二声）
真的牛！
BV1ifiTePE2d
昭君出塞！
哇，这个好好看
啊?
感觉可以用来当人偶服的方法
湘玉
好像小时候看的古装剧哦
打的我都有点心动了。
牛
好厉害！！！！
西游记
仙子服！
小时候玩窗帘都没人玩的明白
厲害
啊？
厉害啊
啊？
飘飘
别啊
啊？还有？！
。。。王雪琴结婚那套。。。
看过妈妈辈的同款
吃西餐
啊？
关键是这些形制还挺还原的，只要布料一换就可以了
为什么没有购买链接！！！！
低成本网剧可以借鉴一下
那么多人已经开始期待下辈子了吗。
啊
啊？
上错花轿嫁对郎
看到这里瞪大了双眼
你过关
？
酷毙了
有点刁蛮公主的感觉了
对！我小的时候就是想要这种感觉！
我去!国王
啊？
啊？
好美啊
我也想到了太子妃升职记估计就这样搞得hhh省钱
啊？
好厉害
好看，必须收藏加关注咯
太牛了
这就是我小时候想要的！
正统的大牌汉服，一个人不可能穿的，至少要两个人才能穿上你
啊？
？？？
小时侯没有这个技术
美美美
哇
哇
这个好好看
女儿国
啊？
丝巾链接
？？？？？
看着就好凉快啊
魔法？
哇
啊？
我小时候经常拿着床单这么玩
啊？
看不懂啊老师
魔法
啊？
可惜小时候没有网
完了，我心动了
魔法 肯定是魔法
？？？？
确实巧思，很像那么回事
两天发三个视频就有几万粉了，牛
？？？！
我擦  姐姐好腻害
哇哇哇
还在发力
大话西游！
赏心悦目！
