青背龙伤害超级高，但是打几次就能发现技能很好躲
直接风铃月鹰宗
奔波儿灞，灞波儿奔是吧
别人都把客户端拿出来分解了，就2个结局，B站还有视频
发售一段时间：指刚开放两天就有人做全成就攻略
幻视团长
晦月魔君
六丁六甲，从不吃素
这是妖王全清
第一难是解压，第二难是色彩诠释
图标是制作人自己画的（doge）
出生登场
500年前的虎先锋是好的，他说他洞里有俩崽子，就是现在的先锋和疯虎
还有个菇男，浮屠界的
成就图标的熊熊好可爱
看成击败沙特王子了
葫芦娃哈哈哈
存档坏了就该我风灵月影圣人登场了
悟空，悟净，白龙马，悟能
应该是波里个浪，浪里个浪是最后一只青蛙了
看图标这个可能是成佛结局
看来是真的只有两个结局了
但是熊熊可不可爱，特别是等级低的时候
这就叫物质不变定律
没说错，先打完虎伥才能做支线
我的老马啊！太难受了，还有我的四妹和糜道人
头孢泡酒是吧
四妹毛啊，这不是通臂猿猴的头发吗
steamachievementmanager
老马，老马啊～
这图标很明显是四妹啊，看不出来吗
我影神图全解锁了也没蹦这个 把除了大石敢当跟盔甲的boss打了就出来了
她是四妹。。。
波浪浪才是最后一只青蛙吧
没预约奖励的还能解锁吗
刀打好了！
先打爹才能拿精魄！
本地自带十个备份
经典收藏大于点赞。
雀食6
丸辣
不对啊，我全清了没跳成就啊
牛逼
注意，59必须要把夜叉王击杀，不能留血不然不跳成就
我是打了6只，青蛙都升成红色了，但是没跳成就
丹方挺好找的，我没看攻略，一路推图就找满了
大圣残躯二阶段不好打，建议带火圈，然后一直打2段蓄力
6只，把一只青蛙的魂魄精炼满，可以获得红色精魄
这个马哥的完不成，连着两个成就
对话完成指的是对一次话就行还是对话对到不能说为止
后面应该都不是很好完成了吧
马哥我错过了。。。我先打的土地才看到这个成就
四妹被抓去炼丹了，很气
小黄龙很恶心，建议分身点满，两套分身带走
温馨提示请各位跳转到1:11开始观看
草草草草草！47难，我破烂了，兴高采烈去撕最后一张符，本以为可以见到四妹，结果跟我说被炼丹了，cao，破烂
这图是大闹天宫动画片孙悟空变的土地庙
第三难是大头
这个要先完成魔将把封印解除在回去和土墙交流
这个是所有加上限的丹药拿全，包括五蕴
小黄龙不是，第六章还有个隐藏的阴批龙，路过就冲出来吓我一跳
是疯虎不是虎伥吧
要打完土地神才能拉绳子
都是沙二郎555我也是
我坐等四妹dlc，给我气的这个支线，我辛辛苦苦跑图救人到头来竹篮打水一场空
笑死，黑神话不需要
这个要打招呼，
四妹，下一世再来救你
不空悟空，不净悟净，不白小白龙，不能悟能。。
这个我只能拉远，等他飞完后蓄力跟他换血
我的四妹！
一次过
二周目中后期才够材料制作武器
姑且也算跟马哥打过一场
四妹啊，我的四妹
小黄龙打的真爽
你说得对，但六丁六甲，从不吃素！
md寅虎是真难打啊
黑熊可爱捏
这个算的是数量，二周目吃重复的仙丹也能达成
她是一路收集五蕴的通臂猿猴
34  52
被青背龙两刀秒了
对，这个主要就是沙二郎
全收集拿全丹方就可以解锁了
这一家子也算团圆了
这个扛着行礼在悬崖边看天的构图应该是模仿塔罗牌第一张愚人，代表“旅程的开始”
她是通臂猿猴
好
风火云雾都是必打的，你打到兴洪掀的时候前两个肯定打掉了
老马啊老马
49的成就是，每次都遇见老头
全收集珍玩太难了
↑对应了牛魔
建议杀毒敌大王，不杀少材料做不出装备
没收集到全部种子
感觉62只是凑巧了
这只熊也太可爱了吧
成就跟结局毛关系，还成佛结局都来了
这成就是星光脸么
熊熊可爱
前面斗战神老玩家了
3天通喽 猴哥确实不好打
注：Steam有云同步
好可爱的寅虎……
修成正果！
黑熊精可爱捏
nb
我80个成就了，但是没跳第81个是咋回事啊各位
对话的时候要选招呼
打不死的，打没血了他会求饶的
二周目
全装备也要二周目，大力铁角一周目给不够
鬼故事，进度条
团长你在干什么啊团长！
四妹太可爱了
啊啊啊啊！！！！错过了难受
看完这些我就只清支线了
致敬传奇耐绑王马哥
这个是黄风大圣吧 黄风大王是帮忙打大虫子那个
我打到红孩儿了一直只有个避火照..
注意沙二郎精魄需挑战时先击杀沙国王，错过只能等二周目
牢马呀，牢马！
击败刀哥
这个莫名其妙就完成了，路上的几个蝎子全让我打死了
刀哥的如来神掌
白衣秀士后后面遇到的几个隐藏boss都是二郎神派来历练天命猴的
游戏根文件夹有备份存档
龙鳞这个在打沙大郎的地方，有一面很多佛像的墙
龟泪在土地庙后面，你传回去转头可以看见鳄龟的头往那边走就有了
石先锋可以和石敢当一起打
通臂猿猴
黑神话的视频玩篮球的梗，闲得无聊是吧
这我知道，毛多弱火(狗头保命)
笑死，黑猴自带的存档备份，游戏目录里就能找到
先打完最后boss的撕不了最后的符
什么算好，该吃人的时候还是要吃的
还有3%在外面卡着2%在着色器编译
她是通臂猿猴
怎么不是老王八
我看的时候为什么四五十难后就是0.0%
没捡龟泪就传送了龟泪没了怎么办
第四个应该是吸收魂魄就可以了吧，我还没打那只青蛙，遇到仙人收了幽魂就解锁了
叮！！！
无量蝠可以自己去收集的
4龙也就小黄龙难点，不过毫毛点满一套也能连死
让我猜猜，应该或者一定有第三结局，隐藏成就
二周目开箱子自动跳了
这个是最司马的成就，很多泡酒物要去摸植物，概率极低
四条龙难度都高，各种秒
，
小黄龙是真的牛逼
六丁六甲，绝不吃素
已经打完了，一共四个结局，打猴打杨戬打天宫打如来
这都有0.9%
这里戌狗给的是特制的坚骨丹
