《 黑梁山：武松》已就绪
2大真神
这一句很有杰伦的味道
《频频出圈》
高考满分作文
周杰伦：华流才是最吊
周杰伦:正是在下
面试金句
对，我也想到小破球2
帮帮我！广智先生
确实是这样的
我也不玩游戏，我在哔站刷了两天黑神话的视频了，我当成电影看的哈哈哈特效很牛
这下听懂了（doge）
我如果把这个视频发到相亲相爱一家人群里，你们猜会发生什么？
不玩游戏可以看视频和过场动画，绝对不亏
《排面》
周杰伦哈哈哈
大圣牌面
抗日和抗美援朝
密码是好玩
不好的就是，说好40个小时的游戏时长我现在50个小时了，还在打那只大橘猫
。
指被大头打到自闭
1916.2万？？？？
排面！！！
排面，这就是排面！
6
哎哟，黑神话哦，还不错！
别老想着文化出海，先把作品做好再说其他
《国潮来袭》
投币
等个水浒传，我要玩西门庆
兴学长说话
排面
排面！
依托现代游戏科学
排面
我们这只猴子不仅拯救了中国的动画 电影现在又来拯救国产单机游戏和长大后的我们了
反抗吃人的游戏
《庄子》
20年前，我就再想，中国那么多精彩绝伦的经典故事题材，做到电脑游戏里面给我玩那该有多好。
啊，央视啊
只有中华文明可以拯救人类。
排面
华流啥时候不是顶流了？不要这么妄自菲薄好吧？
排面
明年高考要考！
排面
可惜数量还是太少了
排面！
公式
早点放开市场解放创造力早出圈了
排面！
央妈这次是真的宠了
牌面
排面
游戏质量不过硬人家才不看
燃（指广智）
排面
广告费到了哈
这游戏我压根上不了瘾，因为我无法从中得到游戏的爽感
啊？？？？
央妈终于动了，我泪目了还以为没反应呢
热血
悟空？广智！
排面
牌面
其实也就只有这两个 哈哈哈哈
广智舅舅最忙的一集
什么叫排面！
默认：汉语！
我哔站首页看不到任何除此之外的视频了你信吗
SCV正在就绪
排面
华流本来就是顶流
排面
排面
真的很棒！
国外华语论坛，已经开始出现《西游记》研究组织。。。
让那些大厂看看不做氪金游戏照样赚钱
防寒
大头儿子难打
这下要考了
优秀..........
哥们上央视了。
稳啦
快进到推动中华优秀传统文化创造型转化，创新性发展
？？？？？？？？？？？
排面
小破球拍面
文化传播还得是靠年轻人
四大名著来一波
猴哥，你是真的火了
斗战神精神续作
恶补《西游记》
排面
排名
移山！！
666
排面
看up是谁
不买是因为显卡不好
这就是排面
排面
牌面
排面
排面
我想要黑水浒，超爱水浒传啊啊啊
这才是文化输出！
笑点解析，跌宕起伏的故事
说斗罗大陆的，笑死我了。
牌面啊
0的突破！！！！！！！
25年语文高考作文
央视牌面！（
黑神挖悟空
什么叫国际巨星
永劫也一直在发扬传统文化
想知道丝之歌发售后会不会和这位一样
黑社会:刀哥
好！
黑神话：广智
排面！
首先要好玩
流浪悟空？
排面
众爱卿为何一言不发？
排面！
这可是新闻联播啊兄弟萌！
格局！
上一个视频刚刷到退出生物圈
我们就是文化宝库
自己的就是最好的！！！
啥时候黑神话 水浒 三国 红楼梦？
牌面
问：我是怎么从蛋仔刷到这里的
石敢当救我！
尤其看过章节过场动画后  泪目啊
排面
牌面
排面
不是，这谁？！央视新闻？！！
排面
也就原神了，别的没出圈
排面
《黑斗罗:唐三》
我靠，我前几天随便说一说就上新闻了
回到职业病
排面！！！
排名！！！
牌面
牌面
黑三国：曹操
是
还会有更多悟空（即答）
我是不是来错台了？
满江黑·千玺
排面
山西古建筑
山西古建筑
排面！
流浪地球没有这个在国外有这么大的影响力，充其量只是有人知道
好好好这么玩是吧
黑梁山：宋江什么时候有，俺一百单八将兄弟等着我集结呢
排面！！
黑神话广智
广智救我！！！
排面了！！？
广智救我！
不是这游戏都还不知道自己国家的文化输出有多差
央视都报道了  好好  谁敢抹黑
超过1000万了，上新闻联播
超过1000万了，上新闻联播
啊？这！！！！！！
这个排面可太大了！
硬实力强大了，软实力也得跟上！
西游记
啥时候 黑神话 哪吒
天庭末日2：悟空
啊？
难绷国潮，风湿犯了
排面
排面！
密码？哪来的密码？
中国古代神话你期欧美的多了去了，
爱神话《红楼梦》。
steam好友列表全是黑神话就我一个人没有钱玩的求生之路
还是那句话，中华文化五千年，从来就不缺好故事和文化
国内如此打压的环境下做出这样的游戏，确实空前绝后
《黑楼梦：黛玉》
《原神》
上面那个要玩武侠的给你开局尹志平
排面
排面
排面！！！
排面
老祖宗赏饭吃
排面
排面
你这一番话让我看想起了考试的题目
满级作文
这下听懂了
定调子了
我先撑死光头
发扬与继承中国光辉灿烂的文化！
金庸武侠游戏游科安排上
排面
排面
设计、文化、技术、生产、网络、宣传等产业，不知道多少行业内蓝海开辟
频频？
排面拉满
明年高考不会是锐评黑神话吧
红楼梦可以搞个黑神话
AI人是么？
690战术核显卡
排面
黑神话.广智
猴子有反抗精神
排面
牌面！！！！！央妈！！
《央视新闻》
排面
国单！
黑神话悟能
广智哥救我
感谢游戏团队那些为了理想和使命默默无闻努力付出的人。
搞得我呛了一口哈哈哈
原神呢
山海经啥时候做个游戏哈哈哈
排面！
就这还有各种牛鬼蛇神过来做绊脚石
排面
黑神话：广智传
猿神！启动！
让老一辈重新认识游戏
游戏机取代电视机成为年轻人的客厅娱乐家具
想玩水浒三国题材的游戏[doge_金箍]
吗喽
而且他的新歌还有其他的东西我一律没听过，我也不喜欢。
华流的顶流是周杰伦吗？不知道，因为我从来不关心这些。
买了买了，打不过也得支持一下国产
黑神话姜子牙钟馗加油吧
出圈密码就是你们滚远点就行
满分作文
三国演义也可以做成游戏，卡牌或者联机竞技的
好家伙，央妈
monkey brother～
排面
原神和猿神、
《三国杀》
排面
广智！救我！
燃（指广智）
666666666
这主持人好像ai
排面
好！
什么时候音乐也能重回一次顶流
有我一份！
黑水浒；松江；黑三国：刘备；黑石记：贾宝玉
广智救我猴命！
排面
不，朋友比我穷，新闻挺多的
真理只在大炮范围之内
啊！！
盲猜明年政治高考题
满分作文
排面啊！
没有
央妈牌面！！！
上海大炮
能不能把抗日战争的战役也做个游戏出来
排面
排面
排面
排面
确实
牌面
电脑带不动啊
文化是无尽的财富
排面
00
期待黑神话，红楼梦
排面！
老版西游记重在写意 而不是物理实感的特效 这一点老外是不懂的
黑赤潮.广智
这个就叫牌面
排面
不行，你要玩！
《三国杀》
因为不想让不了解西游记的人以为孙悟空真的爱白骨精，铁扇公主喝子母河水生了红孩儿，猪八戒爱蜘蛛精。文化输出不是这样输出的[
卡在广智的集合！
排面！
元神启动
黑神话：广智
哇塞
猿神
实力出圈
排面
黑神话：厉飞羽
“：来看把你们\，。/
“”
黑神话：凡人2333333
我们黑马喽玩家有自己的广智嗯
牌面
悟空出息了
要是真出水浒，宋江不配主角
排面
排面
听说央妈都在说黑神话我不信现在我信了
依托游科（
不好意思没看过流浪地球
3要等2027年
第九艺术以后不只是游戏了
央妈！！！！！！
牌面
朋友圈就我自己在发黑神话
看到这谁不心动啊！
排面
挖不完的宝库
开始期待黑三国了（doge）
别说元神了，丢人
排面
排面
排面
还有战狼！
《新闻联播》
下一部就叫《黑社会：水浒传》
第一章通关，确实很难
期待《武圣话.关羽》
牛！
周杰伦：是谁在叫我？
中国单机大作正式启航！欢呼吧！
文化输出
李焕英出来挨打
排面！
黑三国关羽
黑秦国，秦始皇
黑梁山武松是什么东西？笑死我了
前面的黑梁山武松是什么意思？
广智救我
黑神话：广智
黑社会:宋江
咱妈舆论战这才刚开始不到2年，以后会有更多好戏
受不了了，我赶紧要玩《黑行者 武松》
完了 要考了
广智 我来也
接下来才是真的国粹！
广智救我
什么时候出水浒传
蹭就完事了
黑神话广智
狠狠的文化输出
完了，我们政治或者语文题绝对就是这个了
小黑子们歇歇吧，别再反串儿了
奈何钱包空虚
黑手套：舞萌
我要玩黑神话三国
我只给孩子玩 塞尔达 我的世界 各玩10年
排面
出息了
猿神，启动！
原神  启动~
救我，广智
华为
啊？
秦扫六合来一个
黑笑话：马楼
就那样吧
广智救我
求一个金神话:金瓶梅
广智救我
牌面
四大名著 就是 四大名著 不是随便都能叫名著
央视都来了。
黑神话三体
央视排面啊
狗哥：广智，广智，救我……
这个是排面!
朋友圈就我一个人发
排面
流浪星球，三体，唐宫夜宴，黑神话悟空
排面！
广志救我……
《黑水浒 宋江》
排名
排面
确实刷的100个视频里有99个都是关于黑神话悟空的
这就是排面，这就是我们原神玩家。
红楼啥时候也出个呗
黑笑话：○去哪了
大圣上央视排面啊，注定横扫世界
无敌
排面！
满江红
黑神话：广智
华流才是最牛的
排面！！！
三国做一做，水浒不太支持，红楼梦游戏性不高，那就做14年抗日
排面
看到没有？这就是牌面。
排面！
封神榜
黑神话牛比
排面
广智：没想到吧，我才是真的神
我在重看《悟空传》
我要丸，彩歌手  周杰伦
黑水浒 108
排面
我要丸红神话·红楼梦
让那些不让玩游戏的家长们看看，这才叫真正的第九艺术
广智救我~~
智哥救我
流浪地球可没这么出圈，这个可是实打实全球销量第一
排面！
排面
黑悟空其实和西游记没关系
排面！
黑神话排面！
这才叫文化输出
大圣值得！
牛逼！！
这就是排面
我那迷人的老祖先创造了迷人的传统文化
游戏被称为“第九艺术”，黑神话传播力可比流浪地球牛多了
封神宇宙
原神，启动!
排面！
排面
太有排面了。
排面
2025年道法中考素材（）
央视能播游戏了？
排面
排面
排面啊
这一款游戏的爆火，让老外不得不看86版《西游记》。
相信我，你一定会被怪虐的。
排面
《满江红》
请把公屏打在排面上
怡宝
丸辣，要考了
黑神话排面
？？？
排面！
排面
排面
真的是太优秀了
排面排面，游科牛逼，烛龙加油！
听见没，快出DLC，国家队催更了
排面
牌面
25高考考点dogs
这下听懂了
排面
排面
排面！！！！
黑神话：封神
在为黑神话欢呼之余迎面即将到来的是影之刃零！
广智救我！！！
排面
要求全文背诵
上海壁垒
明年高考就这个了
啊？你也会燃！
华流必须顶流
22万好评，21.8万是中文
排面
！！！
悟空传就是第四大名著，什么西游记
你是如来还是大圣我想问问？
我劝你也玩哈哈哈
神三国：诸葛
央视啊，排面
悟空又拯救了国产3A
准备重新看一遍西游戏书
排面
这就是排面
黑红楼不是不能做游戏，只是3A没必要
黑神话 药王
排面！！！
排面
国潮，，，包装袋？
奶茶伦:叫我?
本来不玩看多了又感觉我行了，就上了
腾讯和网易狂喜
黑神话山海经
央视新闻！排面
出息了，央视
排面
排面
球3我等不及了
如果文化输出的人都像你台这样子的讲话，那什么也输出不了。幸亏他们不是
出一个抗日的 必买
第九艺术
都是好东西
排面！
排面拉满
这就是3A大作啊
排面
哪有“密码”全是硬实力
老祖宗的馈赠
把以前书中现实中的场景，全部搬到游戏中，想想就兴奋
写作铜句
第二章被打傻了
还真有晶晶和小甜甜牛夫人...虽然都是老猪的八卦
等等，up是…
排面
排面！
广智救我！
带着地球一起跑路。这是我们中国人才想的到的浪漫主义
排面
历史里面，扣人心弦的东西估计够吃一百年以上
遥遥领先
讲好中国故事
用心
排面
黑水浒
排面
排面，央妈出手了
央视也干了
?啊
央视新闻也是蹭上黑猴热度了doge
游科：DLC赶紧安排
排面  全民狂欢
啊？
第九艺术
蓝v历险记！！！
水泊梁山·108将
出圈的前提是质量，不能忽视
“红浪漫·赵四”也在制作中
只猴
我是《黑神话：吉吉》
2024TGA最佳游戏，你看好了
下次出一个 黑楼梦：黛玉
排面
期待《黑神话：山海》
黑神话设定集啥时候出啊
国潮来袭
你接着说，我申论就用你的话
流浪地球那种内核也很难出国
芜湖～～～～
我要玩金庸武侠游戏！
排面
排面
黑神话：广智  启动
申论满分作答
天宫DLC
频频
默认语音: 汉语
致敬传奇网游斗战神
好！
排面！
这就是牌面
黑神话广智！
排面！
请假了
no
不，具体说应该是猴哥的影响力
好玩
排面!
黑神话  聊斋
黑神话  济公
排面啊？
我想能不能把流浪地球做成游戏
听懂没，兄弟们
爽
看书—看剧—玩游戏
人民喜欢的东西就是好东西
我也不怎么玩游戏，原因很简单，就我这个放技能都能放歪的样子，就我这个普攻能对着空气一顿打的样子，你说我怎么玩？
排面
救救我 广智
排面
黑神话悟空确实很震撼
排面
排名！
排面
麻辣滚烫
？
完美结合
刚哥实力
还有三体
这是暗示要出电影？
没什么 就是用心
为什么没人提戴森球计划
支持
哈哈哈哈哈哈哈
《红神话：抗日》
我们的文化太伟大了！
排面
《水神话·宋江》
黑神话·黛玉
双厨狂喜
排面
质量才是硬道理
我咧个双创啊，高中政治
排面
排面
