蒋光头（幻视）
出生登场
《伪装学渣》
而你 我的朋友 齐天 你才是真正的大圣
这套阴阳怪气也是给你学明白了（出书吧上链接包买）
《现学现卖》
《雨伞》《陈泽 不带脏字版》
想起大史找逻辑那段了
使用指令kill！
『兄弟』
我重生了…（后面忘了
义父
齐天，漂亮
碇真嗣（幻视）
噗哈哈哈哈哈哈哈哈齐天爽！好帅！爱住了
《经典语录》x3
都是中文我怎么听不懂了
灼灼之前说要改名，该不会改成这个名字了吧？
出音未来
可是真正爱的人是绝对不会找替身的
看似是在劝放弃，实际是在鼓励
我是厨师，这就是丸辣！
一个人不好吗
好家伙，跟石头绕不开了
我去齐天会说！！！多说！！！我做笔记呢！！！
齐天会说，点了
森友会？（看着像）
小梦又调皮啦
我是快递员，这是大件货，还是撕了码的
齐天妈恢复出厂设置了，这是？
作者，我投两个币，不要把灼灼写死
《经典语录》x4
其实大部分没有过二次犯事的，内心肯定就改过自新的
《自我介绍》
在现在能找到一个陪你玩的朋友，已经不容易了
齐天的出生老妈限时返场
《老师》
“你知道吗？那天砸掉的两个高达，一个叫自由一个叫命运，他们的驾驶者是为了他们的家人而驾驶的”
李新真兄弟，回回嘴上在嫌弃，回回手上在行动，他真的我哭死
灼灼和齐天是绝配！！！！！！！！！！！！！
丸辣！
出生面试官
齐天好帅啊啊啊啊啊啊啊啊啊啊啊啊啊啊
《大学有的是时间给你玩》
《无病呻吟》
这不就是赵菊英吗
可是她叫余灰（余晖）啊…
游戏的最高配置:一个能陪你玩的朋友
这是除杨建华，马贵，章国庆以外的第4个反派(似人)，现实中遍地都是。
鬼灭之刃
齐天回归
《它》
李新在缓解尴尬
《救赎》
刘慈欣粉丝红温了
太懂事啦  不但不生气  还不忘给妈妈煮面条
《呐喊是外国名著》
补药啊！灼灼！！
“我”的娱乐方式，被母亲卖了，卖了15块钱。。。
专业的（bushi）
《电报员》
《才》
不会养孩子就不要生，这个真的很真实
《为你好》
加纳~
2000+人！
gie~gie~
《经典语录》
灼灼被姐姐收养了，然后改了名字啦！
火车头呢？
空瓶
我是火车头 大家来个双击 666 看我带头发起冲锋
我也玩我的世界
200名如果原来是中等生已经很厉害了
我喜欢用白色弹幕
1000+
我TM不嫁男人！！不结婚！！
849个人
吗呀热乎的
从来不敢…买手办
10
恶疾突发↓
《赵菊英转世》
砸手办
《赵菊英转世》
快点更新啊
别乱猜了。。。余灰不是灼灼也不可能成为，灼灼也还活着，不知道的去看之前的视频行不行。。。别猜了。。。
（  ）（  ）！（  ）（  ）（  ）（  ）！
开小号
注：故意考的很差的人一般都是学神
头头爆胎
好可爱啊这一幕
凡尔纳的流浪地球？你咋不说司马懿的出师表
有这样的妈还是断绝关系吧
我是厨师，这就是辣鸡
菊英两个字读快了就是珺 细节啊
句句恍恍惚惚被拒绝
三连了！
到这里就没人了吗
赵菊花
《破玩具》
我也是
键刃?老娘花200买的手把你tm卖15
我去，平均10.0
丸辣！
这攻击性，爱了爱了
丸辣
丸辣！！
手办大几百呢
就在做一集吧
5
灼一一一一灼一一一一！！！！！不一一可一一能一一死一一！！！
啊！！！！真打赢了
“空耗他人的时间无异于是谋财害命的”--鲁迅
丸辣！！！！
啊啊啊！！！！！
哇！！！复活赛打赢了！！！
不会就学
灼——灼——！
丸           辣
你TM是真善良
我 的 血 压 啊啊啊啊啊！！！！
完了，芭比Q了
好似
这就跳了 哈哈哈好似
《 蔚 亻尔 女子 》
"更新赞我,求求求"
说错话了
骗钱的
鬼灭之刃
10.0！！！
学到精髓了
钢铁真的好看
网瘾学校，打着戒网瘾的名号被弟害了，你孩子
又是网瘾学校
我就知道
这个好像是从小陪伴他的那个女孩
原来我看过前面的口牙
爽
这种面试官真的不怕死
豫章书院？
完了
卖吧，卖完等30年，到时候你求我不要拔管不要放弃治疗的时候我跟你一个态度
甚至还是限量版的！
6噢
最后不上学的原因是家里太穷了
《精准控分》
刘慈欣:6
6噢
我是红夫人，这就是神镜
灼灼!!!!!!!!!!!!!!!!!
去你大坝
果然跟我想的一样
这里好像大史找罗辑那一段啊，“那只是一场意外”
确实
大概率，还有没死的概率呢（doge）
我是史学家，这就是史
今年年初看的
建模本来就这样
丸辣！！！
杨灼灼不是一名老师吗？
有灼灼，稳了！
＋1↑
放心，杨灼灼没有死
新动作↓
齐天和灼灼是最佳搭配！！！！！！！
如果是我，我会这么想：很好，看来想不到他们自己头上
支女help支女
刘慈欣：......
看到开头就窒息
这样付出了尊严，可父母本身教育不对，最令人难受，不想管父母，可他们偏偏放下了尊严，可自己也难受，最后的最后永远都是我们先低头，不然，就是不孝
我是除草的 我的心情只能用一個除草動作表示:握草
傻人販(幻聽
你是否問過自己擁有什麼 又為了要擁有那些 付出什麼(改編自五月天-什麼歌
