标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
多一个人看，这份中国最了不起的非遗，就又多了一个传承人！,夏叔厨房,https://www.bilibili.com/video/BV1eb4214727,358.8万,4038,中国最了不起的非遗—木榨油！太久没见过属于历史的东西，你有没有忘记了身为华夏文明的骄傲？,57.1万,14.4万,57.1万,2526,"['我们的小城游记', '美食', '美食制作', '历史', '人文', '文化', '美食教程', '非遗', '食用油', '记录片', '非遗文化']",2024-08-22 14:10:27
耗时30天带孩子做套低配版《黑神话悟空》,又又Elf,https://www.bilibili.com/video/BV1EyWVe9E7q,223.2万,4261,Not Found,47.9万,8.8万,47.9万,2.1万,"['用手工打开黑神话悟空', '生活', '手工', '手工', 'cos', '黑神话悟空', '仿妆cos', '盔甲']",2024-08-22 13:11:36
“独属于中国人浪漫的彩蛋”,y极简,https://www.bilibili.com/video/BV1QLWoeaEBg,348.4万,2596,地图位置：第二回 黄风岭 不济谷  打完沙大郎后可以看见背后有一面摆满佛像的墙壁 变身成大头撞开墙壁即可进入彩蛋隐藏地图,42.6万,1.7万,42.6万,5073,"['影视', '影视剪辑', '彩蛋', '孙悟空', '黑神话悟空', '菩提祖师']",2024-08-24 12:28:31
纯黑《黑神话：悟空》全程无伤攻略解说 第二期,-纯黑-,https://www.bilibili.com/video/BV1VE421c7vv,193.2万,2.3万,"这不得三连支持一下！
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。",26.8万,30.8万,26.8万,2.4万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '无伤', '纯黑', '悟空', '攻略', '解说', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-08-24 12:58:07
全国第1人，全盲玩家靠听声辨位打过黑神话第1个boss,诺子喵呜,https://www.bilibili.com/video/BV1vz421i7mM,414.2万,5750,"一般晚上9点半到10点之间开播，今晚继续挑战黑神话，希望有条件的可以上船支持一下非常感谢！

本人视力是全盲，微弱光感，看电脑屏幕肯定是看不见任何影子的，而且在这种高节奏速度下看影子也没啥用啊哈哈
能够借助无障碍读屏使用电脑和手机，包括发评论和浏览大家的回复，但是支持无障碍的游戏是非常少的，更别说3A
黑神话【并不支持无障碍】一开始我也只是和大多数人对我的想法那样，抱着听听CG刘辟的音乐就算了去下的游戏

不知道还有没有老粉丝记得，我曾经许下一个愿望，我好希望所有主播都在播热门游戏的时候我也能够享受在其中
能够打过第一个BOSS对我来说真的是非常非常出乎意料的结果，或许我很快就会在第二个BOSS卡关，但是没关系，至少我享受过了超出想象的游戏进度

也非常感谢直播间的大家发弹幕引导我找路，希望大家也能在黑神话中游戏愉快",54.9万,26.6万,54.9万,5.0万,"['黑神话天命人来也', '动画', '综合', 'BOSS', '孙悟空', '直播录像', '黑神话悟空', '牯护院', '盲人', '首杀', '玩家']",2024-08-21 17:03:12
《原神》玛拉妮角色PV——「广结良缘」,原神,https://www.bilibili.com/video/BV1n4421S7o8,298.4万,1.0万,"玛拉妮有很多人生信条。
比如，出门在外与人为善；再比如，做人留一线日后好相见；以及，穷家富路。
这或许就是为什么她总能在意想不到的地方交到朋友。

中文CV：
玛拉妮——王晓彤
 
日文CV：
玛拉妮——东山奈央

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",26.8万,5.5万,26.8万,1.5万,"['游戏', '手机游戏', '玛拉妮', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-08-22 12:00:00
领养代替购买 用爱终止流浪,他叫阿园,https://www.bilibili.com/video/BV1GT421z76Y,220.8万,2754,-,41.7万,11.7万,41.7万,821,"['生活', '出行', '生活记录', '正能量', '公益', '流浪猫', '温暖']",2024-08-22 19:08:51
相片漂流瓶之冰棍老头,老牛的Vlog,https://www.bilibili.com/video/BV1mf421e7yy,145.4万,1295,-,38.8万,4.7万,38.8万,795,"['生活', '日常', '手工', '生活记录', '摄影']",2024-08-24 11:48:33
把柠檬切开埋进土里会发生什么？想不到柠檬树这么好种植！,种植记,https://www.bilibili.com/video/BV18w4m1k7rV,584.6万,2549,千万别把柠檬切开埋在土里，不然他就会...,30.1万,7345,30.1万,3453,"['三农繁星计划', '生活', '三农', '生活', '柠檬', '记录', '盆栽', '分享', '扦插', '三农', '高压繁殖', '种植小技巧', '三农繁星计划19.0 暑期回村奇遇记']",2024-08-21 20:30:00
黑神话悟空最菜玩家！菜还很合理！【主播说三农】,央视农业,https://www.bilibili.com/video/BV1k2421Z77v,166.6万,5992,Not Found,28.4万,4.8万,28.4万,1.1万,"['资讯', '综合', '孙悟空', '西游记', '游戏', '黑神话悟空', '主播说三农', '农业']",2024-08-23 11:00:00
不要拘泥于单一棍法，进来感受齐天大圣的魅力！无伤寅虎,里奥达芬奇,https://www.bilibili.com/video/BV1NBWSeeEFe,288.7万,3879,Not Found,22.4万,9.2万,22.4万,6.9万,"['黑神话天命人来也', '游戏', '单机游戏', '悟空', '无伤', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', 'fgo', '寅虎', '《黑神话：悟空》8.20 直面天命']",2024-08-23 18:41:44
写作业的时候要听音乐~♫,yoyo鹿鸣_Lumi,https://www.bilibili.com/video/BV17i421r7kv,91.4万,6967,"夏天已经过去一大半了，你们都是怎么度过的呢？
软件：UE
动作：动作捕捉
BGM：见评论区",13.2万,6.9万,13.2万,1.4万,"['动画', 'MMD·3D', '学习', '歌单', '夏天', '背景音乐', '音乐', '作业用BGM', 'HOYOMIX', '放松', '陪伴', '米哈游']",2024-08-23 12:03:27
【黑神话：悟空】4K 最高画质 全收集 全结局 全剧情流程通关攻略 西游背景动作角色扮演游戏 首款国产3A大作【完结】,11的游戏世界,https://www.bilibili.com/video/BV1AE4m1d7XT,710.8万,8.7万,游戏名：《黑神话：悟空》 是一款以中国神话为背景的动作角色扮演游戏。你将扮演一位“天命人”，为了探寻昔日传说的真相，踏上一条充满危险与惊奇的西游之路。,22.2万,15.8万,22.2万,6.0万,"['黑神话悟空攻略&黑神话悟空日常', '游戏', '单机游戏', 'ARPG', '主机游戏', '国产游戏', '孙悟空', '西游记', '黑神话悟空', '黑神话', '动作游戏', '游戏科学']",2024-08-20 10:56:03
假如在漫展coser背后，用唢呐吹他们的角色主题曲²,浑元Rysn,https://www.bilibili.com/video/BV1Jz421i7w6,424.8万,3987,"第二期！事不过三，还有最后一期，CP可能见！
有难度，看到角色之后迅速在脑子里检索音乐，生怕coser跑了，然尔还是会有错音，吹错（",43.9万,1.5万,43.9万,3489,"['原神创作者交流会', '音乐', '演奏', '漫展', '二次元', '现场', '角色', '唢呐', 'Cosplay', '原神', '原神fes', '原神UP主激励计划4.8']",2024-08-21 12:00:00
丝巾变古装,百变花央本人,https://www.bilibili.com/video/BV1yHW8eCEWm,163.9万,1866,-,33.0万,2.0万,33.0万,1.5万,"['生活', '日常', '汉服', '古风', '汉服日常']",2024-08-21 10:53:08
【黑神话悟空】错过即消失的妖怪/任务指南,拓海Sama,https://www.bilibili.com/video/BV1Jw4m1r7va,269.9万,3468,"感谢你的耐心观看，视频制作不易觉得不错恳请点赞投币支持一下~有关注的话就更好辣！
【关于本期】
是我90小时的多次踩坑中汇总出来的内容，视频发布前又重新核对了一遍，我确定目前任务与BOSS只有这些了。但各位仍需注意，第六章结束后游戏可能会弹出是否进行二周目，如果选择了是，那么将直接进入二周目存档中，无法撤回。这也是本期推荐UU存档管理器的原因，虽然是饭哈，但我真的觉得蛮好用，毕竟免费，大伙儿试试也没损失。最后如果各位在陆续游玩中又发现了一些错过会成为遗憾的道具、珍玩，可以发布在评论区中。你的遗憾将不在重现！",7.9万,3.5万,7.9万,2.1万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '孙悟空', '黑神话悟空', '动作游戏', '教程攻略', '《黑神话：悟空》8.20 直面天命']",2024-08-22 21:13:49
