灵虚子：观众朋友们大家好
钟声一响，刀哥出场
诶我知道一个，永劫无间端游
这里可以加个猴子立棍式
专业模特啊
可以把左边的火盆打碎。
根本不是游戏画面的画质。。
黑熊精：神话
帅
指针忘了藏
黑熊精宣传片
up在现场要注意安全啊（
《怡宝》
显卡：好看吗，我换的。
游科不请你去拍宣传图可惜了
盘丝洞请出一套写真，麻烦了
青蛙：被气死了
猿神，启动
《黑熊精》
有点好笑……
好图，韩了韩了
这就是黑熊精一阶段啊 前面别云
达利园效应（）
这个听说是取景于贵州铜仁江口的承恩寺
好合适发在外网啊
西游大窝囊
曾可达？
嚯
黑神话.摄影
原神启动！
牛逼！
啊？
卧槽
这就是摄影眼吗我嘞个豆
拿命拍啊
一步一景
青蛙：气死偶勒！
战地记者
来了，画质最好的一集
卧槽
啊卧槽
简直就是黄山
等会 为啥我第一个是大头…
拍后面小西天的千手观音吧，第一次看到只有震撼
4090？
绿蛙气噗噗1
没4K吗
费那个劲，录屏截图完事
黑神话:旅游
F12
啊？？
啊？
鲁智深
真假难辨
我靠
P模式
我的天终于来了
我靠
太帅了
太会拍了
抓拍后怎么拍照？
呱呱挺可爱的
打大圣残躯，你就可以一边定身一边喝酒了
这不是黑熊精
这是天王
心里默念:up你可别卡关啊
??
打坐也有这个视角，这张真的神了，我也拍了
黑神话广智
多少楼台烟雨中
这个好有文殊院一进门那种感觉
青蛙：你礼貌吗
有原子之心拍摄模式那味儿了
省流：猿摄
省流：猿摄
卧槽，牛的
什么boss！他是我们广智！
壁纸拿来
啊？
《美味的小孩》
还能衍生新的职业
卧槽
6
我去
啊？
火舞旋风！（误）
黑风大王就是黑熊精
我去！好帅！！！
啊？？？
拍建筑不要拍第一章。。。
不是，哥们
我以为你要看准出招然后闪避呢
不多见？没有！
黑神话赏饭吃
广智救我
所以快门到底在哪里
广智救我！
赛博摄影师
毛咋秃了
啊？
战地记者
漂亮
牛逼
卧槽
黑风大王:原来我叫黑熊精
我也想到了
分不清游戏和现实了
哇塞，这张可以
猿神，启动
一念神魔
啊？
广智救我！！！
胡金铨
鲁智深
柯达是吧
按F12，哈哈
太帅了。
不急不急跟他耍耍
分不清了
分不清，根本分不清
以后懒得出门的时候，可以游戏里云旅游。都是真家伙，也不用看人头。这游戏买的值︕
恶魔人哭包bgm
bgm来自恶魔人
你币有了
。。。。
你这么专业啊。早知道我前面不说了。
见多识广
钱的味道
定格画质也这么好
感觉还是原版画面好。你那个亮度有点高。
啊，算给你拍到了。我现在暂停也挺好看的。
这是测试程序的最后一帧呀
省流：怡宝
真帅啊
牛逼！
卧槽！
这个相机可以用了探索地图
拍照模拟器
自挂东南枝
穿大圣套装拍
奇迹暖暖悟空哈哈哈
感觉铁匠更霸气
赛道清奇
猿摄玩家
猿摄
我天帅
拉满不怕烧起来吗
恶魔人！
路在脚下
默认语言简体中文的含金量
山西寺庙
啊！？？？
哇哦
如同现实
、、、、、、、、、、、、、、、、
帅！
腾x一辈子也做不出这游戏
再骂？后蹬！
太漂亮了
不，是顶级显卡
牯护院呢
黑神话怎么什么区的up主都能养活啊
woc
黑熊精？
你好厉害
恶魔人的BGM
太帅了哥
这不是“佛像”吧
好新颖的赛道！
宝藏阿婆主啊！
卧槽
啊？？？？认真的？！？！
叮，然后随便拍照
这是刀吧
我测！！！
我去！
完了我分不清游戏和现实了
这身衣服确实很帅，精致且不显得笨重
xbox手柄按那个
卧槽
青蛙：我没意见
啊？
这里拿葫芦喝酒感觉更好
牛啊
树上自挂的是真林凌虚子
这是大广末的口子
永劫无间：悟空
无敌了 美术太棒了  up有发现美的眼睛
可以在cg部分拍照吗？
这叫做好本职工作
我大韩民国也有(狗头)
波里个浪
画影就是拍摄模式啊
这位更是重量级
你用的是索尼微单吗doge
拍摄起手
应该是dlc才开
这赛道绝了
？？我也妹眨眼啊我
黑神话：摄影
不开玩笑我真的张大了嘴！！o O o
自挂东南枝
卧槽！帅！拿命拍摄啊？
细节的体现
催更
怡宝
不是，啊？
拉不满顶级，要求太高了
永劫无间
握草
嗜血印？拍照？嗯？ԅ(¯ㅂ¯ԅ)
学到了
还能这么玩？
猿摄
火钳刘明
每一帧都是壁纸
我靠 ， 这个也太帅了吧！！！
怡宝
不是哥们儿，一边打我一边拍风景是吧
像极了地铁被偷拍的波刚愤怒的表情
咱俩玩的是一个游戏？
帅吗？拿命换的
这也太帅了吧
青蛙拍一张一记后蹬踢我的照片
黑 摄 会
黑神话：摄影
什么叫不多见！就没见过！
原来黑神话是换装游戏！奇迹暖暖：悟空！
boss?游戏名！
默默切成了1080p
新的赛道
我要振刀了
广智救我
帅
幽魂不打？doge
真特么的帅呆了
日本多都不是
卧槽
？？？我超，这么帅？
相机可以调滤镜，游戏外也可以加滤镜
握草悟摄玩家
这就是画面的重量感 (doge)
点燃狗
这是BOSS嘛？这是我大哥
真好看哈
这个石雕我也是停下来看了一会儿
真分不清了
黑缨枪帅啊
青蛙：你狸猫嘛？
花果山还有浪波波
在游戏拍照模式中可以给照片加不同的LOGO
按P进入拍摄模式，里面可以对画面进行调整，也可以加一些简单的滤镜
哈哈哈跑也不影响你拍照
哇
关注了关注了
wc
加个动作模组无敌
黑熊精：是的，昨天做的脱毛
wc
卧槽哇！
拍一个电影吧，原版美术和BGM好想去看啊啊啊啊
老祖宗赏饭吃，珍惜吧
分不清，我分不清啊
虚幻5牛逼
卧槽
我去
哇，好帅！
太帅了
？？？？？？？？？
韩了韩了
有六个青蛙哦
丸辣，分不清游戏和现实了
卧了个槽
卧槽这么帅
这张图有吗，太帅了
怡宝！
好淡定，我打游戏空格都要扣烂了，哪顾得什么拍照哈哈哈
你这赛道！！！
100昏
这里可以打坐有专门的视角，可以直接截图
卧槽
卧槽
这币不要也罢
没看过西游记？？？
太漂亮了
nb啊
卧槽，太帅了
广智的俗家名姓何么……
还以为要掏个闪光灯（不是）
这张太漂亮了
卧槽！！！！！
啊？！？
禅房花木深
这个必须拍啊！！！！！！！
赛博摄影
真漂亮
去小西天拍
hhh
就怕拍着拍着原神启动（doge）
4090:好看吗？一万多换的。
这是黑风大王
草，采风派攻进来啦
哇！
欢迎加入黑摄会
我认为的第一个boss是牛头人。。。
刷到是我该得的！
期待大作
在现场拍的
帅帅帅
每一帧都是壁纸
这下不得不关注了，
我是说昨天按了什么键，突然画面定住，变大，还可以平移，以为是BUG，原来是可以拍照
有个黑人小哥抓拍的房顶上的特别有张力
船新版本~黑神话：窝囊
牛啊
独一份
丁达尔效应
鬼鬼
为啥6700XT能150多帧我3080才100不到
卧槽啊
黑熊的命也是命
我草
分不清，我真的分不清啊！
黑神话悟空最高画质可是明写着影视级的
！
黑神话悟空最高画质可是明写着影视级的
它没脖子
厉害啊
