只因多看一眼，金池长老爆炸了
黑神话铁头
口中念 心中言 现世报 却方便
小和尚堕落成了《金池长老》
因为这长老是执念，执念解开了他也就随风消散了
顷刻炼化！
黑神话-广智
hhhh看来是无伤被打断过
克里斯：怎么，在想我的事？
哈马斯！
“只是似你三分，便使我惊恐万分”
空气墙就算是boss也穿不过去hhhh
猴子：不但不救，甚至吹风
那时候是著名的嘉靖，家家皆净，和尚也要交钱
我在黑风山修文物
108坤年
牢底我能反应子弹（）
原著中金池长老一伙人最早不是和尚而是一伙强盗，金池长老的自我介绍有说谎成分明显
我超，玉！
《Oh Yeah》
加沙
海澜之袈，出家人的衣柜（
广智之间亦有差距
粉色灭霸（）
这我学阿毛啊
熊以为他在化缘，给他钱，并让他放过蛙蛙
六件灵物:金箍棒  AK47-齐天大圣 巴雷特-齐天大圣 MG3齐天大圣 M4A1-齐天大圣 沙鹰-齐天大圣
短裙黑丝（
弓箭手：我一点都没漏，开没开你自己知道
大圣本猴
这一幕说的就是黑熊和金池两人各自不同的贪欲，黑熊是熊身人心，金池是人身熊心
空气墙立大功
原来是个袈裟厨
来了山顶有你好果子吃啊（bushi）
袈裟控
《借》
老外看不懂没关系，他们自己会去查阅资料
黑熊想来救火，但是看见了袈裟（佛门宝物），就抢走带离火场了
（圣遗物）（狗头）
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
红中？ 碰！
纯黑神话·无伤
物理超度
老外看不懂没关系 毕竟下载按区域都是简中区
我每次勉强打败妖王，妖王服软说台词的时候我都很惭愧，up这才是真打服了...
啥空气墙啊，这黄色的电不是二郎神吗
雀食蟀
这里空屏是我的啦
盖——亚——
前情回顾水时间（doge）
小圣绷不住了
上个视频广智还掉血呢，现在广智都无伤啦？！
有识破这个技能？
刀     哥
灭霸
袈裟狂魔了属于是
崇祯hhh
崇祯↓
不穿上这袈裟，谁人知道我才是得道高僧
纯黑不做全收集攻略的，不要问有什么东西没拿了
不是帅哥是美女
感觉这故事给老外还是难度太大了
犹太长老
欢迎来到纯黑得电影院儿
飞龙在天！
此时屏幕上出现一个帅哥
刀哥
标签：黑丝 短裙 兽耳 （doge
克里斯体质
小伙伴们，你们好鸭
只要归还了唐僧的袈裟，证明金池已经放下贪念，故而可以成佛，可悲可叹
这个时候当和尚要交钱，小和尚抓金蟾也是为了入寺钱
此时被暴打的你试图来纯黑这找回当大圣的感觉（doge）
撞空气墙了
袈裟果实能力者
每次打完架就会准时到的土地爷爷
这体型怕是物理超度（doge
我嘞个变脸
