这才是文化输出啊
太好了，需要这样在外网科普的up
我英文不好，那我就写拼音给他们吧！
之前，西方游戏有问中国人了解西方文化吗
到我们了，朋友们
弼马温
挺好的，但只是基础。文化根本不可能懂
虽然西游记的西游不是指欧洲 哈哈哈哈哈
《简单》
四大天王:魔礼青，魔礼红，魔礼海，刘德华！
真的，只有遇到这种时候才想说为什么当年不好好学英语
从南天门一直砍到蓬莱东路
主动去了解背景知识明明是玩家该去做的事
我战神一点也搞不懂照样玩
德国老哥好文采！
赛博航海家
防火墙：你好
这才是有意义的输出
其实你真的想玩的话，了不了解背景都没关系，享受游戏过程就行了
原来是这样，懂了，这就给北欧神话的游戏打差评（
孔子学院不是用来宣传的，是用来给国内的人那啥的
有一说一，我玩巫师和魂系列也因为文化隔阂get不到深层次乐趣
没忘了白龙马好评
干的漂亮
开门，云骑军
带我马哥一起玩好评
格雷科普，简称雷普（
外国网友：这下看懂了
我也不了解北欧神话，我还不是一样玩战神
不一样。北欧神话简单粗暴，除了啪啪就是杀
谁让他们的神话那么好理解呢?
三眼战神哈哈
我们的思绪向东旅行，将这份丰饶带回西方！
爱玩不玩，不稀罕他
菜就多练，不懂就去了解，玩不起就别玩
科普起来，兄弟们
菜就多练，玩不起就别玩，现在是现在，以前是以前
直接灵魂点升级 干就是了
这不就是我们的目的？让你们了解中国文化
起鸡皮疙瘩了
外国神话就伦理关系复杂
那咋了
豪人呐！
神作！
猴子大王
嘶。。。有没看过西游记的中国人吗
战神出来时候可没说什么，刺客信条来的时候搞得我们也了解西方文化一样，习惯就好
你要人家买你东西就要做好宣传这没毛病
你以为你懂西游？因为你看了10几部电影两三本书（含连环画）！你也不懂啊！
游戏里二郎神的翻译是：Erlang the sacred god
关我屁事啊，自己去学
我们在玩他们的游戏的时候也是看剧情解说的啊，现在轮到他们了
那咋了
好多真是夜郎自大，国产游戏要发展，就要主动让别人了解
一技能:那咋了那咋了那咋了
先生大义
牛啊
不过我玩战神也对希腊北欧文化了解不多呀
耶梦加得！哈哈我知道
文化输出一波，狠狠的
不了解？那你就去给我了解去！
那就慢慢学吧
别别别算了哥们
我不了解英语你们会别说英语吗？
先生大义
我觉得很正常啊，不就是个游戏吗，为啥要求人家去学习，人家不懂当然给差评啊
只狼根本就没有故事性
哦，那咋了
牛
跟我有关系吗
666
了解西游记的更要骂剧情了
《简单》
本来黑神话就是中国的游戏呀，外国人玩不进去很正常，就像外国人发明的游戏没有简体中文一样
中国空间站上面的门写的不也是开关吗？你们怎么不去学学？
哎，我的一加凭空充电了
升华啦
两个币奉上
那你就去了解啊
你这描述有问题啊，取经和见佛还是有很大区别的啊，严重怀疑没看过原著，只简单了解故事，没有深刻理解
。。。
所以我们了解外国游戏吗？耽误玩了？
加油加油加油加油加油加油加油
可是咱们玩老外游戏的时候也没见因为不了解老外文化而给差评呀，咱们可以去学的
加油加油，多多科普
二郎神单纯是靠摇人赢得，有事没有太上老君相助说不准呢
民族的就是世界的
确实 外国游戏都没什么深厚的文化背景
ai搞搞还是比较容易的
西游记是多人多版本创作的结果可别瞎科普
我要是这个原因给战神差评你猜我会不会被骂
《简单》
所以为什么要对你友好？我的游戏你自己去了解去
这不是一眼ai吗
aka唐三藏难绷
那是你们自己的问题
海盗文化很容易了解
西方人的学习能力接收新事物的能力欠缺
老外咋不自己去了解西游记？
黑帮大佬保护重要人员帮CIA去取绝密文件后被清算的故事
这句真的太有格局了
有币了
sign me the fk up哈哈哈哈哈哈哈哈哈
这就是黑猴最重要的意义
还有不理解西游记的中国人？
我上早八
厉害
西游记对于老外来说还是太难理解了
终于轮到你们了，该
厉害
而你，我的朋友，你才是真正的英雄
支持
我觉得挺好的，毕竟我也不了解北欧神话
aKa唐三藏
异变啊，是异变....诶不对（）
老外：西游记里悟空真和白骨精谈恋爱了？
不了解，那就去了解啊
反思一下，不了解难道不是自己的学识不够？
中外差别对待
难绷
游戏让玩家愿意去了解其中
辛苦了
可西天取经也不是去他们那啊
伟大，无需多言
国外神话那就是大型家庭伦理剧，不比西游记好理解？
就好比国外出一个他们历史的游戏
so？不懂就不玩，默认简体中文的含金量
O神，启动！
沙僧洋名那么娘吗Sandy
锖兔！
很好很好了，翻译西游记最麻烦的就是人物名称，有心了
哈哈哈哈···老沙翻译成sandy~牛逼~
三眼战神哈哈哈
当时听黑桐谷歌讲故事可有趣了
学中文去！！
哦，外国佬别玩
他们是来向你取经了
真正玩游戏的不会这么说 而是会爱屋及乌去了解
以前玩战神的时候不一样都不懂
不了解自己去学，没人逼你们玩
好棒的情怀
强
那不是废话
那就抓紧了解呀
太好了，不友好就去学
你币有了
不了解就去学
中国的神话体系要从封神演义开始，然后才是西游，几百万字的前置知识要用英文概括起码也要十万个词，太难了
不了解就多学习，而不是发牢骚，难道老外没有学习能力吗？
简单写了几段，嘿嘿，各位有能力的大大加油，多写几段
饭打好了在眼前不敢吃还要喂，笑死
笑死，真就纯黑
就算是咱们不少国人都不太了解
币给你了
牛
…突然发现是个英文老师
智慧对脑子萎缩痴呆成疾的奶头乐患者并不友好
menkey sun
高数对不了解数学不认识数字的人并不友好
诶我玩刺客信条的时候我也没这样说啊，我玩大镖客的时候我也一样没对美国西部牛仔时期吐槽啊
我就是这么想的，对上
我的天，别人都是告诉我们按哪个键，人家把需要按的键在哪都告诉咱俩
玩好了，你是天命人，是齐天大圣，玩不好你就是一只猴子，我是一只吗咯
自有大儒为我辫经
我玩只狼，我要了解他的背后故事吗，这对我有好吗
自有大儒为我辫经
那叫没文化
不懂就学，菜就多练
轮到他们来学中国文化了
管它们懂不懂
不清楚去学啊，
欧美人给差评本质原因不就是这游戏是中国的吗
原神，启动
老头环我特么更看不懂了
好支持
太细节了
好支持
捧珠龙女呢
他们文化深度达不到 可怜啊
西游不是去的天竺吗hhh
不了解就去了解啊
大家又不是外国人，怎么能知道他们想什么，就不能冷静发言吗
别闹了，我玩刺客信条，我还要得去了解埃及和希腊的历史吗？
高考准备一下
这次换西餐了
文化输出到头来还不是得靠我们自己亲自去干
神经病，你们的游戏对我们就友好？
菜就多练，玩不懂就多学
不了解就去了解，我们之前把你们外国游戏没中文翻译的时候还不是自己查字典。
支持你，但我英语不行，只能支持你了
善，赏
哈哈，框框跑路的，笑死我了
菜就多练
战神4和仁王跳着剧情过
太赞了
笑了，游戏真的一点门槛都不能有吗？西方玩家就这？
是的，北欧神话我也不了解，所以战神系列打差评
120刀了英国
12刀了英国
不戳，整挺好
哈哈哈哈
这意思当年玩CS都得了解枪械构造？
弼马温不是贬义啊
从声优到架构均世界级的
而你 我的朋友 是真正的英雄
暴雪02刚进中国市场的时候我们懂吗
自己没文化怪游戏？那还那么多中国人玩战神黑魂那些游戏呢，搞笑
太牛逼了
那就学
那我玩外国游戏还不了解外国文化呢
世界的文化精华应该共享
你真棒！
太棒了！！！1
朋友，你很牛！！！
为什么我打游戏遇到的老外都很没有礼貌
刷卡！刷卡！
这。。蹭的
不懂就学
hhhh
你币有了
说的好像北欧神话对我们友好一样。本质就是很傲慢
该让外国人习惯了解别人了
当年战神4也是这样，直接勾起了我对这些神话的兴趣，直接连同1--4剧情跟原著神话都补了
我们臭打游戏的互相帮助
干得好兄弟，三连了
一眼gpt
为何不buy？
牛逼
无知还是理由了？
40刀，很便宜
不是所有人像中国一样把小说放进考试里的。
其实中西方对神和god的定义区别很大…光是人能成神这一点，老外就不能理解…
玩希腊神话北欧神话战神的时候他们可不是这么说的
药师会赐你长生
极端生物怎么可能了解高级文化？
那是你的问题
up辛苦了
我管你了不了解呢，你们做游戏也没考虑过别的国家游玩的时候不理解呀
自己不学习，少闻多怪
大佬辛苦了
确实，我自己看的时候都感觉复杂
黑格尔：这正是我想要的
有心了
那国外出的游戏对中国玩家友好？不了解自己去学啊
《journey to the show》
666
不了解就去看原著
不懂就去学呀，好像我们没学过似的
这就是学英语的用途啊！用英语告诉他们：你要学中文
那只狼不也是外号文化吗
好的，那《战神》可以滚蛋了
Hero
荒野大镖客有没有类似的差评？
那我同样也不了解北欧神话，我是不也可以给个差评？
我们玩他们那些游戏时候基本没把这个当扣分点，还是被牵着鼻子走啊
关键是咱自己人都有些搞不懂。
外国的游戏我们不也不了解文化背景？
平台在黑外国，网友在疯狂夸，逛了一圈外网笑死我了
蛋壳（战地一玩家dna动了）
不，你开局扮演的只是一个马喽
哈哈哈哈哈
这下幽默了
哇
牛逼
想扮演能骑云的猴子其实也能玩warframe（bushi
双标，西方神话故事就所有人懂？
你别说，我一个国人都没看懂这些神话
中国教材经典先介绍背景
第九艺术的魅力
他们懂“魂”？懂“只狼”？懂“老头环”？
这话可不经说呀
牛逼
好棒
却步吧！
到时候把黑神话卡带烧给吴承恩再给他烧个纸扎的满配电脑将吴承恩在地下也能玩上黑神话悟空
我已经知道高考作文了
别取了……敦煌的好多经书可都被你们那帮人取走了
阿弥陀佛 阿弥陀佛 阿弥陀佛 ··
国外那种就是家人侠
元神！启动！
那确实，有些名词甚至连国人都不太了解
菜就多练，不懂就多学
Anyway
先生大义
先生大义
而我的朋友，你，是真正的英雄
没绷住，去了解不就完了吗
这个芒肯啃最开始是哪个老几翻译的，中国人名不都是直接拼音吗？
踏马战神对不了解希腊神话的也不友好怎么这些媒体就能自适应？
支持！！
加油
战神4就算了吧
主创团队的故事同样精彩感人，可以推广一下
这需要他们适应，而不是我们改变
先把“西游记”看完呗，这不刚好暑假
不了解就去了解，你出战神的时候也没帮我科普北欧神话
我还不懂希腊神话那
要不补充八十万字吧，把西游记翻译一遍doge
大佬辛苦了
简单、
不会就学，简单
人家美国工人干一天300刀，望周知，不要有些人就在这里换算上了
人家工人干一天300
有种别玩儿啊
那咋了
呵呵
哈哈哈
不主动了解怎么会懂？
币你有了
那能怪谁啊，中国人去了解你们文化的时候你们还骂人get out my country呢
RESPECT
不会去主动了解？人类早都会使用工具了，外国人怎么退化了
义小将
