有什么原因，同样是境遇一落千丈，妻子可以抬头向前还照顾家里人，他就超雄？
是女主造成的吗？
因为写作比赛停办了，凯利再不攒钱真的生活不了，人都是逼出来的
f5丈夫总算干了件人事
没有凯莉，伊芙琳会更幸福
确实这个家没有他会更幸福
真正的女性力量，伟大
犹豫是在思考女儿为什么会问这种问题，
求求别说理想母亲了，她真的好苦啊，她的强大没给她带来自己的生活
“第一次吃了别人做的饭”
正确的思路应该是谁不珍惜谁就该被放弃包括小孩
不是运气，是她写作得来的奖
飞舞丈夫
因为他清楚的知道自己的窝囊。所以他恨妻子的能力，又离不开妻子的能力
勇敢去做！
这是家里的大儿子，不是爸爸
小曲响起~
“每次回来都会带点东西”“填满冰箱哪怕需要一年时间”
女儿才能共情母亲
理解他，谁理解女主，女主这么拼是为了谁
《神金》
凯里：伊芙林的大宝
对凯利来说确实没什么大不了，他是家庭的受益者
我认为不是不抛弃丈夫，而是不让孩子收到错误的影响
应该是是孩子的原因不离婚，十个孩子呢
这样的女人如果自己一个人过日子不知道得有多幸福
心疼啥啊，就记得自己干了这两件事，然后自我感动认为其他人都不理解自己赢麻了呵呵
这部片子有点把人带歪了，这么有才能的女主值得更美好的人生，至少不要这么艰难痛苦
尊严是他自己打击的，不是靠别人给的
都酒精中毒了，可能吗？这也是编剧为了男性角色，给他一个台阶儿吧。
不是环境造就了她，而是她能在这样的环境中依旧强大
越看越超雄
女主丈夫跟个小孩子一样，但却比小孩子还让人闹心
不敢想象伊芙琳要是一个人该过得有多滋润
本片由真实故事改编，高血压患者请谨慎观看！
她值得！！！蕾姆了
？
失去优点，却没失去高傲
美国经济繁荣时期的商家都好良心啊，真么多活动
老婆确实是好老婆
《你总会想出些办法的》
那也要更努力地为一个单方面付出的“家庭”继续付出？
第一反应应该是扶她起来啊
《滑倒》
"""由真实故事改编""好沉痛的事实"
《本想》《放心了》《妻子做饭》《原来是贷款了》
侯默能提供情绪价值
《素食主义者》
我是旷工，这就是神金
看着伊芙琳的手臂真的心疼
简直Frank附身
妻子可以为丈夫的成功感到骄傲，但丈夫却不会为妻子骄傲？
这位母亲在哪儿都会大有所为
发现没 在这里，妻子还在为丈夫说话
不是无法感到骄傲，是自己的尊严受到打击了。
丝滑连招
还以为不火了 原来是来早了（dog
怎么离婚？五十年代，没有女性岗位，还有十个孩子，咋离？
姐姐是写作的天才，她本不应该被困在柴米油盐中的
好
这丈夫的心智只有3岁
闯祸的都是儿子 开车的最终是女儿 编剧绝了
她真的好无私，让人好心疼
《我的26个女房客》直呼内行
其实妻子不离婚是为了锻炼孩子们，教会孩子们如何保证情绪稳定
小头控制大头了
女儿才是我心里的想法
他无法为他的妻子而感到骄傲
感觉一般男生自卑会发怒，女生自卑会责怪自己，事实上自卑怪不了任何人，你都需要克服这种心态
离了吧，以她自己的才华难道不可以生活？
劣质的婚姻只会把你拖向深渊，不要把另一半当成三岁小孩无条件的收拾烂摊子
被这样期待更是一种压力
只要父亲不改变，母亲在努力得来的收获都将被父亲送给别人
《幸福》
父亲不改变这个家还是会有原来的路！
他上辈子是拯救了银河系吗能娶到这么好妻子
《情绪稳定的妻子》
这女主是真正有智慧的人
生那么多，每一个孩子教得好
这不是运气，这是一个才女拼尽全力
这部片子有点把人带歪了，这么有才能的女主值得更美好的人生，至少不要这么艰难痛苦
《轻松》
可生活又哪有这么多喜剧？
这些年她所做的一切，已经赢下了她的独特人生
她情绪真的好稳定
犹豫了就是答案
飞舞丈夫
《我太累了》典
这片子想传达什么？
天 这样任何事不责怪其实会造成大祸的
其实她丈夫的没有改变和她的包容有很大问题！早点让他知道他的错误或者把他哄走就没有这么多烦心事了
这才真的是顶起半边天的妇女
比样的丈夫终于司了
阳刚先生天生理性大英雄大丈夫大老爷们
神金：坚韧
女主赢了，其他可能相同遭遇的人输了
不是，你不教小孩，他下次还是这样，另一个儿子偷窃证明她这种教育方式不行（）
每次坏她事的都是丈夫和儿子……
什么笔超雄
