Boss:你必拿金牌战士
肉刀猴VS输出猴
耐打王--磊
快去夺取蔚蓝石像之力（doge）
《因为怕死就全点了防御》
《暴击伤害145％》《暴击率0%》
Boss.：磊哥知道我的厉害了吧！
坦克荣耀
极限闪避
谁家肉庄元哥？
反雷电将军测试
黄风大王:你必拿金牌战士
磊哥游戏，不可战胜的。
国服猴子纯吃承伤分上去的（doge）
全军列阵
boss：五个打我一个，尽力了尽力了
懂了，猴子是蒙恬
谈笑间磊哥打出了两个闪身
翻译:没升一技能升大招了
记忆复苏了属于是
猴子：处决？处决也算回血时间的哦（doge
小骊龙：磊哥拥有定风珠之力，我战胜不了他
黄风大王：666这个入开桂了
boss:尽力了尽力了
《黑神话：广智》
«  鸡  爪  流  悟  空  »
《因为怕痛就全点防御力了》
《反雷电将军特训》
加了180防御
《黑神话 防御》
懂不懂百分百参团的含金量啊
《因为太怕痛就全点防御力了》
雷电将军
省流：全军列阵
隔壁北极熊都成广智圣体了
回血衣服还可以升阶，细思极恐
跟拳击倒地读秒休息一样，处决时间这么长，血都回上来了
缺个钟离
展示容错
老样子，开局蓄力跟他换血
关注了！关注了！！！投币投币！！！
握草！穿甲猴！！！
太赖了，这就给boss磕个头道歉
我第三回防御才105。。。
这是跟我玩的一样的游戏吗？怎么这么简单？
[OHHHHHH]
看标题，就充满磊气
八万四千铜头铁额猕猴王
无相之雷（bushi）
因为怕疼所以属性点全加了防御
各人有各人的玩法，这种玩法也挺好的，本来这种动作游戏上手就有一定门槛
南村群童欺我老无力
霸体猴
因为我闪不了，哈哈
一个没躲掉
这不腊月十八吗？
防空大圣
站石头上
猴子形态蒙恬
小野猪好难打
黑神话·蒙恬
护佑的 悟空
寅虎:全仗着头硬
因为怕死所以全点防御
鸡爪流·猴子
肌肉记忆
蒙恬
实在人
鸣人
赤吊马喽
黄风大王：666，这入开挂了
黑社会·悟空
我也是
wc
要上了，广智！
可以站石头上的
这才是真的梅普露啊
我还以为鸡爪流猴子呢
金刚不坏
对面不阴我吃
快去请广志义父
全点防御不如变身广智
不愧是神器定风珠
理塘丁真
卡好点可以无伤换
装甲猴
马文杰说适合嘉然
你开挂~
全军列阵！
这下看懂了
这下听懂了
我都打到第三章了，我咋没见过这个boss？
四体一耐大唐官府？
这里我是开背包。。
哪里来的那么多内丹啊
这么剪辑？玩假的？
尽力了尽力了
声音有点像顶针
你吃一套地面冲击波试试
边跳边翻滚挺好过的啊
红莲地狱火
boss 是累死的
茎立了
你应该骄傲的说
满了是400多
因为怕疼 所以全点了防御
真·上单肉装猴
幽默野猪人
耐揍王
暴击率0怎么还能暴击
不可能有人全点敏捷
雷神的技能
卧槽
猴子自带25%爆率(不是
王者后遗症
马猴烧酒
这下听懂了
跳也不行，我试过……
定风珠就是轻版本神罗天征
广智救我！
可以隐身分身的
我才俩百
确实
《肉的一批的同时，伤害还高》
金刚不坏身，小子！
期待磊哥打青背龙和寅虎
马超
这也能尽力？
乱棍打死
躲不过，就此绝命吧
乱棍打死老师傅
手残
一种莫名的骄傲是怎么回事
预购葫芦第一口满血
受害者三号登场
公式流
boss要被气到怀疑boss生气死了
哈哈哈哈哈哈哈哈哈
我超我防御只有你的一半
对不起我笑了没忍住
哈哈
左右闪很容易躲过去甚至不用石头
这是什么操作？？
好家伙，还有这操作？
是真耐揍
唉，铁壶香药
耐揍王马猴真神登场
加防带回血，呃呃
全体型悟空
你玩坦克啊
上广智了
熊套猴
架海子晶梁
数值怪
大哥竟是我自己
别人都是无伤博主，您是全伤博主
哈哈哈
但是人家叫黄风大圣
你是丁真吗
你不跳石头，boss都看不下去把你打上石头了
