那时候才小学，现在已经博四了，转眼20年了
还是童年的味道
只有超兽战士永远不充钱！！！
夜凌云
童年在这一刻真正结束了
小转个调以示这不是录音(doge)
当担二教
爷青回
买个床：在喊我吗？
圣辉星云！
终于等到了
再来是千年的千年
火云决！
已有的事，后必再有；已行的事，后必再行
还是那个味道
开口依旧封神！！！
进入状态了！这一段是真的好听！
火钳刘明
只有超兽战士永远不充钱！！！
最佳拍档！
全程高能！
没什么变化啊
兄弟们，前方留下自己的出生年份！！
爷青回！！！
哲学武装
爷青回
我们永不说再见
这个感觉，就是这个感觉
已有的事后必再有，已行的事后必再行
爷青回
666666
已有之事后必再有，已行之事后必再行
爷青回
感觉回到了小时候
儿童劫！
欢迎欢迎！！
爷青回
鸡皮疙瘩起来了
20年，人不老的啊？
只有超兽战士永远不充钱！
起鸡皮疙瘩了
陈洁丽我女神
姐姐笑的好甜
啊！！！！！！！！！！！！！！！！
亡月劫
太对味了
燃燃燃燃燃燃燃燃燃燃燃燃燃起来了
就是这个味道
爷青回
只有超兽战士，永远不充钱
牛逼
参加工作三年了
真找到了啊，爷青回
味大无需多盐
超兽武装
牛
爷青回
开口鸡皮疙瘩起来了！！！！！！
想起来了，全都想起来了
太对味了
爷青回
原来刘老师看词是因为词太多了是吗
爷青回
爷青回
爷青回
666666666666666
神曲啊
泪目了
童年回来了
听懂了
哇
太燃了
爷青回
6666666666666
爷青回！！！！
对味了
童年啊
鸡皮疙瘩起来了
亡月劫
爷青回
老师！！！！！！！！！！！！！！！！！！就等这一句啊啊啊啊啊！！！！！！！
爷青回！！！
爷青回
好听
爷青回！
抄手武装
快奔三了
爷青回
好听
爽
燃起来了！
恩雷决！
youth！
鸡皮疙瘩真起来了
亡月劫
太对了！
一整个开口跪
当年要是网络再发达点，两位老师会很火
第一次听完整版
kksk
爷青回
全体起立
爷青回
哲学带师·夜灵云
爷青回
歌曲一响本大爷闪亮登场
左边儿也是风韵犹存
爷青回
有那味了
石杰忠借钱
火麟飞：再给我一天直接幻麟星云
永远不充钱!!!!
姐姐，鼻孔真大
爷青回
已有的事，后必再有，已行的事，后必再行
圣辉星云
仔细听两位确实没有小时候那种中气足了，确实已经过了好久了啊。
没办法男生歌词多一点（doge）
对味了
就会爆炸（下意识）
爷青回
爷青回
爷青回
终于听到第二次了
66666666666666666666666666666666666666666666666666666666666666
我的童年，还记得当初花十块钱买了一个异能锁玩具（有一个是天羽的，结果店家女儿把那个天羽的拿了给了我泰雷的）
已经高3了
做过页游 我还在4399上面玩过 没过一段时间就停服了
好燃啊
爷青回
这下听懂了
卧槽
就是这感觉。
为战而生，至死方休！
超兽战士永远不终结
记起来了
鸡皮疙瘩掉一地
6666666666666666666666666666666666666666
还是那味
只有超兽战士，永远不充钱！
这段才是王炸
太好听了
要来力
wc
对味了！
太对了哥
爷青回
占领空地
爷青回
爷情回
我去
全体起立
燃爆了
燃爆了！
好听，太好听了
爷青回
这正是童年回忆的味道
太棒了
好棒，太好听了
太棒了，太好听了
就是这个味
太棒了
太棒了
爷的青春回来了
爷请回呀，爷请回
好耶！！！
就是这味儿
太好听了
爷青回
世界中借钱
爷青回！
燃！！！
出音味来
绝了
武装！
啊啊啊啊啊啊啊啊啊阿啊啊
你看一遍不就知道了
卧槽我刷到什么
鸡皮疙瘩出来了
我得童年
出音味来
我的天！
牛
早上六点，都有200多人看，好好好
好好好好好好好
出音味来
呜呜呜呜
爷青回!
出音味来
大学城
爷青回
回来了
永远不充钱，哈哈哈
菠萝小薇
世界终结前
好看到现在每年放假还是会刷上一边的程度
研0了
爷青回
元空灭
起鸡皮疙瘩了
工作两年了
这部剧有深度，非常棒的动漫
好！
出音味来！
童年的回忆啊
爷青回
爷青回！
爷青回
！真请到了！老师好棒！爷青回！
这个也太怀念了
泪目
哇
爷青回
要来力
～～～
原声大碟
热门最有含金量的一次
大学毕业了，考研中
[OHHHHH]
好看的
给我童年时光投个币
超兽神七合体！
爷青回
爷青回
已有的事，后必再有。已行之事，后必再行！
终于可以合唱了童年
那时候的我们好喜看着电视前的动画片幻想一切
就会爆炸
太对味了
爷青回
就会爆炸（不是）
全都死
鸡皮疙瘩
今夕是何年
爷童回
爷青回！
世界
我的童年啊
可惜当年没有凑齐珍藏版的手办啊
爷青回
再给我一个星期让你们看看什么是火灵星云
声音上不去了
我去，童年啊，还记得当时看完大结局才愿意回学校上晚自习，还好赶上了
对味儿了
又出来了
卧槽卧槽，对味儿了
列表里的歌复活了
爷青回
没有女生吗？
小时候超兽最大的遗憾就是龙莹没跟龙戬组cp，然后就是一闪而过的项羽没有展现他的战斗力。
原声大碟
好怀念
回来了都回来了
对喽
爷青回
爷青回
鸡皮疙瘩起来了
等等，谁？什么
爷青回
还好我18岁 没考上大学 嘿嘿 继承超市
歌词都忘了 哥
当时的蓝狐真就是国漫天花板
姐姐好年轻
爷青回卧槽
一模一样啊
爷青回
我就是宇宙唯一的真神，鬼王！！！
就是这个味儿！！！！
爷青回！
等一首宇宙星神！
玄冥星云
好多A4，好难
陈洁丽！！
泪目
家里现在还有奥迪双钻的玩具
这味太正了！
对味！
怀念
青春的回忆啊，哈哈
只有超兽战士，永远不充钱
啊？！
对味儿
爷青回
起鸡皮疙瘩了
一开嗓就勾起了回忆，好燃
星力量真的好好听
尘曦
爷青回我超
光能聚合！
不充钱哈哈哈哈哈哈
爷青回！
爷青回
对味！！
卧槽
我哭了
怎么开始走马灯了
和声来了！！
爷青回
最后这段太绝了
OK！童年结束！搬砖！
是青春啊！
永不终结
以前不懂，现在怀念
对味了，爷青回
对胃了
1000+
太牛了
战斗，爽
爷青回爷青回///
只有超兽战士永远不充钱！
只有超兽战士永远不充钱！
片尾曲也贼棒，有种大战后宁静勘破轮回的感觉
蓝狐塑造了我的部分正确价值观啊
好听好听
世界终结
当初的幼儿园孩子正在备战高考
狮王怒吼，地崩山摧
我们永不说再见
寒！影！诀！
爷青回
日光之下，并无新事！
已有的事后必再有，已行的事后必再行
2000人出来
爷青回
出音味来
已经是金象族人的模样了
他怎么一个人有混响的
爷青回
完整版是要燃点
对味了
跟原来的不一样 第一句就不一样 不会是录音
爷童回
永远不充钱
浑身鸡皮疙瘩
就是这味
爷青回。
亡月劫
妈耶是熟悉的感觉
这下听懂了
亡月劫！
对味了
那对嘛？太对啦
爷青回
开始有感觉了吗！！
爷青回
都回来了  青春回来了
王导全能王
研二了
好好好
啊啊啊啊对味
鸡皮疙瘩一下子就起来了
就这个味
太对味了
青春呐，热血呀
只有超兽战士永远不充钱!
刘老师这唱的还算不好呀？这多好听啊！
爷青回
不充钱
三连奉上
爷青回
那是我的童年啊
武装味大
三连必须三连！！！
爷请回。
666
Ohohohohohohohohohoh
ohohohohohoh
哎呀太对了，就是这感觉！！！
这一币，敬童年
我的童年是真终结了
这一发致童年
爷青回
爷青回
哇啊哇哇哇哇
奶青回
做个游戏吧
我靠 感觉一下子就回来了
我的青春啊啊啊
呜呜呜呜呜呜呜呜呜永不说再见
和音太好听了呜呜呜
就是这个味儿
对味儿了
爷的青春呜呜呜呜
爷青回
我们用不说再见
哇卡哇卡
爷青回
开口封神
这给我干到哪年去了
爷青回
出音味来
呜呜呜
女声一出来泪目啊
对味了
起鸡皮疙瘩了，她的声音真的有一种温暖心灵的感觉
二十年了吗
爷青回
爷青回
青春集结号
好家伙，u2000
每隔十万年就会重复一次轮回
爷青回
好嘞好嘞
火云诀
青春啊，希望有重置版
爷青回
蟑螂终结者
出音味来
出音味来！
爷青回
爷青回
灵魂就是这个和声真的太爱了
“永远不充钱”你要笑死我
爷青回
all hail Megatron
耳机党狂喜
超兽神这一踢，踢出了整个童年！
根据爱因斯坦的广义相对论来说，我们所在的……
超兽轮回了不可能有后续
我的童年啊
原声大碟，我币不保了
燃起来
白月光的声音！
此处应有狼嚎
对味儿啦！
爷青回
对味儿了
蓝狐女神
你还是你我们也还是我们
爷青回
刘罡老师已经需要看歌词了hhh
哇哇哇！！！
鸡皮疙瘩啊啊啊啊啊啊啊
爷青回！！！
工作一年了
已有的事后必再有，已行的事后必再行
爷青回
为什么你救了我，再见又要杀死我
爷青回
已有的事，后必再有，已行的事，后必再行
亡月劫
两千+观看
幻麟兽
寒影决
这一段原版是只有鼓没有伴奏的，贼爽
幻天决
已有的事，后必再有。已行的事，后必再行。
这么多年肯定会有变化呀，听的就是一个青春，你还真挑刺上了
2000人别藏了
爷青回
这动感的开头
梦回童年
爷青回
太对了，就是这个味道
失去异能锁进入超兽武装，这一刻便是奇迹！
太踏马好听了
对味了
小学生已经工作两年了
感觉气息不如以前的足了
爷青回
我靠爷青回
爷青回！！
我心中永远的国漫天花板！
我的青春！
天元剑
