红季伯
大劈谷效应犯了
寒冰菇+寒冰射手
三阳开泰（1/1）
菇勇者
开趴（空耳）
其实是随即的泡泡打满七个颜色就行
轰轰烈烈的曾经相爱过。卿卿我我的变成了传说。
觉醒电塔（bushi）
《我们仨》
暗信
超长空瓶
就是超级赛亚人神超级赛亚人
小熊最新版本已经出了，要不你去玩一下（awa）
腰子
出生登场
《寒冰射手》
大灭菇！！！
核弹打蚊子
斐济入睡法
战神半完全体
给超级大嘴花上放樱桃炸弹变成究极大嘴花
同时励志拥有每一个空屏
打碎每一个空瓶的梦
一一一一一一一
好会喷（bushi
防空屏系统————————————————————————————————————————————
励志打碎每一个空屏梦
寒冰the shy
——————————————————————————————————————————————————
关闭
几天前的放人姜热一热
酿造台
女高中生
《波奇菇》
自带加热
菇勇者（
你是哪个小熊
胆大菇不长这样
肿瘤菇
作者是不是好久没更我的世界了？
我是护币烈，你猜我为什么在这里？
3211111111111·22222222222222222222222222222222222222222222222222222222222
xiaowanju
大灭菇
大灭菇
这一招就叫大炮打蚊子
杂交版在融合版面前就是一个弟弟
晶子
惊动军方
超级王子菇
我为逝者哀哭
小熊小熊，我告诉你，你玩的这个版本我也玩过
超级寒冰菇拥有赛亚人的力量
《屁股菇》确信
电脑里面怎么下植物大战僵尸融合版？
See night be night
情侣
没说你不是小熊
确定不会疼
这比怎么不舍呀
863
《一款年轻人的赛博闹钟》
《我  为  逝  者  哀  哭》
那和大喷菇有什么区别，为什么不继承胆小菇必中的特点
大辟菇
oh
[ohh]
[OHHHH]
冰胆菇
前方高能预警
刚才拿那个寒冰菇的时候是不是看到了毁灭大喷菇？他那个也白了，不会寒冰棍也可以吧
小熊你为什么把胆小鬼种在前排呢
这有多少种组合呀，作者代码不得写死
真毁灭菇
摩托车垫
这叫茄子。
大胆菇（确信）
卧槽，文！
完啦完啦，刚刚那个铁门怎么那么大？
B
这毁灭大喷菇喷射的子弹怎么没有毁灭菇的效果？
怎么下载
其实这个手机礼盒就是毁灭菇卡
这就是胆小赛亚人蓝色！
谈笑只间损失了一个小推车
维什戴尔
《胆大菇》
小熊你试着用用寒冰姑，我还有有那个毁灭菇都很小就能变成寒冰毁灭大喷菇。
因为“指某些事物是这个男人”是一个梗
戛然而止
胆大菇，阳光胆大姑。
这家伙比火葫芦强
一代出现爆炸坚果
舌尖椒盐
开炮
对高坚果使用礼盒可以变成寒冰，高坚果或火焰高坚果
三个豌豆可以融合成机枪手
樱桃炸弹可以和，豌豆射手融合，可以融合两次
种坚果墙就会成三个小坚果
emmm
有趣
飞机头？
Michael Jackson:hello
zhou xiang
亲嘴花
6
能发弹幕了
《你确定？》
出生准备登场。
《冰小菇》
迈克尔杰克逊
买不了吃亏，买不了上当
《你确定？》
看不见我，看不见我
逆天
末帝烛（
胆 大 菇
除圣登场
那个男人，表面毁灭菇，实际指麦蔻
降维打击
创游世界也有这个融合版。
《我是真小熊》
来自后期剪辑的自信
红季伯（确信）
灭霸菇
这不就是二代里的火葫芦吗
66666666668
仗助
66666666666666
灭绝菇
怎么不把向日葵种前排了？
绝灭大菇
魅小姑
胆喷姑
这没用
防空屏系统————————————————————————————————————————————
Is
他估计是融合了胆小菇的攻速和大喷菇的范围。
给你一键三连
刚才毁灭大鹏菇，再叠加寒冰菇，就是圣死灵法师伊莱克斯。
而且没坑，超划算
我的天呐，他简直强的可怕
喷的是核废水吧
也不是不行…（doge
大灭菇（dog
菇勇者
666
可是毁灭菇不能融合坚果
战神登场
出来吧，弃车人
资本家
三地鼠
我为逝者哀哭
贝蒂小熊，乱世不败
无非是毁灭连喷
762
一路：……
动画协作：射命丸文（东方风神录）
玩植物大战僵尸的，大多都是有强迫症
孤傲地眼神
他下半身很像那个葱
你就装吧
盖亚！！！
900人出来。
大屁菇
100加
1000 +的人出来
为啥要叫毁灭姑？这个男人啊，植物不是没有性别的吗？（疑惑）
毁灭大喷
他脑溢血了
大辟菇
厚葬
啊，小熊小熊，你为什么要把胆小菇，种在前排呢
来自后期剪辑的自信（doge）
大喷冰才是真的帅
寒冰菇
人人大喷毁灭菇
腰子姑
先说一下，需要2个毁灭菇才能干掉1个巨人
《小棒子大贵头》
我先问一下小熊，他有没有机枪射手？没有的话，停机了
僵尸：到底谁才是僵尸啊
大灭菇，简称：打咩
土豆地雷和毁灭菇不能融合
.2313
没胆菇
[ohh]
什么胡文朗朗，明明是可爱的小番茄
——————…——————————————————————————————————————————————————————————       防空屏系统      —————————————————
我听到了‘毁灭’的回响
————————————————————————————————————————————————————————————————————————————————
杀鸡用核弹
