把地图设计搞好，以后肯定能有法环这个级别的作品
星星之火，可以燎原
香槟？茅台？汾酒！山西可是重要取景地啊！
哈哈哈哈哈哈，正常人哪有那么多代入感
什么叫顶级的逆向思维啊（战术后仰）
大圣斩妖除魔
不是，真不一定活的到20号，怕当晚就被雷劈了
独立血条，逆天防御
对的，mc和ign在降预期方面其实是正面作用
游戏还没正式发售，只是在评测版有他国语言问题是很严重的错误吗？耽误咱们玩吗？
有人说这不是游科的问题，是系统语言出错导致的bug
可能真的活不到吧，毕竟浮游生物只能活一天，多一秒都会爆炸
支持黑神话悟空，是因为猴哥，是因为齐天大圣，是中国人自己的文化
我相信玩家评分一定会比媒体高，因为玩家比媒体纯粹
老洛啊，老洛
白噪弹！
除了少数媒体，其实国外顶尖的几家分也不算低，这还是不了解西游记和中国文化的前提
印象最深的是尼尔机械纪元
他说话就像鲁迅的散文
敌人越批评我，就说明我做的越对。
龙之信条2我通关甚至白金了这游戏掉帧其实都能算小问题因为最大的问题是怪物种类少换皮和后期内容匮乏
皇帝轮流做，今年到我家
ps5版？可以啊
这点说的很对，我认识几个串子和反贼，大部分是这个心态。
说不定真似20号前了
黑红也是红
香槟党头目
聊天记录，那不得不信了（doge
对的，到时候更想看更多设计典籍，boss典故，小细节之类的有趣东西
可是玩不到啊
《外地化》
3dm评测：我通关了 赤髯龙呢？
因为知子莫若父
知子莫若父
安装目录不能有英文吗
金色传说
英语：完了，我成小语种了！
还有说地图很大但是空洞 结果是他地图隐藏的东西都发现不了
还真不一定
都等了四年了，再等两年吧
哈哈哈小语种笑死了
打个比方“学长用流水是事”
守得云开见月明，轻舟已过万重山啊
"自信点. 人家就是不想给高分而已, 不要落入自证陷阱"
我未上车，你就到站了
电子生命啦，停电他们就老实了
蚌埠住了
？？？这就通关了
3DM小编：真有赤髯龙啊
确实，我印象中死亡搁浅一开始的媒体评分也不行……
传说之下做成了弹幕躲避
也许真活不到8.20号呢
稳啦！
理智？平时也不见得吧
首个一键三连送你了
哪个游戏公司不是呢
好骂
制作人名单长是因为外部人员也加上的
我不知道
牛啤
自我介绍了属于是
狠狠清算！
真实
字幕挡住太幽默了
其实这也反映了现在互联网乱象，真就各种pvp对立，根本不是来玩游戏的
泪目
贴吧大神难绷
好骂！
？
烂游戏别吹了
自己打补丁
因为，他是大圣啊
泪目
牛逼
泪目
小厂？小厂根本做不成黑神话
。。
环也巨能藏，我走半天都不知道下一步干啥
越到西方妖怪越多
啊？你这不也是在骂人嘛
这种评分问过我们真实感受的老百姓吗
不打算发的怎么还发啦？是为了流量吗
switch能玩吗？
龙哥就是龙！惹啊！
泪目
多少？
牛逼
观前提醒： Mc评分是指matacritic评分汇总网站，请勿ky
三季人呗高端黑
泪目
牛逼
牛逼
天呐泪目
玩元玩的 喜欢带节奏、
对啊，那不也被喷了，老外玩游戏说现实的错误是用来整改的，被你说的好像歧视你一样，玻璃心啊
机圈车圈百货圈之后，战狼再次杀到游戏圈
无敌了
好骂
牛逼
大疆就是最成功的例子，实际上游科跟大疆很像，只是做的东西不一样
