并不是，师娘这么说只是为了给程兵一个隐退的理由
有可能是师娘看不下去了，故意说的
三大队跳科目三，真有你的
实际评分应该是8.6
终究是坐牢了，对女儿的影响也是存在的，而且不一定是瞧不起就单纯是这么多年没见没感情了，太生疏
看看原片就知道了，电影里说了三大队判刑时全国舆论很大的，他的妻女这些年也不容易
真实案件就是队长一人追的，这样改也挺好
监狱这段很魔幻，按理在监狱狱警照顾其他人什么也不敢干
事实上是，谁都没有跟他一起，只有他自己
来沈阳，指定有你好果汁吃嗷！
他俩其实关系最好，片头坤坤还给他哥们儿子拿零花钱
←不能苛求现实中的人解救，报警才是最正确的做法
现实里大部分人只会看戏很少会有人真的出手解救的
这个秒回头看得我没忍住长叹一口气
忠于浩然正气，孝于至爱亲朋
真的建议看原片，这里很多细节拍得很动容
“没有人可以活在真空”——“程兵”记事本上得一句话
高情商
搭配的这些人更能反映原主角现实赵宇的困难
忽然那么叫一下，好奇的都会回头，但一般人回头后就走了，他心虚来句‘不是我’
王大勇已经被群众打的脾破裂了。
不是死马当活马医，是因为当时程兵认为那个人有个七八岁的娃不合理，后来大排档老板的事让他知道有可能娶了个二婚带娃的女儿
保安:布什戈门，你真拼命啊
不是名字的原因，是DNA检测自动报警
这部分也是我看的最心酸的一部分
一个人这么多？这么猛的吗
可以理解，有家有室的
带“国产”电影标签的，能得7.6真的挺不错了
有个坐牢的爹，女儿这辈子少了多少机会，这也没办法。。
受益方填的我（手动滑稽）
这个时候王大勇本来就被群众打出内伤了  后面被打重了
真兄弟哪会计较那么多
天降三等功
陈创老师 哮天犬
喝酒是为了能睡着，看了那样触目惊心的现场和现在已知的模糊信息，很难判断出什么
哈哈哈哈哈最后一个入伙的没走
就剩下当初还有执念的阿彬陪到最后
给不懂的小伙伴解释一下·已经采血了·也会录入照片等相关信息·现在走了也跑不了·
程兵的原型就是一个人缉拿凶手，电影还配了好兄弟
其实程兵一出来就是自己一个人查，妻子跟他分开，直到他破案了
幽默弹幕，这个故事的原型程兵就被判了8年，还科幻
这一幕太像20年后的安欣了
这里我不懂，他是失手打死个奸杀少女的凶手入狱的又不是干了什么丢人的事，他老婆女儿为什么这么看不起他
他画的那个小女孩
做的对啊，嫂子这么多年，怎么能不回去
鬼见条
哈哈哈，不打自招啊！只有本人隐瞒才会这么回复！
鲨臂科目三
自古忠孝两难全
陈思诚眼光不错，挑剧本挑媳妇都有一套，就是作为导演水平不太行
以乐景衬哀情
他是在给当年的自己敬礼啊
以前可是能报销的，现在全靠自己钱，有家庭的能陪着干就不错
这一部分的剪辑真的绝
闲暇
乐景衬哀情
都已经两年了吗？
本煜是你
杨新鸣老爷子演电视剧电影，角色不是疯了就是似了
警察也是人啊，有家人情感这很正常，没必要说是非之过
怎么不用大记忆恢复术？
14∶49
一语双关啊……
多少年了...多少辛酸...多少愤恨...多少责任...
通辽小曲
里面没有王二勇，镜子反光暗示害死阿哲的是程兵
笑点解析：豆瓣
这里不对，那会儿长沙上网没身份证，老板会给你一个手抄号码。我就是这么上过来的。
这里电影院里看的时候很恐怖 放在视频里看有点搞笑
注意，现在人们去拦，等到王二用打程兵时都不敢拦，说明了群众的冷漠（害怕更暴力的人
玩石头人玩的
赵波强我投降，赵波教你玩大唐！
从小喝到大
其实影版受限于长度，没有剧版演的曲折
这段有点像团长
一语双关，是感谢也是埋怨
椰树牌椰汁
豆瓣给国产影视的分一般都低一些……日韩啥烂剧都能上七分，真的很气
又一个男性幻想时间。正义，女孩们，要掌握在自己挥洒的汗水中，不是神片里。
很好，你们深圳可算出名了，有没有护圳宝来冲一下？（doge）
不咋地
爱情来了
这舞加上那个勾思音乐也是没谁了
电视剧的更好看
魏晨也演上电影了？
这和忠孝啥关系？
现在是幻想时间）
已经不让放辣
张译怎么演啥都一个样
俄罗斯方块儿~~真好玩儿~~~
陈思诚导演也还可以
天哪
一个人孤身入局，太难了
总算逮到了
找到你了
你打我干嘛
这是谁来着
正好有是吗
这么刺激的吗
这是教导主任
这么夸张吗
401
可惜可惜
天哪
保重啊
这么能跑
直接派去沈阳了？
帅啊
估计不会这么简单吧
哎
还会回来吗
这是什么意思
这是啥啊
贵啊贵啊，可以
哈哈
还有坤八哥
人贩子中心
这不会要一把捣毁吧
老墨
要有个机会
老板好帅
坤坤
这么快
怎么那么像阿水
长沙开了大排档
这么执着吗
嗯？坤坤
谢若琳啊
这也太难了
减刑后不知道咋样了
哦吼
愤怒
这个还挺像警察的
以后小区人再也不敢把水桶弄脏了
第二十条里张主任也挺不一样的
满江红的何立也不一样啊
真的斗殴也不可能只让一个走的，还手就算互殴
你都拍成商业片了还有啥不合适的
那个年代哪有那么多马路……顶多就是条道
娶的媳妇还挺好看
号可怜
？劝架的不劝了？
现在沈阳好多小店也是这个菜价
[ohhhhhh]
青山在，人未老！
菜还没吃，别浪费啊
真实警局里哪那么冷血啊。。。
这个倒是比较写实
这不是谢若林吗
报告老板
大王
还行
智慧的眼神
+
不要以猫扑的评分基准看这个评分
这个改动没毛病，前面群像，后面孤独一人依旧坚持，张力一下子就来了
百特慢
泪目的情节
张译这组表情情绪真神了。。。
表情神了，疾恶就是如此
隔壁那个开炸鸡的也赚的盆满钵满doge
不抒情拍什么电影，没人按你头
杀人诛心
工作就是工作但做工作的可是活生生的人
“加入我们妖精会吧”
怎么可能啊，这电影有点脱离实际了吧，不可能不报销的
什么叫放假？那得叫加班，唉真的被气死了
致敬传奇女神探
平民安欣线
豆瓣？史！！！
好看
真正这种有人命的它们还害怕判不了死刑出狱了遭报复，所以嘛，欺负欺负老实人得了。
现在也有这个价的
菜单眼熟haha
这哥们皮脂率挺低啊
谁知道是不是真的
德阳没有芙蓉兴盛啊
这德阳哪哦
德阳人震撼
完了到自己家了
合适吗？
程队小心，黄师傅要切你中路了
人机
没
看到这张脸感觉下面的剧情应该是万万没想到叫错人了
结果跟程兵最久的，反而是最一开始就拒绝的人
？报告老板哈哈哈
我看了五遍
即便我走向光明，身后亦是我，我们驻守的黑暗
安欣（
看过很一般
被恋爱单杀了
聪明，利用王二勇的特点，将事件定性为互殴
现在都没判决吧？
南大破不了了估计
估计是紫薇，或者是口角
只要有人先出手大家就会跟上的
答份
7.6在最近几年的电影算高的了
从犯，帮凶，是按一样的罪名的，天才
黑暗骑士
那完了，双减。。。
咦我差点看成马化腾了
前面的，刑警出任务还喝酒？明显是茶水啊
好骂，什么场合干什么事情
可不能干保险啊
她爸坐牢的原因跟常规的罪犯一样？
不简单啊
师傅，你是做什么工作的啊？
大哥 你们忘了指纹已经发过去了吗
这里明显是劝他，和一开始的时候状态不一样，师娘都放下了
小鬼又评价上对错了。
这不谢若琳嘛
这应该是受害女孩被强暴是的惊恐表情，可见这人是多心理变态
父王
主要是故事真实
\
原型就只有程兵一人追凶
新三国不是也7.6吗
勾东西，拉偏架
万万没想到
万万没想到
一个月几百块钱玩什么命
王二勇和成兵没见过，这里王二勇竟然没意识到
又是你
程兵原型又当回了警察
那件事反转了
外国片豆瓣都会加2分，国产片基本都是减1-2分
豆瓣什么东西懂得都懂
广东封路给放烟花
守护解放西
高能，请远离手机屏幕
个高劲大
史中史
谷一奶奶唱的真好听啊！
白银案啊？
几年前很喜欢张译，这几年逐渐无感，有点太端了
这个丝滑必须赞
感觉电视剧版的更好看
这才是真正的有警魂的警察！
woc，这里出场的顺序正好是离队的顺序
社会你虎哥，我到沈阳了，你根本没在动物园，你躲哪去了
案发的那晚风雨交加，罪犯落网时阳光，也算是首尾呼应了
这演员在红海行动里饰演石头
这电影跑出来跳科目三的是真的唐
是师父啦
那个吴谢宇好像也是在网吧被抓的
其实在沈阳这段看得我很难受，四个大男人与屋外欢乐的气氛对比。。。
被单杀个蛋，还遇到未来老婆呢
坤坤真的够意思了
父皇
三大队也是一部好戏
