？干活的人啥样干活就啥样，干活的样子还有定式了？
《怎么高级玩泥巴》
印刷二字的来源
《这就是女性力量》
可是雕版印刷只能印刷固定的内容，活字印刷可以随意调整顺序，更方便
我妈认为的辣条制作过程：
好有力量感的样子，女性的美就应该是多元化的，不要老是追寻什么白瘦幼
爸妈眼中的奶茶做法
这就是为什么中华文化传承千年，永远有人在想尽办法将今时今日之一切保存记录下来
生巧
坑坑洼洼不重要，也不是工艺品，只要把需要印制的字刻的突出点就行
好厉害，又能做力气活又能做巧活
“若只印二三本，则不觉如此，若印数十百千本，则极为神速”为什么会有人在印刷方面觉得雕版更好一些啊！
现在知道为啥叫叫排版了吧
又健康，又美，自信，这才是真正的身材
战狼版李子柒
大家注意听一下这个歌的歌词。
家长眼中的外卖制作过程
可怕 这视频拍了3个月吧
向智慧的中国劳动人民致敬！
跳进染缸。
果然是豆腐
我的妈呀，给我吃活字印刷粥？
绑只鹅造景哈哈
小米粥还能拿去喂鸡鸭牲口。不会浪费的
小米鱼豆腐粥
这是不是那个李子柒·战狼版
难怪古代一般都是雕版印刷，活字也太累了
我穿越就靠这些视频了
宋仁宗时毕昇发明了活字印刷术，标志着活字印刷术的诞生。他是世界上第一个发明人，比德国人约翰内斯·古腾堡的铅活字印刷术早约400年
前面的，如果有时间的话可以看一下初中的活板，沈括写的，《梦溪笔谈》的作者，那里边有解释。
123跳！跳进染缸！
很直观的说文解字，解释了印刷相关的一些词语由来
能文能武
写反字都写得这么好看，真厉害
欧泥匠
我的天呐好浩大的工程量
这才是视频网站该有的视频
七年级下册最后一篇课文真的好难背
《真正》的女性
这才像干活，九月学一学
真正的女权主义者！值得尊敬！
前面解释一下 活字印刷是要刻反的字印出来才是正着的 找镜子是为了方便看做的镜像
一二三跳 跳进染缸
美得流泪！
[ohh]
哇，居然不会散掉哟
印一个皇榜。hhh
有团队
鱼豆腐啊
鸡皮疙瘩起来了
女性力量
哇
[ohhh]
[ohh]
[ohhhhhhh]
吃了就有文化了
注意，他前面弄泥的时候 玉米还是青色的，之后就把玉米收割了 真的时间成本巨大 。。
你不知道没见过的东西多了不代表没人用
这院子上链接
女性力量
身体真好
现代人的脑子无敌了，刚才甚至又说原来这个能吃啊的
[OHHHH]
肯定是不能吃啊
为啥不去椰树直播间领舞
[OHHHH]
这一步其实也不轻松 因为得反着写 还得写正楷
漂亮
活字印刷术！
[ohh]
反着写厉害了
逆天麻将
[OHHH]
nhhvhvvvy
我的天啊
想喝
[ohh]
[ohh]
活字印刷术
[ohh]
[OHHHH]
好电影
[ohhh]
劳动女性最光荣!
姐姐好厉害啊
[OHHHHHH]
这是麻将
绿豆方糕
可以打麻将咯
[ohh]
好多工序啊
[ohhhh]
[ohh]
有点想啃一口…
看着好吃
571
OHhhhhh
熬汤？
[ohh]
朋友看标题！
[OHHHHH]
[ohhhhhhhhhhh]
好美。。。
好厉害
殴泥酱
加珍珠
能文能武现代版
[ohh]
[ohh]
环境是真好 这种地方才能静下心来去做想做的事
麻将。。。
随地大小唱
李子捌
不会煮成羹吗
[ohh]
[ohh]
好奇为什么不用硬木
持就火炀之
太会拍了
工序很繁琐哎
建水烧豆腐
[ohh]
好美的天空 真的很有诗意
这跟雷大炮有什么关系？
好牛啊
冻干
这个水真的…
匠心打造
铁山靠
工匠精神
[OHHHH]
[ohh]
[OHH]
[ohhhh]
其上以松脂蜡或纸灰之类冒之
666
oh
[ohhhhhhhhh]
可怕的进度条
大辟谷
臭豆腐
最初以为这是健身up
肖
太厉害了
“盖”
[ohh]
蠢
瞽
以前盖泥房的砖也是这样做的
[ohh]
盲猜一个二十四字核心价值观
有
劳动人民！
[ohh]
[ohh]
好白
活字印刷？
好厉害
活板是初一学的
当然啦，因为刚才摔泥的那一步把空气都排出来了
[ohhhhh]
好牛啊！我的姐
？？居然是烧的
啥？还煮？
[OHHHH]
啊？
活字印刷！
这什么相机，色调好看
阿真，你来真的啊
太厉害了
唐人尚未盛为之
[ohh]
看完了回来评，牛逼！
[ohhh]
厉害
0帧起手
这个四合院就值1亿，别不信
厉害
