好形象的比喻哈哈哈哈哈
村里第一个大学生效应
3A就是大成本大制作，声画表现精良，技术先进，但是3A≠好玩，这点制作人也提到了，游戏本身的内容，玩法才是游戏核心
这个主持人比我那些奥运记者强太多了，言之有物，前面说游戏的时候不太了解，但是挖掘的时候很细腻
打两份工（doge）
笑死了，国外游戏制作时有考虑过其他国家玩家无法理解文化的问题吗？
热心玩家x  急急国王√
中国单机市场已经很大了，这次预售单靠国区就能冲击榜一
广智：还得是我
我真的很喜欢玩单机游戏（没有社恐不爱吧？）
本意是招人，出圈是意外！哈哈哈哈哈～
死亡面试与申论标准答案
@大圣归来
新闻播音初次转行be like
土地公：我成防火女了？
独立游戏就是最好的例子，游戏真的太特殊了，我认为好的创意和可玩性真的比画面重要太多了
《热辣滚烫》没错，正是在下
腾讯：哈秋？
吴承恩：你们多少该给我烧点纸
高情商:情绪是对的
小黑：6
这才是真正做过事的人，干过事的人，做事本来就很难，所以你看，哪怕是美帝也拒绝不了不做事的诱惑，就拉成现在这个样子，历朝历代，无不去此
防御性比较强：指一刀被砍成空血
前面的朋友请不要用“不就是”这种话就概括了，正反馈的表现有很多种，情绪上的愉悦感只是其中一种，多思考一下谢谢
《谁谋杀了我们的游戏》，2007年，尤卡
承载了太多期待，反而压力很大，所以卸下这些标签，回归游戏本身
真的单看这个人的接受采访时的表情动作和话语，我感觉都能学到很多得体讲话时的技巧
《谁谋杀了我们的游戏》-冯骥
ign：阿巴阿巴
既然当地人都不清楚，游科从哪得知的？也就是说，游科是从文献找到这个东西，然后再去的实地？传承啊
三剑时代→盗版猖獗→难以为继→传奇→征途内购→腾讯起势→尝试未果→摆烂至今
一身雪还没有鱼上钩的空军龙
《你自己送上门来了》
游科入职的时候就要求你必须是个多面手，起码都要精通一点，然后再有一个自己专职的
山西古建太多了，很多本地人不知道是很正常的。。
黑熊精杨奇
防御性比较强：指一刀秒
此时的我突然在家中床上蹦起：你越是不肯，我越要让你拜服雷音！语调铿锵，就是家人看我的眼光有些奇怪，没事的，他们不懂我黄眉大王的傲然威风，定要那猢狲折服于此！我不要去医院，我没疯～～
直奔名场景：防御性比较强.jpg
