他是真玩起来了。
注意：这是一个月前的采访
先别给我聊什么法术攻击，先让我记住哪个是躲避
包括巴黎奥运会！doge
卡总红温了
这个设计有意思，当地的人参什么的精怪修为有成就封做当地的土地
发芽的土豆
此处得胜二字出自赵孟頫《行书洛神赋》《蜀山图歌》
《猴 子 猴 孙》
影视级毛发质量
《好吧》
呼叫列文虎克
墨菲特玩家
布什 戈门
翻译一下：难度还是太低了
《随便按》
《恋爱模拟》
拆包容易进橘子
我也想玩……但我就是记者美女这个水准，所以，算了吧
《还要做一些调整》
保密级画质
我们等了四年！而游科等了七年！！！！一切都值了！
发芽土豆绷不住了
空军
游龙一般的身姿
：我的宝贝袈裟呀！
这就是矫若游龙的飘逸轻盈出处吗？！第一次直观体验
前方石头人空大
空军龙
我还以为女主持在打，原来不是2333
这是真爱，要是边上换个懂行的，他已经开始讲解打法了
希望游戏也能更新制作人讲解在二周目
沃日好帅
黑猴排面。
666人家叫广智，是金池长老的徒弟
黑熊熊
不愧是有“恋爱模拟”标签的游戏（doge
这踏马是恋综吧，羡煞我也
@洛恩佐
惊鸿游龙
亢龙，有悔
同款飞智手柄
身外身法！
停龙车
大 树 守 卫
土豆发芽了
村长
《问题不大》
古  达  老  师
没关系我让后台调数据了，怪打你不掉血
空军司令
技能丰度不是很高✗，太弱了，回头再加强✓
游龙
《逃跑大王》
啊啊啊啊啊啊  明天还要上班！啊！
恋爱养成游戏是吧
人话:还是太简单了，得再来点神经快慢刀
他戳棍的这一下 我看见了分身猴子在喝葫芦回血  哈哈哈
《只用石头人单刷》
哈哈哈哈 策划负责人已经汗流浃背了，回答有一搭没一搭的太逗了
广智：还得是我
这是攻，这是防，这是苇名弦一郎
哇哦！
这葫芦披肩和棍子都太帅了吧
一直不知道婉若游龙的身法什么样，现在知道了
《这个阶段比较高的》
《石头防御比较高》
教女朋友玩3a的感觉哈哈哈哈哈
尤卡亲口说完了，褒姒！
墨菲特共享网络已连接
？？？？？？？？？？？
啊
好像女朋友找你看新衣服包包你在专心游戏的样子
我再次看了左下角
啊？
排面呀
啊？
牌面
新华社？
不确定，再看一眼ID
新华社？
虽然xbox不首发，但还是得用xbox手柄
哈哈哈哈顾不上说话了
新华社首发
说话啊 你说话啊
谢罪警告
没利远军厉害
啊？你是？
啊？
这快慢刀真绝了
发芽地瓜哈哈哈哈哈哈哈哈哈
发芽地瓜哈哈哈哈哈哈哈哈哈
帅啊
鸦香客，刚刚打完
小龙人
昨天？羡慕你玩了两天！！！
古达
啊？
你们结婚吧
能让管游戏这块游戏分级吗?实在受不了绿血了
今夕是何年
我觉得真可以试试能不能顶出去，看看他会不会飞回来（
渔女！？
人民万岁
布仕，戈门？
这是土豆公
啊？
熊罢怪
像是教新手开车，好想自己来
我又看了下谁发的这个
悟空太排面了！
火刀郎
怎么感觉像是怪物猎人里的什么龙
啊？
不是哥们儿？
把天赋点满再上手
啊？
奔波儿灞灞波儿奔
黑熊精
啊？
还有高手
新华社都上来了
啊？新华社？
排面
笑死 有钱充648买不起这个？
确定是新华社？
不是，你谁？
新华社哎！！！文化输出官方数输血！
不是你真来啊？
之狼
？
啊？
排面
帅
凯多！！！！
排面
啊？
啊
格局啊
帅哥老板，请给这位美女来个挂
空军之后急了
纯新
鸡皮疙瘩起来了
啊？新华社？
这把刀到时候绝对是个贼拉好看的周边
他好厉害
把妹
魂类游戏特有的锁视角
四渎？渎谁？
排面！
空了，笑死了，哈哈哈哈哈
新玩家都是侧身躲避
新华社？？？？？？？？
啊？
亢金龙最帅了，告诉外国人中国龙是啥样
带什么头盔，头上龙角都强制招架了
锁血啊
还有三分钟！！！
可爱捏
牌面！
就已经玩上了
排面
这是新华社？
？
猜猜有没有牢洛
一丝一丝
冰冰呢
我愿称2024为华夏重回世界之巅元年...
扬扬真的好聪明...上手真快...
老婆
刚才那一帧脚踩空了
赛马娘可以玩了么（doge）
官方教程
大（dai）王
啊？
爷们要战斗
扬扬我相信你可以的...
老婆
UC震惊部：震惊！新华社记者和主创一起说完了，究竟是什么原因，敬请期待doge
这么帅
漂浮感好帅
新华社？
？？？？
牛逼
哈哈哈
定身挠痒痒
帅
啊？
好帅
老婆
牌面
新华社！！！！！！！
空登是吧
8.20，9：25
方唐镜
这样的猴子怎么会有女生不喜欢！
刀狼教头！
中国古代是有犀牛的，只不过灭绝了
啊？
还在藏还在藏
仿身泪滴X4
啊？
石头人空大了
丸辣！
这不出周边的吗
？
？
牌面
我眼红了
啊？
我也喜欢刀狼！
丸辣
恋爱模拟器
悟空：天国搬救兵来啦
谁？
空大了哈哈
拿来把你
好帅啊，喷了
？这是真的吗
说了多少遍了，钓鱼一定要戴头盔
？我还以为是录的视频，没想到是现场直播。
？这还不够
官方排面
能推他下悬崖吗
上来就是一个浮空忍杀
卧槽，豪杰儿帅
神龙钓鱼，真酷吧
觉得女记者外套挺好看，一搜 好家伙 lv的 2w多，新华社记者这么有钱吗
等下？啊？
新华社？
新手还是用键盘吧
bgm不错
同款罗技鼠标
外媒：要不你看看你在说什么
黄哥发芽了
加密画质
请把公屏打在排面上
哈哈哈哈哈
扯淡精英怪，一刀半血强度高得很
新手，但是魂类
我没有看错吧
泾河龙王满门都在一起了
等等，这是新华社？
空军！
这是攻，这是防，这是苇名弦一郎
？
一棍秒了~有什么好说的~
这个主持是故意装作有点呆萌么···
石头人
什么！新华社！
记住她现在的笑
电棍
姐们儿要战斗！
帅啊
怎么全是吗喽在玩
锁了！
空军龙
出现了，TGY！！！
恋爱模拟
排面~！！！
凭什么
独钓万古空军龙！
这飞起来的动作第一反应：角战士
把阎魔刀给我！！
真官方
没教程？
哈哈哈
啊？
啊？
没有洛恩佐？
啊？
《新 华 社》
啊？
8月20日早上九点五十九
太帅了
新华社也是有面子了
啊啊？？UP是。。
啊？
此处应有一把塑料椅子（
排面。。。。
执行秘密任务？无双不久完事了
谁钓鱼不戴头盔啊？
抄袭西游记铁证
《好吧》
给我狠狠上头
我长大了，不像小时候只光顾看猴了。
不确定，再看一眼油婆主
够了够了给的实在太多了
牛头马面
叮
新手怪？
你是谁
你别玩了，看着挠心，还是换我来吧
风灵月影启动
袈裟仙人
刘易斯
香槟社
爽
播放量一天涨了100多w
发芽的刀哥
帅
爷们要战斗！爷们儿要战斗！！
新华社
新华社
啊！！！！新华社！！！！！
出息了  新华社
再见各位
他不过是来钓鱼的啊！
