标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
【IGN】10分，《黑神话：悟空》评测：踏平坎坷成大道,IGN中国,https://www.bilibili.com/video/BV1Ti421a7dv,755.4万,4.9万,《黑神话：悟空》绝对可以说是一座中国游戏行业的里程碑，它所呈现的优秀品质对得起这四年来它背负的所有期待，这是真正意义上放在全球市场也是极具竞争力的国产游戏，我相信它会成为今年年度游戏的有力竞争者，而游戏科学也将在此役之后毫无疑问成为全球顶尖ARPG游戏开发商之一。,43.7万,19.7万,43.7万,19.9万,"['黑神话悟空媒体评测', '游戏', '单机游戏', '游戏评测', '腾讯', '单机游戏', '国产游戏', '孙悟空', 'IGN评分', 'IGN评测', 'PS5', '游戏科学']",2024-08-16 22:00:00
《原神》纳塔交响音乐现场,原神,https://www.bilibili.com/video/BV18E4m1d7b7,312.8万,2.0万,"本次纳塔交响音乐现场包含《纳塔 Natlan》与《苍原的颂灵歌 Anthem of the Savannah》两首由HOYO-MiX出品的《原神》游戏主题音乐，由指挥家Robert Ziegler、伦敦交响乐团、London Voices合唱团、Vocal Shack合唱团和民乐演奏家们共同演绎。
 ‌
感谢TAKEOFF Studios的协作支持，感谢Stagecast提供的拍摄制作支持。
 
========
 ‌
《纳塔 Natlan》
作曲：苑迪萌（HOYO-MiX）
 ‌
《苍原的颂灵歌 Anthem of the Savannah》
作曲：王予曦（HOYO-MiX）",29.5万,30.5万,29.5万,4.5万,"['音乐', 'MV', '原神纳塔', '米哈游', 'miHoYo', '原神', '原神音乐']",2024-08-16 18:00:00
“大石最终还是碎了胸口......”,龙之王修罗,https://www.bilibili.com/video/BV1Fy411q76v,203.3万,1963,"BGM：晚风
感谢百万填词：",37.8万,14.4万,37.8万,7458,"['鬼畜', '鬼畜调教', '鬼畜调教', '谭谈交通', '人力VOCALOID', '鬼畜', '人生', '人民', '谭警官', '真实', '大石碎胸口']",2024-08-16 10:00:00
《崩坏：星穹铁道》椒丘角色PV——「销魂饭」,崩坏星穹铁道,https://www.bilibili.com/video/BV1ar421K7Wn,263.4万,1.3万,"「为什么我会流泪呢？有一种撕心裂肺的感觉。」
「是辣椒，我加了龙息辣椒。」
‍
中文CV：
椒丘——陈张太康
素裳——陈婷婷
白露——多多
‍
日文CV：
椒丘——丰永利行
素裳——福圆美里
白露——加藤英美里
‍
英文CV：
椒丘——Mark Whitten
素裳——Anjali Kunapaneni
白露——Su Ling Chan
‍
韩文CV：
椒丘——이정민
素裳——박시윤
白露——조현정",28.4万,6.9万,28.4万,3.9万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '椒丘', '崩坏星穹铁道椒丘', '明霄竞武试锋芒', '角色PV', '米哈游', 'miHoYo']",2024-08-16 12:00:00
通关了《黑神话：悟空》后，简单锐评一下幽默的西方游戏媒体评分。【游戏之外】,智能路障,https://www.bilibili.com/video/BV1uz421B7ef,539.6万,2.3万,Not Found,29.4万,16.1万,29.4万,3.2万,"['黑神话悟空UP试玩感受', '游戏', '单机游戏', '黑神话悟空', '黑神话']",2024-08-18 10:07:56
车主嫌弃的水泡车，看我2千买来将它洗干净。,张哥的汽车Vlog,https://www.bilibili.com/video/BV11W42197R3,283.4万,1.3万,Not Found,30.7万,3.1万,30.7万,1.4万,"['生活', '日常', '内饰深度清洗', '沉浸式洗车', '洗车解压视频', '水泡车清洗']",2024-08-16 12:00:00
活字印刷,谢大炮8,https://www.bilibili.com/video/BV1ir421K7he,164.2万,5447,活字印刷，中国四大发明之一，一起来感受中国传统文化的魅力！,38.5万,17.1万,38.5万,5651,"['一起上岸吧', '生活', '三农', '制作', '设计', '手工', '原创', '艺术', '古法', '活字印刷', '匠人', '记录', '哔哩哔哩开学季']",2024-08-17 17:41:18
最难出来的一集...,呱唧菌,https://www.bilibili.com/video/BV1Nf421B7NP,609.4万,4774,Not Found,30.9万,2.3万,30.9万,1.3万,"['生活', '搞笑', '鬼畜', '高能', '搞笑', '呱唧', '段子']",2024-08-16 19:30:00
我敲！！,高斯Goh,https://www.bilibili.com/video/BV1ky411e7RF,265.4万,2.0万,"希望你喜欢这次的视频。这次玩的游戏叫做《moo斯密码》。
游戏的规则很简单：
有一张密码卡：蛋敲1下，苹果敲2下，一勺糖敲3下，巧克力块敲4下。
有一个出题人抽一张题卡，根据题卡上的内容进行敲击。
其他人听过之后，在桌上找到对应题卡的那张牌，谁先抢到谁就赢了！
记得三连！！！！！！",21.2万,9.5万,21.2万,2625,"['万物皆可游戏', '游戏', '桌游棋牌', '娱乐', '日常', '搞笑', '逗比', '桌游棋牌', '沙雕', '卡牌游戏', '整活', '小潮team']",2024-08-17 12:00:00
老牛舌头太诡异，吓坏养牛户，我爸深入老牛口腔摸索，结果被震惊到了,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1Er421M7rA,349.5万,2585,Not Found,32.9万,8.0万,32.9万,927,"['了不起的新农人', '生活', '三农', '开启暑假的100种方式']",2024-08-17 19:17:57
狗狗知道监控的存在吗？,柯铭和四只熊孩子,https://www.bilibili.com/video/BV1Km42137yg,279.1万,2383,虚构演绎，内容仅供娱乐，请勿相信,49.6万,1.1万,49.6万,4.1万,"['毛孩子放风计划', '动物圈', '汪星人', '狗狗', '汪星人', '戏精', '毛孩子放风计划 亚宠季']",2024-08-17 12:44:08
为了拍cos，我请了一辆吊车？,蓝染碎月,https://www.bilibili.com/video/BV1Br421K7A6,333.3万,875,策划：,15.9万,5.8万,15.9万,2735,"['时尚', '仿妆cos', '摄影', 'cos', '娜维娅', '原神娜维娅', 'Vlog', 'Cosplay', '原神']",2024-08-16 11:48:08
《黑神话：悟空》3DM评测10分：青史留名天命人,3DM游戏网官方,https://www.bilibili.com/video/BV1YE421w7W5,229.1万,1.3万,"简介：
斗罢艰险又出发。

作者：
太空熊",15.3万,12.3万,15.3万,1.5万,"['黑神话悟空媒体评测', '游戏', '单机游戏', '孙悟空', '黑神话悟空', '黑神话', '游戏测评']",2024-08-16 22:00:00
在你看到这期视频之前，它，没有观众,南翔不爱吃饭,https://www.bilibili.com/video/BV1Nw4m1k7Mk,640.1万,7611,-,56.1万,40.7万,56.1万,8939,"['我的整活手工大赏', '生活', '手工', '纪录片', '火壶', '七江炭花舞', '非遗', '非遗传承', '打铁花', '一起做手工吧16.0 手工暑期大作战']",2024-08-14 16:50:26
《原神玩家看5.0前瞻现状》,企鹅带带北极熊,https://www.bilibili.com/video/BV1q4421Z7Eg,257.9万,1.3万,真的不关注一下北极熊吗 T T,21.9万,5663,21.9万,3818,"['原神UP主激励计划', '游戏', '手机游戏', '手机游戏', '搞笑', '纳塔', '原神', '原神UP主激励计划4.8']",2024-08-16 16:57:13
当我上了电竞学校,矮油王老六,https://www.bilibili.com/video/BV1vM4m1y7DV,316.6万,383,-,39.5万,1.3万,39.5万,6347,"['夏日整活大赏', '生活', '搞笑', '搞笑', '高能', '校园', '原创', '娱乐', '生活记录', '大学生', '学生', '王老六', '搞笑研究所2024 5.0']",2024-08-16 17:52:33
