《他更蠢一些》
这期太抽象了蛙趣哈哈哈哈哈哈，这不比剧本好看多了
我求你了，哥哥，咱真的别抽象了
我勒个朱苏
我服了虽然是前五但是难度系数有点高了
《第一个词风骚》
不是，怎么私下练习抗拒一下不行吗？最后上舞台不是扭得好好的吗？
《还》
左航：这水可真水，这水可真好喝
最爱丹丹奖
吴彤不愧是你
穆祉丞你倒是争一下啊。。。
如果是买菜组上我会更开心滴
翻译：哦 那咋了
让余宇涵来
他会请老师吃穷人喜欢吃的手抓饼
WC苏新皓绝对实力
这老师我怀疑专不专业，你是女声，男女音域不一样啊……为什么非要让他们往最高顶
省流：上位圈vs下位圈
如果这期再加个张子墨 我都不知道我的嘴能笑到哪儿去
搞清楚夜店风性暗示和女团舞行不行，他们跳前者多少都会带点抵触啊
航酱好宠小鱼啊，这么大盒零食直接给余抱着了哈哈哈哈哈哈
逆蝶终将飞舞
《豆角咋卖的》
小苏这个结尾跟鑫鑫儿上次导师小考breaking的ending一样
赵冠羽 朱志鑫 张泽禹 张极 左航 苏新皓 张峻豪 余宇涵 童禹坤 穆祉丞 陈天润 黄朔 张子墨 姚昱辰
鹿茸～
二代粉也觉得小余声音有点像张真源
rap还得是左航
梦回东九区
不是，我记得他们刚开完运动会吧…真就累死了完事？
有不是所有三丝都看过二代，翔霖只是表演过，这是宋茜老师的歌
左航：战术性喝水
猫老大好可爱
不是哥们儿，你又甩脸上线了
哈哈哈哈盯妻狂魔
真的有点余宇涵声音
张峻豪要是没谈完全能出道
你们叫什么？。是个人都看得出来这两个舞蹈不是一个难度不是一个风格吧。。
豪难庭
航禹咱动动啊啊啊
佑芝！！！！！
我路人都知道朱志鑫是一番，一番上台念个词就是皇子了？好颠
这俩歌才是适合他们的风格男团爱豆，毕竟是一代二代火的歌
苏新皓实至名归
张峻豪绝对不是托
规则哥去唱rap。。？
不是，人家是男生不想跳女团舞，很正常吧。凭什么说不想跳女团舞？就是又当又立了。
嗯……原来你们都知道……
我感觉这边的气氛就好很多啊，那边好压抑啊
？别告诉我没有双人游了
其实我觉得他应该像黄朔那样加一点幽默，要不然太尴尬了
这个我也会，一直睁着眼就行
导师快笑过去了
极禹的动作是能看的吗？
够了 够了 够了 全员出道吧 求你了
张峻豪综合实力真的算三比里面最前面的了 创作舞蹈rap…
就那五个人出道吧 包火的
拉紧朱志鑫的手一起出道！
冷知识:屋顶着火是宋茜的歌
苏新皓站
补药扶贫啊
怪不得棍宝都感冒了哈哈哈哈
五人团！！
？！什么鬼啊不一样的人唱就是不一样的感觉啊 这不就是区别 硬改啥。。。
《唯粉破防瞬间》
玩梗适度吧，女团舞怎么不正经了，他们师兄张真源被起哄跳女团舞的时候大大方方的没觉得哪里不好了
大家都在笑他  可我却…… 他真的很好 也害怕失去
我不知道谁喊过他宝贝，但是我知道谁一定没喊过。
好神金。。。尬住了
支持前面姐妹说的，这一段让夹心或者童童来唱会更好。。。
有意见的建议先做下功课韩娱ace这个词的来历以及第一个有这称号的是谁，rap是加分项不是必选项
我想要八人团
那咋了就磕
左航他在看！啊啊啊啊啊啊啊啊
不是这这这，差点亲上了啊啊啊啊
他们都受不了了……不知道在改些什么
橘批打卡
”高光时刻”
李飞真的雷三比
朱极航颜霸组秒了
苏新皓！C位
《出道组》
我勒个all邓天堂啊
芒芒实至名归表情包大王（高情商版）
《于洋》
妈呀 那两个都要笑死了
求求了，师兄粉真的别骂我们，这是公司决定的，不要怪小孩们，真的，求求了
丹丹 蛋不肉 手抓饼
张极表示:啊？我家就这么水灵灵的被偷啦？
不应该是掌管冷场的神吗
航禹我磕磕磕
哎哟！让我磕到了极地航行
讲真的不知道是剪辑的原因还是剧本的原因，前五那个拍的真的没有这个好，只能说看舞台表现力喽，前五妈已经瑟瑟发抖了
韩娱很多ace都很少唱rap 但不代表不会 而且他会唱rap的请你回去补物料 以前三代的rap是他先唱的
《眼前一黑》
我靠好搞笑呀要笑抽过去了，我丢他们干嘛呀？这次纯正的三比味啊
《大拇哥》
极禹大卖特卖
我都不敢想 这组要是没有张峻豪会咋样。。
想起来陈奕恒
芜湖棍铲~
椅子舞跟这个区别很大的好吗，这个一看就很律动那个一看就很媚啊
角落里航酱都不敢 说话了
左航:这水可真水呀，真好喝
想起小哼哼了
还我妈生百忧戒还我妈生百忧戒还我妈生百忧戒还我妈生百忧戒还我妈生百忧戒
疑似胖猫复活仪式
这个未必感觉突然胜算就不那么大了 毕竟内定对吧
仿佛回到了我不是毒妇的时候
刘耀文师兄:我看看四天能做出什么样的精美舞台
怎么说，能不能好好练，真的好耽搁，前面就说了，你们只有4天，只有4天还是那嘻嘻哈哈的，真不想说了
上朱苏
苏新皓运动会在足球场上也脚受伤了
就这个朱苏爽！！！！
好多年前他也做过这个动作
张大大也是当上师兄了
马嘉祺秒了
我趣，dk同款小萝卜泡菜姿势，，笑死我了
就这个志极爽！
笑疯了这里哈哈哈哈哈哈哈哈哈哈
给夹心吓一跳笑死我了
不，我觉得是《最烂的剧本》
张峻豪rap实力更强感觉（我不担他俩）
盯妻狂魔
超绝偷感
我嘞个大C呀苏新皓棒棒
《闷骚》
其实军号之前销量可以到5番的。。唉他自己不争气啊
不知道说什么了，吵了这么多年，最后几天大家一起努力吧！小苏加油
开玩笑，宝导之前是拍过剧中剧反转的
我勒个极航
《以前》是什么样的你还记得吗？
干脆改名叫糖果超甜算了
全员出道
张泽禹聪明
干豆 发芽 挖藕（蔬菜大乱炖吗）
懂的人已经泪流满面了，我泪目了
看完之后连忙找到小炸们唱的 听完之后 满意的睡觉
C83别逗我笑
你确定
极航极航我哭死
这个表情真的好像苏新皓
我感觉不用改 挺好的 挺有特色的
朱苏那俩口子呢
宋亚轩后继有人哈哈哈
是的，没有张泽禹呢，登陆计划
顺音磕一口
不愧是文化人。。。
那个说小苏不会rap的，麻烦看看前面的舞台哈，我们小苏唱过rap，而且他的rap是严浩翔师兄教的，而且ace里面rap不是硬性要求
前五还得是前五
哼哼也跳了
这期太好看笑死我了
抛开谈恋爱来讲挺棒的，但是抛不开。
陈奕恒！！！！！哼哼也跳了啊啊啊啊
我就知道张极要想一个答案有左航的
棍丝又被正主背刺了叭笑死我了
说实话都这时候了不认真对待还真一直笑嘻嘻的啊 我觉得军号说的对啊
音乐一响起就想起哼哼了
想到哼哼了
ak冰块
前五有实力也有人气
宝的锐评
《鹿茸》
确实像贺儿
别骂小孩！ 求求了！ 是公司让唱的！
啊啊啊啊！！！！！！！！博文跳过（不是引战，只是兴奋，不喜别喷）
左航：嘿嘿嘿，我磕我磕磕磕！！！！！
梦回小宋和马哥小时候的那一段其实也有点想听小师弟泽禹唱，联动
哼丝路过
张泽禹在左航的后面，后期给剪掉了
想到了陈浚铭陈奕恒
也就只有左邓那么客气了啊啊啊啊啊啊啊啊啊啊啊啊呜呜呜呜呜呜呜呜呜
，，，你们粉丝说实话别溺爱，这真的好听吗
《我还在想》
苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓
张泽禹唯一主唱
左航只是热心分享零食（念念碎）
作为公众人物不应该控制一下吗
我就一句话，你行你唱
笑死我了仨人机
除了规则哥，我舍不得其他人
挖藕挖藕挖藕挖藕~
未见其人先闻其声
《他是不是“有病”啊》
极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航极航
极:还不如干豆~干豆~
不知道你唱什么？！
博文跳过
屋顶着火  一定要让苏朱上   包赢的
不是，这是一个难度吗哥们儿
模仿别人叫表演型人格，那这里全部都是表演型人格
盯苏新皓
《圆规》
烦死了。。心疼恩仔
并不是没法改变，是能力有限，不然为什么张泽禹就能从六番到二番
极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹极禹
这一期真的给我感觉五人团可以 就这五个人，太好玩了
楼永一的高音肯定猛啊
我嘞个家属感
铲棍麦一下铲棍麦一下
大家真没看到左航鼓掌吗
听到这个想到博文了。。。
因为上一组是只唱了高音，这一组唱的都是比较简单的部分
这一期笑着笑着就哭了
想起了哼哼
极航又开始忽悠小苏了哈哈哈哈哈
“芒果从来不是贬义词 芒是万丈光芒的芒 果是硕果累累的果 ”
我了个极地航行啊啊啊啊啊
