《天才少年和逆天母亲之间的故事》
啊啊啊啊啊啊啊？
大卫:我相信薛定谔，只要我不检查那我就在一个有辐射和没辐射的之间徘徊
核聚变？？？？你确定？？
不得不说他也是一个化学天才
九十年代初锂电很贵，现在……
母亲身在辐中不知辐
跟变形金刚有直接接触
居里夫妇的经验
突然就合理了
这个年龄我还在学一元二次方程呢，顺便不情愿的去上几个兴趣班
数学的尽头是哲学
还有高手？
人家17岁手搓核反应堆，而我的17岁手搓后代
但是世界上还没出现过第二个手搓中子源的天才
虽然但是，17岁手搓核反应堆我觉得真的有点东西的doge
看过闪老师视频了（确信）
《手搓核反应堆》
《论邻里关系的重要性》
√勇敢去做
一看就是跟着闪老师一起做了
钍基熔盐堆
我不看了，我听到盖革计数器响了！（喘气中
母子都完成了各自的主线任务
当一个绝世天才在成长过程中遇到了巨坑无比的亲人或朋友
《可控核聚变》
学习知识，应该先学做人。不然知识越多危害越大！
从此，命运的齿轮开始转动（
是不是看闪老师视频了
联邦调查局：啊？不是哥们儿，真的假的？
正确的，不然一辈子都是医疗复合体的实验道具
化学的尽头是物理，物理的尽头是数学
警察不地毯式搜查吗？那些探测仪到处测那种？
这种天才要是有专业导师指引简直逆天
《常见》
《简简单单》
天才与疯子总是并存
<母爱最伟大>
身在辐中不知辐
智慧的眼神
中国孩子还在学意义与启示，然后在去考意义非凡的学历
埋沙漠里好过直接排海里
身在辐中不知辐
俺去突围
快乐教育的硕果
注意表情管理
可控核聚变，你要不要看看你在说什么，现在都没有真正研发出来好吧
你猜为什么都是国外的天才
原生家庭的悲剧
3.一条很过分v
哲学的尽头是真理
给我我也行就是怕手搓二向箔之后这辈子就完了
啊？？？？？？？？
？
克林顿？
勇敢去做
中子，666666666666
头孢配酒，说走就走
常见....
《简简单单》
《标题逆天》
这是核物理
总有刁民想害朕
《万辐之源》
为了全城人民的辐祉
？？？？？？？？？？？
身在辐中不知辐
手搓原子弹
（
逆天了
？
这个年龄我国的孩子都在准备中考
¿
闪老师的学生又出师了
Just do it
在美国在自己家里杀人是合法的，所以美国人从来不敢串门。
纸张
扯淡呢搁这儿
？
《神农尝百草》
我勒个手搓太阳啊
我c
化学终成物理
编的
526人出来
自杀
那些专家也不是没怀疑过，但他的专业知识实在太硬了
母子俩都是人才(dogs)
我嘞个大雷
？？？？？？？？？？？？
你确定是核聚变？
卧槽！！！！！！！！！！！！！
比老湿催眠都强
啊？
?????????????????????????????????????????????????
这不麦克托米奈嘛
不对啊 这不符合美国剧本啊 应该是天才少年功成名就啊
R星之子
学这个太6了，防护呢
美国不是很重视人才吗？怎么没把大伟安置研究所？
妈耶
看钢铁侠看多了
卧槽 谢尔顿干过
厉害
现实钢铁侠
跟大卫有个毛关系
他都多大了，外祖父还能活
也算 是 头炮就酒
FBI WARNING！
just do it ！
调查组水平也不太行的样子啊
还打算住吗？
闪老师没骗我
快乐教育的后果
太惊悚了
托尼史塔克
自由
门外竖着！
6
海森堡
造神运动，
别问，问就是穿越回来的文案
这也是真的牛B，能手搓核反应堆
经典原生家庭
小小的简简单单的
这就是专业
可怜的活爹
核聚变可以做到，做不到的是可控核聚变
天才被指向疯子的一条道路
看着手中化学试卷的分数陷入沉思
kglakglmkkglty
所以实际是这该死的邻居害死了一切是吗
？
666
你可以把它想象成穿越过来的人，当时条件不允许
天才浪费了
为什么不报警？有病
神金，明明他是人才的
原本是想当改变世界的人的
你说他是未来穿越过来的都行，只不过条件不允许
还有糕手
核反应堆，有钱人的大玩具
1994
什么路径啊？激光约束聚变？惯性约束聚变？磁约束聚变？
造出反应堆给系统供能？
恒河水里有元素周期表
所以为什么没有人去支持他？这么好的人才，换个好的环境呢？
JUST DO IT
中国的可控核聚变是世界领先的
逆天
人才啊
说错了
命运就是这样的，难以把控
化学是要产生新物质的，不是微观物理
谢尔顿.库珀
你说它聪明吧，他能手搓反应堆，你说他不聪明吧，他完全没预见到危险性！
未来人类之光啊 就这么没了
还好死了
不搜查他家的吗？？
原料是一样的
是真的
可控核聚变可不是什么随便的东西啊
什么玩意儿？请求中文翻译，中翻中，我突然有一天居然看不懂中文了，就像是之前那个视频一样，这中文为什么这么难理解呢？
很喜欢b站用户的一句话：啊
布什戈门
辐射：诶你怎么似了，那我缺的这块辐射致死谁给我补啊
可控核聚变新闻那么少的原因仅仅是因为它是一个亏本买卖
造辐人民
《简简单单》
每个字都认识 又那么陌生
、
讲的比如其他up可以看看其他up的说的明白
6
啊？
身在辐中不知辐
窝草
一勺恒河水就行
唯一乐趣？那他哪来的女朋友？
Roblox QSERF(
国内体制抑制疯子，但也扼杀天才
邻居=最闲的人
母亲:啊米诺斯
身在福中不知福
什么？？？居然还有高手
WTF？
中国的娃娃还在备战高考
可控核聚变????
手搓个啥玩意？
"锂容不容易拿到,贵不贵要看年代"
梦想造辐全天下
丸辣！
活全家了
新手保护期
3
造辐全城 真是个好孩子
just do it
可惜一个天才
逆天母亲
逆天
不是哥们？
可惜个毛线啊，造出来后就更加威胁全球了
啊？！！！！！
啊？！
天才出生在底層家庭就是這樣
牛逼
我已经觉得周围不安全了
切尔诺贝利
收集全部是不可能的，有的元素不能稳定存在，是人造的
文本错了，是裂变
Just do it
天才吗
科学怪人
科学狂人
我穿越了吗 可控核聚变
哈哈哈这不电影似的，
动手能力超级强
天才
你知道你在写什么吗
是不是谢耳朵的原型
！
？
热知识，美国16岁就可以正常开车了
差一点
简简单单？
是翻译出错了吗
绝命毒师啊这
Sheldon是吧！
核聚变？！你知道在说啥么
是个狠人
布什戈门
简简单单
实现核聚变都能做到，但是实现稳定的可控核聚变都不行
《可控核聚变？？？原来是托尼斯塔克啊》
米国以前的确出过这样类似的玩具，不过国内不可能售卖的。而且也很贵
好，我马上去买一本
身在辅中不知辅
至少没有击穿
买这些需要多少资金和实验设备啊
广告放后面 你有币了！
连错两次，你赞没了
这个笑死
hhhhhh
Just Do It
逆天熊孩子
木柱又开始同情木柱了
我先来。国外的孩子动手能力就是强
犹他州有什么罪
高材生
小小心愿
《视频同款，立即购买》
海默肖恩小孩版
这是我最后的波纹.
？逆天
没出现第二个？103个赞让我有点怀疑你的文化教育程度了
可控核聚变？？？
逆天操作
去捞一杯恒河水就有了doge
？
高手如云。
一代更比一代强。
瓦尔特？？？？？？？？？
《核聚变》
他甚至不是辐射至死
密集恐惧症犯了
。。。。
。。。
《铀铣室》
严格来说 核反应既不属于化学也不是物理
just do it
我没听错吧？可控核聚变？
耐照王
耐射王
卧槽，真正的天才，和国内那些只会做题考分的所谓天才完全不一样
？？？？？？？？？
可控核聚变，去黑名单吧
科教版意林
好小众的文字
