下一位
卧～槽～
李火旺？
拂云宝宝……
建模要是真这么帅就不得不玩玩了
"唢呐一响，黄金万两，不是升天,就是拜堂"
芝士雪豹
和道鬼联动吧
李火旺（
咋还是双丸子头呢小姑娘…算了怪好看的
他真好看
观赛博火旺，得电子坐忘
是你吗火子哥
铜钱面罩！
开幕帅哥，目测又是个大热角色
萧声还有点感觉，古风赛高
铜钱僵尸造型，经典
"wtf,李火旺啊"
大片既视感，大制作哇
第二个爆款角色她lei了
我去这腿身比太可了
这个猫爪是哪个角色呀
我去这腿身比太可了
刚打开饭盒就刷到了，火速下饭
这角色没见过，叫啥，好飒啊
看公告内容优化了池子，期待住了
终于来了！公测PV！
这俩角色都好好看
哦是长命锁！
原来旁边还有个角色，我还以为他自己撑的伞
这个开头logo还蛮有质感的
热血少年即视感
长命锁你是我唯一的老婆（迫真
期待期待！9.13公测咯！
终于不用苦苦地等待了，就在9.13！
9.13，我要夺回属于我的一切！
我没看错吧？你是
不歪池咯
今天也是被蜃姐姐迷倒的一天
左下角的凛老婆可爱捏
pv片头好有意思
新角色？这坐姿很拽喔
游戏场景有这个吗
突然转头吓我一跳
哇哇看得我起鸡皮疙瘩了
嗨丝配高跟
长命锁，全世界最可爱的小女孩！
纯路人，感觉pv做得真的很牛逼
许愿公测顺利抽到长命锁！
新角色看着像反派？感觉会有反转啊
9.13前的每一天都是煎熬啊
为了蜃我愿意抽爆钱包
希望以后多出点这样的女角色！
这角色目测是个辅助
烛还是可以的，一如既往的帅
这发色我总感觉哪里见过
这什么大佬坐姿
这是和道诡异仙来了波梦幻联动吗
兄弟们我双手离开键盘了
跳大神好诡异好刺激啊
烛像个算命的
锁妹最有身材的一集
大言不惭的说，立直了
太好看啦
hso
i了i了
没有理由不冲
向大家介绍下我老婆
只想问，啥时候出这角色
awsl
全是紧身皮衣，太懂了
御姐永不过时！
又御又烧，我不行了
这两秒明显弹幕比之前都要激动哈哈
感觉大伙都high了！
我就4个字：摄人心魄！
这个戴墨镜的妹子看着不错
哈哈锁这臀部翘到可以顶起一瓶汽水
道士小哥给我算一卦~
我蜃女王盛世美颜啊！
这风格
道爷我成了
帅哥好多我丢
