魔王这个造型有点像the weeknd …
柯南：你没有自己的BGM嘛
第一季最后“快去请苏无名！”
高力士呢？应该平韦后的时候就跟着李隆基了呀
画师忍不住欣赏美哈哈哈
好的甄远道老师
沈保平老师会出现在任何古装剧里
阿祖收手吧，外面全是卢鳞风
“你去捉拿唐僧师徒”
这里卢大喊了一声怎么还不画，我都替喜君尴尬哈哈哈哈哈哈哈
盲猜那图鲁
《转瞬即逝》
鲁提辖登场！
梦幻联动
太子：你快去铲壁吧
蛇：我穿上马甲你就不认识我啦
大吉普!
卢凌风:你看，我说的没错吧
不拖怎么要尾款doge
这里苏无名是故意说给太子听的，他把卢凌风的身份公布了，太子就不能明目张胆地杀卢了
鹦鹉之姿
凶手就是你，广笑和尚！
《facebook》
哈哈哈哈哈哈哈哈哈
低情商：莽夫
秦孝白不怕掉沟里吗？
哈哈哈当人家妈妈面说杀儿子
李林甫、杨国忠、安禄山：雀食不喜欢～
艾斯爱慕
李林甫，安禄山：是吗！
后来被给了双眼，成了鬼差
郭庄是被剧情杀的，不死的话后面就要加入他们西行队伍了
竹筒饭·卢
公主有实际控制权hhh
太子超经意茶艺
狄仁杰经典配音
李隆基哎
这案子。。好复杂
鬼市：论带货，害得是我啊
此处有基情
马：嗯，就这味～
茶，很茶啊
纸嫁衣啊
小卢：是我姥姥
卢：姥姥、姥爷、妈妈、表哥、妈妈的闺蜜、大伯、伯母都是狠人，不能比
猫叫+1
武林外传众人：biaji
我去，刺客信条
老陈面馆，阳春面
进展比某大阪黑鸡快多了（doge
住持这个梗刷了整整一季
我来搞定变色油墨
大威天龙！
b站有个up主叫雷军好像跟汽车区有点关系，片片可以去问问（doge）
甲方呢，懂事doge
有事师兄，没事苏无名
哈哈哈哈这是樱桃炸弹
来我的战队，我一定把你打造成华语画坛新势力
秦孝白：栓Q
魂天帝：是的，这我熟
不看解说我竟然没注意到他是因为这个
随时抽查
这里化用了两个典故，一个是吴道子壁画地狱变，一个是敦煌降魔变
公主大胆开麦
不疯魔不成活呀阿弥陀佛
公主的演员是苏无名的演员的嫂子，导演家族hhh
deadline果然才 是第一生产力
公主：你猜我为什么不笑
这个解释太牛了
然而壁画拍完就被剧组拆了（doge）
最大的背锅侠方丈出现了
JJ：我的演唱会你别来了
嘴唇儿还白着就邦邦一下  哈哈哈
彩蛋里寺院后面有个工坊，卢凌风实地考察过的
冯内侍当场死亡给了睿宗台阶下，体面传位
一把细面，两碗高汤，再加两颗脆香爽口的小白菜（大概哈哈哈哈哈）
这段笑的好像熊大哈哈哈哈哈哈
up是不是也磕喜追风嘿嘿
鬼市0元购
甘 文 崔
梦中情岗
我吃我吃
秘密，知道的人越多，就越安全
这里的细菌又勇敢又惹人怜惜，爹被贬，师兄不在，心上人又下落不明
公开了？
倒反天罡
表情包
掌握哥
《中 郎 犟》
就是你了，阿祖
我来搞定变色油墨，你们谁来搞定无酸纸？
好细节，这人被拦住，后面两个路人走过去还回头看热闹
《满脑子秦孝白》
群口相声
请了西安美院老师来画的，本季最贵道具！
一般我们这种情况都是在等甲方尾款（doge
其他人：完了，这是我们能听的？
劳资蜀道山
小卢这一段被苏无名，太子和老妈轮流教育哈哈哈哈哈哈哈哈
这语气吓我一跳，赶紧看了眼进度条，进度条安全，放心看
我愿称《仵作之死》为第二季最好看的一案
岑挚：公主，包赢的
李三露出了他的真面目
然后成就阿罗汉果位，然后就是弹琴下地府一套操作
肚中亦不净\doge
张：啊？我？
后面画了个键盘
明明是很紧张的对话，但我怎么想笑
苏不是谋略，他是为了保护卢凌风
哮天犬上号了
他看不见不怕把师弟拉沟里去
外面都是成龙
蒋小鱼上身了
美窃贼这个外号好啊
这里好像是敦煌壁画地狱变里面的三魔女，也是年轻女子死后变成了老妪
公主别多想：确实是的
唐朝计生办苏无名 所到之处必死人！doge
老费：小孩子家家的，可真会说话
感觉编剧起这个名字是在玩梗
樱桃，你好香啊
拜登：我也就是上不去罢了
这里面小兵也是精兵，不像其他剧里面一碰就挂
阿祖住手吧，外面都是成龙
卢凌风：丸辣
事业粉的呐喊
美男计
忠狼酱！
再来两季剧名可以改为《三进长安》了
秦晓白:早知道这么精彩，我就看完再刺瞎双眼了
不，方丈就是凶手（doge
这个老师长的好像二次元里的人物
神探狄仁杰第三案《滴血雄鹰》
打工人实录
小卢本来没事儿 看见师兄那一刻委屈的碎了
赵吏又一次失去双眼
原剧是说了怕叫声太大被人听见（doge）
讲解得真好，太子这个人确实姿态做的很足，心机也很深
猫眼晶石美甲，镭射小卡
姑娘，你真是条汉子！
《隔墙有耳》
这个配音太厚重了
费鸡师:喝酒不带我？
菲尔普斯
郭～～～庄～～～～
方丈：黑字说话！
公主和太子都是CPU大师
好身手！
封面于老师传奇表情包
卖炭翁
范闲:原来是我同事啊
《白雪歌送武判官归京》
这下一定要投币了，感谢片片
被马夫人爆摔
忠狼酱：不是我是我媳妇
赵吏，你的大吉普呢
代少卿哈哈
鬼市：没想到吧，又是我
这里声音变了，是因为第二部公主是岳丽娜原声
卢凌风：查案要紧
郭继承语录
玄甲苍云军
其实就是皇帝为了夺权，这得联系上季的通天楼案一起参考
唯一有点扯的是公主自己人一点都不用 全靠外人
他咋知道往哪走
挺好的 佛祖有眼无珠
女人中的女人！
卢凌风名义上是他表弟，太子装了十几年贤名，杀弟弑姑可是大逆不道呀，不好当皇帝了
离谱的是今天也是8.16，明天中元夜
又一声猫叫？
笑不活了，佛祖有眼无珠
猫叫+2
元芳大人还是这么帅哈哈难怪喜君这么美
你可真是男中女士
《女朋友追星不理我》
