《学新闻学学的》
《道德》
英国管人道主义，法国管维和行动，俄国管反恐
别总把枪指向好人
要断章取义--取自《不要断章取义》
自有大儒为我辩经（）
蓝盔需要冲突双方都同意才能驻扎
确实是史
在铁一样的事实面前，谎言不论重复多少次都不会成真
三体都守信用
埃尔丹唯一牛逼的就是他讲稿子的信念感……要是不听内容你都会被蒙蔽
含金量还在上升
《你给我听好喽》
真拟人啊。。。
想想加沙的人均年龄，你猜为什么学生里会有哈马斯↑
你猜为什么毁掉
我玩皇帝成长都没这么草菅人命
有时候真不知道该骂什么
有些外语和我们的语序不一样
《军事降温》
一针见血
老一辈老登的从容
通知了就可以侵犯他国他人吗
我都已经对此麻木了！什么时候才能结束？！
维和部队需要双方停火才可以介入 不然像之前就有过放冷枪然后冲突你怎么办？
不直接又该如何？此时此刻，他的同胞与家人还在人间地狱受苦
《共轭父子》
感谢我们强大的祖国！因为我们站起来了，所以我们现在才能够有余力去同情别人，而不是自己深陷战火
刚刚搬到四环内我虎躯一震
镜头语言
虽然以色列屠杀了平民，但我们美国坚决保护以色列。
而且还是半夜
点名表扬
《恰好》
会场除了代表发言以外真的很安静……
阿道夫做得最正确的一集
（回头看了眼，谁在玩iphone）
《临时加句》
天啊，这句话里有着太多的无奈了
劳动法
这个世界本质弱肉强食，安理会联合国只是一个阻止战争的缓冲机制
说不定艾尔丹都没听他之前说的（）
B站上了是大臣，是首相了
特写明确
越没有什么，越强调什么
她知道自己在说的是什么，但没办法这是工作
现实远远比文学作品要离谱
《开门见苟》
其他三家分管什么
我都忘了还有这个协议
阿尔及利亚可不差，军备是可以的，就是会不会打仗的问题
孟德：深得我心
那么，为什么被毁呢？
非常高水平的演讲
史の言
那是我最开心的一天
难说
希望是物理上的
《半部英剧治天下》
当年的联合国军呢？在组织一次啊，恢复到1948年边境
听完这话大家是怎么憋住不笑的
罗马跟德国收尾没做好
懂了，以色列是三体人。
当年顾维钧等外交先辈也是在国际会议上这么呼吁的吧，心痛
越缺什么 越强调什么
《道德》《文明》
《完好无损》
埃尔丹：我不听就是没发言
1个月
不为也，非不能也。曰不为者与不能者之形，何以异？曰挟太山以超北海
泽连斯基：不造谣不传谣
《文明》
装甲尼禄听了突然又硬气了起来
多么无奈，多么绝望，我的眼睛进沙子了，就是很想哭
太离谱了 他竟然完全相信自己说出的话
耶路撒冷可是巴勒斯坦的地盘啊
艾尔丹:没错，我看都不带看一眼的
《21次》
一个弱国是多么无助啊……
主角登场
这项链让我想起了萨尔
我的战神涅边贾竟然不在
《新闻学》
UN蓝盔是各堂口凑份子组成的 更何况下场的前提是双方都同意进入才行（
太遗憾了，不能看到他和卡扎菲团圆了
各位可以想一想地震差不多都是半夜发生的，虽然这个有提前通知，但哪个正常人会在半夜跑啊？
该
幸好我住五环边上（Doge）
大家都知道是谁干的，这不重要…
说的好
我想知道这个词的英文翻译是不是“appalling”
在南京！！
确实有含金量，不然不会怕
《安不全区》
如听仙乐耳暂明
小丹子好样的，精神点，别丢份
翻译有点懵啊
这时候该感谢先烈
老艺术家的艺术成分又上升了
感觉声音都发抖了
请不要复述一遍
齐桓公：豪！
塔防——绿色循环圈
半个月21次
美国哈马斯
并没有什么咎由自取，前面也说了，一方的不法行为并不能合法化另外一方的多不法行为
参见《劳动法》
谭雅：对，我就是从这里学的
只能说灵感来源于生活，现实远远比段子离谱多了
艾尔丹：来自圭亚那的哈马斯
