但，这还是2D的视频
我觉得是36D的视频
但还是一个2D的视频
手工耿：玩得过我吗
自己炒预制菜
你以为是剃须刀，其实是吹风机
懂了 于谦老师的手磨咖啡
孙子可能会刷到此条视频，然后买了一个打印机
全自动抬杠机
可以打印桌游模型
增田顺一的叠
就像我cv别人的代码成功跑起来一样
玉米做的当然甜了
"「fine, you win」我錯了，行吧"
这个姿势真的太杀我了
能打印乐高积木吗doge
应该是带着奶奶的孙子：）
伸缩中指剑！劲口牙！
世界友好手势
小宁子终于开窍了！！！！
这期讲的是什么
对呀，以前是我瞎了吗，这一期怎么看她都看不够
店大欺客
就像自己生个娃差不多感觉？
这视频风格明显模仿何同学
暂停成功
这么大的吗？这衣服！
可是耗时好久好久。。
真大，我喜欢
大雷子
大雷子
芳烃
可以打3D龙啊
没错。。我喜欢大的
a1 mini更是小而精
怎么感觉讲话声音像何同学
买这个，家得大，不然打出来东西太多没地方放
电吹风？
罗恩哈哈哈哈哈
打印高达补件不算侵权吧
家里放得下就买a1，稍微小一点就买a1mini
这妞怎么越看越好看
小宁子有这么大吗
才发现宁子好大！
up主长得太好看了，一句没听进去全盯着脸看了
三千块买不了车买不了房，不如买这个
2500&3700
hello world
说的我都想买了
不能像打啥就打啥么
自动开关是吧
主要是买回来，打点啥呢？？
我入坑一台启庞，结果老板去卖拓竹配件  老板的尊严掉了一地
我入坑一台启庞，结果老板去卖拓竹配件  老板的尊严掉了一地
我入坑一台启庞，结果老板去卖拓竹配件  老板的尊严掉了一地
我入坑一台启庞，结果老板去卖拓竹配件  老板的尊严掉了一地
我用来补了两个伞柄  凉鞋的扣
是口袋妖怪的战斗音乐
2200        4000
PLA吸湿性也比较强，南方也要注意干燥保存的
我的眼睛盯住的位置不对
能打高达吗
从一个小坑进入一个大坑
知识不收费带来的便利，才让你只需要两元的材料费
666
压起韵来了
几万块 算了吧
几万块 算了吧
真可爱
打印机三千
椰蛋树确实是龙
可是a13000多啊
无脑入a1就对了。
选脱竹
马耶，我就像要钢铁侠那种手套
啊？谁玩具那么贵？
凌凌漆是吧
众所周知，任何告诉大众能赚钱的项目，基本是坑
这角度不错
我成功暂停了，小伙伴们！
设计师：我免费了？
存钱罐卖给我，虽然我没钱
就和程序员的hello world一样？
可是我可是我 可惜我不会建模 我的心呀我的心
视频质量吊打一众博主
枪械零部件打印
啊！你赔我显示器！
懂了，打椰蛋树
自己画~
没钱了
剃须刀
重复观看
其实就是自己是造物主得那种感觉
金属是不是可以打印一把AK47
不要骗我，我还是学生
我像打印cpu + 显卡，可以吗？
这个龙模型哪里有的下
打印乐高行不行
好像成为这双手
吊带好好
不能递归就没啥好玩的
我没打这个小船
材料成本两元，时间成本200元
打个小弟弟给姐姐用吧
大吗？
打印个小弟弟
好大，真的好大
啊，我屏幕中间坏了，赔我屏幕
细说价格
不可能只用两块钱吧
能不能打印一台3d打印机
刚进来的，请在5秒暂停，你会发现UP主的“大秘密”
送我一台呀
看到目前没觉得有什么用
细说大玩具
能打我推吗
赔钱！！！显示器都给砸坏了
各位网友的算盘珠子蹦到我的脸上了
时间成本巨高
出院
头发长了呢
我打了风笛..
好可爱呀
她喊我「寶寶」耶！
妹妹真可爱
退坑吧
酷诶
酷酷酷酷酷酷酷
高达
豪无意义
材料有毒性没有，打印过程中是否会产生废气或有毒气体
打印时长你咋不说
