乘胜追踢（指正）
这踢到哪了？doge
大圣：这小子，颇有我师傅爆衣时几分姿态
大圣：我年轻时可没这么神金
你当年更活泼
集齐六根复活逗川了0.0
坠机了哈哈哈，空中拦截
大圣:坏了，遇到真猴子了
时代的眼泪
屏息凝神，屏息凝神
开幕踢大圣的第六根（
一脚把大圣锁子黄金甲踹开线了
但你在他吃桃子的时候蓄力，会被扔桃子打断
骑士飞踢
专业骑士踢
只狼踩头
看到地上的水了吗，都是大圣放的
大圣其实会飞踹
大圣：不可以哦
复活了，我的爱人
开庭带上你的葫芦
《全脚功夫》
中脚气了（doge
我也喝完了（自豪）
大圣∶一个大飞脚好悬没给我黄金甲踹开线喽
把大圣的锁子黄金甲踹开线
大圣:坏了我的棍法都失传了
在CG里用棍比实战多系列
没有教棍法2333333
大圣：我已经摸清他的招式了
逗川（吗喽附体）
天命人，你可以敲了
大圣:不对劲，这不是我的招，这小子另拜新师来
大圣：来 接着踢
二郎神：你知道我要说什么对吧
大圣：你手里的如意金箍棒是摆件吗？还真是
小飞棍来咯~(
你刚才想说坤坤对吧（doge）
"你本来就是大圣,大圣来考验你,自然也能给你攒棍势"
你再强也只是天命人，他再弱也是齐天大圣
大圣小伙立正了
这个天命人是东海龙王派来的还是国足派来的？怎么感觉海参吃多了。
禁字法
2345，大圣中毒了！
猴子偷桃
[ohhhhhh]
迷  踪  步
失踪人口回归
前面鞋印子的 天命人一直是光脚踢的/doge
666
啊？？？？？
失踪人口回归
啊啊啊啊啊啊啊
哇塞，这都炸出来了
禁字决
卧槽卧槽卧槽cw，我看见了谁！
最终bolls
回来了 一直关注着
啊啊啊啊啊啊啊啊啊啊啊
会这招啊，被定住会踹一脚
国足有救了
大圣：这么还有只天命人专打下三路阿？
失踪人口回归
我最喜欢的up更新了，一直没去取关，因为即使平静躺在列表里我也好开心
爷青回
这谁！
回来啦！！！
1 2 3 来打kick！
前有推女鬼，后有踢大圣，泪目
卧槽！！！！！！！
失踪人口回归
有缘再见！！！
蓄力棍想不空只能和大圣换血，抓他攻击后摇放然后和他换血
还是熟悉的开头TT
强
哈哈哈
wc！这谁！
想念啊 逗川
啊？？？？你谁？？？？
我天！！！！！
你怎么又炸了啊
屏息凝神！
回归
回归
夜凯！！！！！！！！！
大圣：不对  你的师傅是谁？
卧槽川！！
半场开香槟
这是二周目？
在下仙峰猴
大圣会呀
啊？
还是熟悉的bug体质。
艹，这是谁回来了
我打起来比小黄龙和毒敌死的少
怎么感觉有早年间叫兽易小星的风格？
究极神装
你是谁？你为什么在我关注列表里？
停更两年半是吧
wow wow wow wow
WOW WOWO WOWOW
666
大圣：气死我了，看我的新招
桃子：远程攻击
大又细
可以
大圣：那肯定阿
没想到吧
失踪人口回归！
注意这是二阶段
为啥他不开分身？
《那我主动发起进攻》
《积攒棍式》
这是山治
雷欧飞踢
大圣：我是被踢死的
跳头上是吧
跳是无敌帧
空中完成
你猜大圣为什么会哭？
我超！豆串
用脚踢为什么可以加棍势？
泪目
大圣：tnnd，啥玩意儿。我转世成了街舞猴了
哦哦哦哦哦！
爷关更
本来可以下反应过来，但却有这么长的延迟
你大爷的，对大圣放尊重点儿。
其实这个大圣明显放水了。
失踪人口回归
失踪人口！
[ohhhhhhh]
还有假动作
复活赛打赢了
呼啊右？
???
野马跳涧
卧槽，这招没见过
大圣定身飞踹
现在我也是二阶段了
终于回归了！好感动！
MAN
出院
问一共踢了多少脚
哈哈哈哈哈
[ohhhhhh]
哈哈哈
宇将军飞踹
！！！！！！
失踪人口回归
跳着过的教程叫跳过教程
爷青回！泪目了
爷青回
爷青回
我擦嘞
泪目力！
不是，你？
大圣：你以为你入场前我蹲那干嘛，喝了一肚子苦水了谁稀罕你的酒
失踪人口回归
为了不被反制，所以酒肯定也不喝啊↑
夜凯！
等一下！！！这谁？？？！！！
你是！！！！！！
欢迎回来
挖槽
这时候寄了就是艺术品
嗯？这个ID好眼熟
坠机了
？？？
谁？等会你谁？
原来逗川是大圣啊
失踪人口回归
居然活了
也就两年半没见了，看到更新，忍不住发出了讥笑
失踪人口回归
[OHHHHH]
坠机了man！
[ohh]
失踪人口回归
看看我刷到了什么
一脚踹出了整个盛夏
啊？？？
啊啊啊啊啊
看我发现了什么啊！！！！
卧槽！
夜凯！！！
哎呦喂 这谁啊
失踪人口回归
失踪人口回归啊，我靠
活了？
[ohh]
哈哈哈哈哈
失踪人口回归
宇将军
我靠，谁回来了
风火穿心脚
风火穿心脚
老婆大人风雨同路平时自然法，fyu'/他、】‘；、偶
啊？？？
爷爷你关注的UP主终于更新了！！！
这是奎因吧？
泪目
《守望先锋2》
失踪人口回归
更不放心了
精彩哈哈哈哈哈
大圣忍不住踹两脚
回来了回来了 最喜欢的up
鸡爪流
《切磋》
[OHHHHH]
大圣：怎么来了个逗比
全脚功夫
失踪人口回归
你真是好久不见了
制作组看完回放后：6
大圣：不对！有脚气！
脚艺人
梦幻脚步
黑马喽坠落
................
失踪人口回归
失踪人口回归！！
失踪人口回归
？不是等会儿谁？？？？
风暴足是吧
踢到了大圣本命根器
亨利是吧
哇有生之年啊！！
哇
《仙峰脚》
大圣：孩子们这不是我
加个飞天的电风扇
强而有力！强而有力啊！
天命人，你可以敲一下重棍
出院
卧槽啊
卧槽卧槽卧槽卧槽
下段危！
！！！逗川
