坏了，是实物
世间安得双全法，不负如来不负卿
不行了到这我就不敢看了
好可惜啊，没见到面
不怕故事胡乱编，就怕结尾有照片
宁都啊，我家
啊啊啊泪目了
“你看见了它，就如同看见了我。”
1935年，年仅22岁的李才莲烈士牺牲在了瑞金市铜箔山。
致敬
丸辣
15岁？
这永恒的爱
致敬
能上通缉令的都是猛人。。
宁都啊，怪不得我会刷到，我家诶
宁都！我家！
啊
丸辣是真的
致敬
致敬
和林觉民身世挺像啊
致敬
致敬！
致敬
致敬
帅
致敬
致敬！！
丸辣!
致敬！
致敬
致敬
丸辣！
致敬
突然嘴角就翘不起来了
致敬！
啊啊啊我老家，将军县！
兴国县！！我的家乡！
致敬！
她的心上人是一位盖世英雄，现在踩着七彩祥云来接她了。。。
致敬
致敬
不用说不用问 就明白就了解 每一刻就像永远
请问能不能不要把这种感人烈士故事做成猫meme啊，有多少人能够真明白？
致敬
致敬
致敬
致敬
致敬
我c，我宁都的 ! ! ! !
致敬
致敬
致敬
先辈们留下来成果。不是这样的的的的。。。
情报是真的！
致敬
致敬英雄
致敬
致敬
致敬
！我听过这个故事
君埋泉下泥销骨，我寄人间雪满头。
猜到了
致敬
宁都县不我家吗？
丸辣！情报是真哒！
致敬
致敬
敬礼！！！
致敬
烽火连三月，家书抵万金
致敬！
致敬
致敬
致敬
我不怕be 但我怕这是“真实事件改编啊”…
致敬
致敬
致敬！
致敬
烈士啊
致敬
15岁就去打仗了...天哪
18岁和15岁？？？
致敬
致敬
致敬
看猫猫知结局
致敬！
吃瓜吃到自己家！！！
致敬！
不怕故事随便编，就怕结尾放照片
语文阅读做过
致敬
致敬
致敬
听话别用这个音效，笑死我了，本来挺煽情的哈哈哈
居然能在那年代徒步那么远还安全到达
这是真事，后来这个奶奶还被采访记录过
致敬
致敬
致敬
致敬
帅
这个故事我刷到过
致敬
丸辣！是真的！
致敬
结婚的时候15岁嘛
熟悉的故事
致敬
是江西赣州诶！老乡
致敬
等真是这世上最无望的字眼
致敬！
啊老乡江西的吗，兴国县这地方将军多的咧
致敬
致敬
致敬
哇呜我老家兴国耶
家书抵万金啊
我好像知道是谁了
啊啊啊啊啊啊啊啊
致敬
吃瓜吃到自己家
哭死了，刀子全是刀子
坏了！这个图层不对
致敬
宁都县!!!
致敬
致敬！
此去一别，竟是永别
致敬
这年龄差爱了
我好像知道是谁了
此身已许国，恐难再许卿
你老公长得真帅啊！
致敬
很多十五六岁就上战场了，接前面
那个年代结婚早很正常，思想也成熟，战争年代很多上战场的都15/
洛淇浠
可怜河边无定骨，犹是春闺梦里人
致敬！
致敬
去打仗了
还挺帅
可如果你是她，你会希望你爱的人让你不要再等吗
很帅
致敬
15岁结婚了？
纳尼？情报是真的！
意映卿卿如晤
卧槽
致敬！！！
致敬！！！
致敬
丸辣！有照片儿！！！
致敬
致敬
丸辣!
人民英雄永垂不朽！后世子孙感激不尽！
致敬
这个国家承认的
啊宁都到我家了
致敬
致敬！
致敬
我家诶 （兴国县长岗人）
致敬
好像看到过这个报道
江西的，完了，江西红军牺牲率很高
致敬
致敬
丸辣，是真的
啊……我做过这篇的阅读理解
致敬
丸辣
哭了
如果我是她老公，我一定会叫她别等了，战场无情，很可能回不来
我家啊
在江西呀！
语文才考，纯爱
宁都？！
致敬
稳辣
百里啊。。。。
一起长大的夫妻比结婚几十年的都更重要
致敬
我似乎想到了什么
将军县的红军
致敬！！
致敬
宁都啊，我家啊啊啊啊啊
致敬
看到了我，就像看到了你
啊，看到这里知道了
致敬！
啊？我家的？
吃瓜吃到自己家
致敬
我超  我知道是谁了
什么，情报是真的
什么？情报是真的？
丸辣
致敬
致敬
终于知道我为啥能刷到这个视频了，宁都人来了
快跑，这回是真的
我去！这么多宁都老表
致敬
他甚至说，多认点字
致敬
致敬
是真事，我看过
啊？？算不算一个老奶奶的故事？我们考试的时候靠到了！
肃然起敬
看开头就知道是哪个事情了
致敬
世间安得双全法，不负国家不负她
天呐看到最后那张照片真的忍不住
永垂不朽！
我来助你！
爱情阶梯
对不起 这张图出来我还是没绷住
致敬
致敬
赣州
宁都！我老家诶
我是宁都人
卧槽，宁都
丸辣
难过
致敬
致敬
我家在宁都
丸辣
我家在宁都
完了，难道是
啊，竟然还有宁都的事儿
那个奶奶
江西赣州兴国县（将军县）
等下，宁都，我家？
兴国人来了
他为了更多可爱的人，离开了自己最可爱的人
都是英雄，不要让他们再流泪
稳啦！
5点钟
卧槽兴国
永垂不朽!
致敬
我这个我真看过，好像是被称为最美爱情还是什么，真事来的
泪目了
可恨的是死于叛徒之手
完了有图，情报是真的(⊙x⊙;)
唉，信仰与爱的交织
情报是真的！
战斗力强度等级低配版本的话，
