再撒点十三香
Boss即将进入第二阶段
《玉吐》
《洗衣机》
变声期到了（狗头）
下集预告：马桶泡饭
《有点》
《学校》
房子碎片+1
《食用品》
实力依旧强大
台下人走过，不见旧颜色，台上人唱着，心碎离别歌。
下期视频：鼻涕和眼泪泡饭
肯尼迪：头部灵敏度发一下
鱼哥为什么从之前的出租屋里搬走了(doge)
病毒：呜呜呜终于感染上了兄弟们
《第二阶段》
我知道床头的纸巾怎么来的了原来是擦鼻涕眼泪
照妖镜
流下的鼻涕和眼泪不要扔，小伙教你鼻涕和眼泪泡饭
吃个北京烤鸭（架）
最大的箱子是不是装着十三香（
下期小伙教你们洁厕灵泡饭
奔驰花洒
鱼哥好好打扮一下还是挺帅的
厨房（确信）
《卫生间》
新僵尸复活点
这个床也太压抑了
没窗子吗
就这能有150多W粉丝 我也是不太能理解
厨房是不是卫生间改的
《前辈的遗体》
实力大增!
确实小，13香都比以前少了
马桶里的水不要冲，明天做一个马桶水泡饭
板蓝根泡面
在座各位都有责任
洗发水
可以用省下的钱做鸡架泡饭了（喜
一瓶多用型
洗菜盆儿（确信）
那是菜板
厨房还挺大
播放量123.4万
《棺材房》
搬走的房子不要扔 今天我们来做一个房子拌饭
是不是感冒了呀？
厨房怎么能少得了十三香呢
解锁新地图
玉厨
也是好起来了
你拍完视频捡袋子的时候真狼狈
1111111111111111111111111
。。。
9月2日1000+
3.
s四赛季
锅
s4赛季
下集预告：鼻涕纸馄饨
零帧起手
空屏
完了 这是真好吃
13+1(doge)
Boss即将进入二阶段
太厲害了這個男人！
北京房价是个谜
还有1000+呢
解锁地图
《食品用》
《昆虫聚集地》
《魔镜》
boss进入第二阶段
实力强大
实力大增
918出来吧
byd我在长沙850都租不到这么好的
笑梗不笑人
这个厨房有点小
给于哥哥三连吧
有故事的房子
咸鱼赚到钱为什么还要找更便宜的（雷姆）
我吃！！！
乐柏说（幻视，右手抖动）
好吃 爱吃 多吃
\
恭喜呀
奔驰打钱
洁厕灵，搞里头！
热水器（
《厨房》
我王俊杰实名想舌吻
menf
这吃饭的声音听饿了
实力巨增
玉扔
百万豪宅！
迁坟
你自己吃吧，你都不够吃
香精汤
剩下的泡面汤不要倒下期方便面汤泡饭
确实不怎么吃了
哈哈哈哈哈哈
哈哈哈哈
玉迁都了
哈哈哈哈哈
郊区
玉声
加油
玉厨
玉家
byd刚吃完一样的
赚这么多钱换了个big house
真实的家其实在二环里的  大别野
不忘初心
希望于哥能看到这个弹幕吧
泪目了
房子真多
（北猫叔叔）
我就知道
我觉得这不叫天窗，在马桶上面搞一个才叫天窗呢，呵呵
食堂
感康什么布洛芬
大房子了
感冒 水土不服
日子變好了
最能吃的一集
传统
为什么他这么热门
有实力了
《来口鸡汤》
没十三香差评差评
直接尿蓄水池里
十三香鸡架盖饭，好
6
中分
不吃
好雨知时节
世上还是好雨多啊
一定要嗯嗯嗯嗯嗯嗯嗯
玉850
《哈哈镜》
终于换了个像样点的了
下期预告:旧房拌饭
有胆量你把这个也丢了我就给你三连
玉糖
玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉
玉奢侈
玉摇头
玉吧唧
赛季2开启
我刚好在吃同款
赛季更新改地图了
