我真的不知道说什么了，有点感动了。加油！
没绷住 一下子眼泪留下来了
阿婆主，你是有第二人格吗？
未闻花名
我哭死
我靠你们
超棒的哦
哇塞跳得太好了
哇这个穗乃果太可爱了吧
就在这里坐着了，坐等成为老粉
海未宝宝绝美！！！
多美好啊
给币加油！
2024
我的梦想无法实现，我为你的梦想给上两个币
太可爱了！！！
既然加入了这场狂欢，就不在乎狂欢的结束，因为坚信没有结束，没有开始
Love live！有品！
爱了！
缪斯
787！！！！！！
未闻花名（泪目）
九一新址[z叉47]
九一新址[z叉47]
小女孩的裙摆太可爱了
允许up自娱自乐
最可爱的宝宝们 你们永远是最好的！
加油
加油！
可爱鼠里！
真的好感动
加油
妈呀……
斯国一捏～
好感动
1178开赌
。。。。。。赞
加油！！
love live！
当你放出这首歌的时候你已经赢了
1039开赌
就是这个bgm不太配，这个bgm是一个比较伤感的
你放这个背景音乐就真的我哭了
老师们棒棒的，看得我好感动
毒啊
好有活力
妈呀这群小娃娃太可爱了
鸟位出美女！！！！
好厉害的
皮肤架子
大家，药加油啊！
未闻花名
780
BGM好评
737
703
10
一群香香软软的小蛋糕！
都好萌呀啊啊啊啊啊啊啊
缪斯！
哇！
787！
这是……好熟悉
我草wonderful rush！
时间要到咯
好看～
这是巴啦啦小魔仙吗
卡哇伊(●✿∀✿●)
真的好想哭
成分很复杂。
草爱ll
787
卧槽，后面有B787-9
加油啊！
真的好感动啊
千军万马（
我鸟美如画
没有人喜欢凛喵嘛！！
哇塞！大家都好可爱
老师你们是一块块彩虹小蛋糕
有这么好一群朋友真好呀
我嘞个青叶城西的队服啊
为什么你们发言有up主的标？
加油！！
确实很可爱，你们都是小蛋糕
《UP主》
跳的真的很棒哦
老师们好厉害
蹦蹦跳跳的好可爱啊
小鸟美如画
禁止up主自娱自乐
禁止up主自娱自乐
好可爱啊大家
好感动哭了
哇塞跳得太好了
好棒！
哇这个穗乃果太可爱了吧
一堆小蛋糕！好有活力
就是要好好的啊
这个鸟太可爱了吧！
好感动，劳斯们都好可爱
没看过番，看哭了
要越来越好哦
