我只能说幸好他们都健身哈哈哈不健身根本不可能唱这么有劲
石凯这个表情硬控我三秒
阿如那是怎么做到舞台下搞笑憨憨 舞台上帅狠刚猛的啊
这个哼唱是凯吧
这一切的起源都是由于石凯和井胧抢走了阿如那的训练包
碾压内娱电视剧的打戏
井胧这一下好帅啊！
凯凯：兄弟你坐下，让我来收拾他们
硬控一下午+1
对唱张力拉满！！！！！！！！！
凯：你坐下 哥来
井胧这里好帅
虽然双方打得很厉害，但还要一起合声哈哈哈
感觉井胧也挺适合这种的 而且这个造型帅出新高度的 应该跳出舒适圈
石凯默默绕过阿如那的鞋子
好帅好帅，这个动作怎么做到的
太阳部落全场最佳！！！
唱演选对了 真的太高光了大家 值了
石凯的背景音太顶了！！
开麦标志点2.0
这里凯凯示意井胧看监控，行动被发现了
注意听气息声  开麦标志点
开麦标志点
好帅啊凯凯
Now call me  by fire
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
太绝了这个舞台
逆流而上给我出圈！！！
恭喜你发现了宝藏！
这几个人去给我拍武打电影看，又帅又有力量，唱的还好
看完一遍感觉好像武打电影啊，看弹幕竟然是音综的舞台，内娱音综已经这么卷了?
帅飞我了！！！！
啊？看弹幕的意思是这个舞台输了?
帅呆了
凯凯你好帅啊！！！！！
超级热血
绝了啊啊啊啊啊啊啊啊啊啊啊啊啊
再来忆变
嘎嘎帅
这段打戏加石凯的歌声，太燃了
和声好牛
这吟唱很有感觉，是石凯唱的吗
好好好 红一下吧
疼不疼啊井胧
二公最棒的舞台了
每日一遍
太帅了！！！
包全开麦的
凯凯最棒
太阳部落（不落），我们部落(不落)！！！
石凯的声音再配上这个打戏，绝配
凯石凯这打戏帅啊
卡点太爽了，每句歌词都刚刚好出现
阿如那！！！！好帅
凯凯这段真的给我迷的不要不要的
石凯 帅
每天一遍能量加满
阿如那阿啊阿啊阿啊
给我看上头了啊啊啊啊
每日一刷
给我听爽了啊啊啊
石凯声音真的爆好听啊！！
再来一遍
石凯太帅了
应该是凯凯借了阿如那的力翻的
好帅好帅，再来一遍
阿如那出场，这剧情真的立住了
进入循环
每日一看
早安嬛嬛全程演我
石凯，帅！！！
石凯背景音好好听！
嬛嬛演我
帅死了
太帅了
再来亿遍
凯凯加油
石队！！石队！！石队！！
哥三个为了舞台都拼了
我靠石凯背景音
这个翻转起来之后摔一下脚好帅 这个动作设计的可以 帅
开头见！
石凯的声音好有故事感
全开麦舞台
石凯石凯石凯石凯石凯
liar~~！
金属嗓音！
恭喜你发现宝藏！
帅
这里阿如那被石凯踹了一脚
这个吟唱也太绝了吧
太阳部落
阿如那力量感太强了吧
阿如那这打戏的效果是向左想要的吗？
阿如那怎么就走路都能这么帅的啊
石凯牛！
太帅啦石凯
再来n遍
为井打call!!
石凯太牛了！
这个！Liar ！好听！！！
每天奖励自己一遍
包全开麦的
兄弟上啊
又来啦
阿如那的狠劲帅啊
唱得好听死了
添砖加瓦来了
啊啊啊啊啊，rap超绝嗓音
超绝嗓音
rap绝
哇哇哇，低音绝了
好看
开头谁哼的啊？好听
再来亿遍
这个舞台绝了
石凯棒
那个男人来了
太帅了
石凯太帅了
再看亿遍
这一段太好听了 石凯唱得好
再看亿次！！！
全程高能
