真有人分不清现实和游戏啊？
←别人一直能控制你，你怎么打？能不能打得过是另一回事，必须先摆脱控制
二郎神是真的够意思
《不贪不杀》
弥勒很复杂，他不是绝对的善恶
他们要的是童话故事
哎~难道不是吗doge
猎户捕猴没问题，返过来猴啥猎户也没问题啊！
这几年来设计的最棒的最终BOSS
个人认为这段抢葫芦的彩蛋可以载入动作游戏史册，里面蕴含的情感复杂且丰富
但实际横担着棍子在原著里也出现过，不能说只是致敬《大话西游》
舆论战  文化战不是开玩笑 这些拿钱带节奏的要认清
有槽点，但游科第一个买断能做到这种程度，已经很了不起了
这个现象会一直存在于人类所有文明的所有阶段中
还真是
玄奘法师:西游记尊重我了吗？！
《三国演义》尊重历史了吗？
这是正经原文
正式版剧情叫彩蛋？？你是不是对彩蛋有什么误解？
原著党:根据可靠线索可以发现，其实是先有的86版电视剧，才有的原著
战神：是的我也干了
他们的原著是86版
我算是明白了，这些所谓的原著党忠于的不是原著，是86版西游记
原著党出来救我啊
原教旨主义卫道士要出动了
是这样的，就是原文。
游科:自有大儒为我辩经
《神仙都说》
在steam上好评如潮在别的不要游戏的平台就变成了褒贬不一
但孔子和马克思会
大圣残躯时刻在告诉玩家：不要追逐我变成我，要超越我
这游戏大圣帅出了新高度好吧，八戒的塑造可爱又有反差，有血有肉
对不起，我真的需要九颗龙珠
前面的，你看现在的风评，放在支线彩蛋里，就不会变成那群人攻击的武器么？
可怜我牛哥一家
我希望他们是出续作而不是DLC，因为DLC的体系完全不适合把后面的事讲完
就算1个人产生了偏差，也有9个人懂得，他们会向他说明，那个人也会不断传承
单独看八戒跟蜘蛛精有染甚至有个女儿确实离谱 但是也没有多大抵触 就是因为故事讲得好
悟空的核心就在于反抗二字，而不是谈不谈恋爱，因为谈恋爱说毁了悟空实在是贻笑大方
若不披上这袈裟，世人又怎知我尘缘已断，金海尽干呢
细说金瓶梅
越靠近灵山，妖怪背景越大，
我们有这种孙悟空完美的错觉，那还不就是86版删改
这是有功的游戏 是封神的游戏 谁也杀不死他
预防性注册，学过知识产权的都知道这一招
真通关的哪个不期待DLC啊！我还想着打上天庭和灵山呢，顺便救一下四妹
所谓的原著党很多其实是86版党
如果你都不知道他的存在，你又如何会去了解他呢？
什么时候有这条设定？哪里写了取经是为了啥
我个人感觉就是对斗战神的一个彩蛋，不必深究
