生前留影（）
我去随手一拍就是大片。
这个游戏300多卖给你还是太便宜了
继摄影、文旅还有什么赛道待开发
八戒：6
这游戏真的就是艺术品
风后奇门-启动
我怎么听见了大圣之力
工笔入化的音效诶！
老马啊老马
我嘞个张力啊
《急中生智》
黑神话相机
黑神话广智
听到了无敌的声音
其实就是星如雨
钓鱼佬上货了！
张力！我同学！
这个八卦阵是错的哦，先天后天都不是
风后奇门，启动
我从他的第一个视频就开始看了，这个up是最早开始做黑神话摄影那个
开头看成对马岛之魂了
宝可梦
果然 好看的东西 男生拍起来还是会好看 反之
帅啊
不是，哥们?开了?
核酸检测
差点以为是弦一郎
满广志？
银狼铠甲合体
条形码
《响鬼》
李二战歌
你无敌了，孩子，简直无敌
回。。。
细糠
为了心中的梦
二刷了
打李星云
wtf
。
只有中国人能理解的艺术，老外估计只能看黑白两色
《黑神话·广智》
游戏科学：卧槽 卖便宜了
岳山：听说有人打不过就被坚执锐（）
其实这图八卦在天上比较好，地上看不清
广智助我 ！
哇！《秦王破阵乐》！！
，
说游戏艺术品的 你买了玩过没?
蒙恬，鸡爪流
太强了
这张顶级
这一招我没打出来，是不是要慢一点？？
夕一技能的触发音效？
不是哥们，打勾索百裂啊
这是洛书后天八卦
可惜我PS5版，截图都比较糊
后天八卦
不是，我感觉火焰山难度好低，除了夜叉王，其他都是一条龙
可是我已经拜入禁字门了
卧槽
《你的名字》
黑神话：广智
啊？
《悟空》
吉中声智
帅
你们这样玩，这游戏卖300来块，真的超值
啊？
听成银狼了
太帅了吧
？
啊？
这画面让我想起了漫威蜘蛛侠里的负先生
哇，这水墨画风，绝了啊
老马啊！老马!
挖槽
卧槽
广智铠甲，合体
你也是宗门的人？？
老马啊老马
黑江湖•乾坤
急中生智
怎么有点像逆水寒？？
好看
国漫用虚幻5的多了，用坏了的有多少，那只是工具
有你广哥在 不怕有意外
天才
3467开赌
3467开赌
手柄也直接给我按p！用手柄必须打开背包
乾坎艮震巽离坤兑
卧槽
起鸡皮疙瘩了
武侯是能自己定中宫不是拿自己定中宫，拿自己定中宫是风后奇门，回去把一人之下再看一遍吧
后天八卦
李白（确信）
虚幻引擎也分用得好不好
有点像漫画的日文
水出如龙
啊？
卧槽！！！
268还是卖便宜了
??
广智创其
粥出私一私
广智传祺
逃跑广智流
歪日！！
