数学老师（公开课版）
数学老师pro max
这身震住校长了
这发型。。穿啥都信你
你这个polo衫我物理老师有件一样的……
最后一套连校长都要多看两眼哈哈哈
这个吧
年级部主任
这个哎，真的灵魂
敲，我们学校领导就是这么穿的
穿行政夹克
德育处主任
00后？
这tm是主任
这个能镇住校长
化学老师
唯一真神
对味了
横条纹黄黑相间
半步正厅
物理老师
教导主任
数学老师
00号都三十多了？
选择你的英雄
原来是老师啊，我还以为是家长镇住老师呢
物理老师
我们班主任……
武魂真身
领导好!
高中班主任
主任您好
这比较像一个比较精干的语文老师
这比较像技术老师
这比较像数学老师
副校长wc！
这套不像老师，这套比较像行政老师
这套比较像物理老师
没人觉得像米卡哈基宁吗
老师？高低是个校长！
周松柏
高木正雄
这个好这个好
我小学副校长
肚子太小了
这套我班主任穿过哈哈哈
没有啤酒肚，差评
行政套雀食帅奥
卡卡
政治老师
物理老师
宿管
哟数学老师 你也在呢
真么穿怕不是能镇住校长
这套秒了
肚子不够大，没有精华
忠诚！
这下看懂了
语文或主任
我太想进步了
对味了
00后最大的才24啊，您像42
政治老师
校导主任
像教导主任
帅
保温杯细节
这一套适合文科，不包含英语（）
这一套适合理科老师
坏了，有点像我的导师
《唯一真神》
先把头剃了    穿什么不重要
建议黑西装墨镜，直接朴正熙
抱歉长官，刚刚没能认出您
化学老师
物理老师
教导主任
班主任
数学老师
太瘦了不像
卧槽，这套好，人生立马快进20岁
忠！诚！
每一套我们数学老师都穿过 怎么会这样
校长
政治老师
领导好
门卫大爷好
物理老师好
感觉长得像马克西姆
6
主任
政治老师
物理老师同款
救命我高中校长每次上台讲话都这一套
校...校长？
真成熟
生物老师
数学老师
化学老师
语文老师
政治老师
灵岛！
行政夹克，条纹polo衫永远滴神
开家长会哪一套能镇住老师
我太想进步了
数学老师
体育老师
黄政民
乂！
我高中数学老师一模一样！！！
化学/数学老师
英语/数学老师
政治/数学老师
生物/语文老师
副主任？
这套好
主任
2像我数学老师，3想我物理老师
家长安心   孩子死心
经典皮肤
