还有高手？！
逆转裁判怎么了？
主！体！
马斯克
清汤大老爷！
主体法院
后面那个真的不是将军吗
沈腾（蓝染）
华佗再世
看封面我以为是将军呢
麦片姐似全家
麦片哥全价似光
麦片全价丝光
报告，这是医学奇迹
最强80后？
妙手回春啊大夫
常威，你还说你不会武功
说膝跳反射那个，你是在搞笑？
医学奇迹
医学奇迹
涛哥玩配音
医院查不出吗？膝跳反射
看封面还以为是谁呢！
哈哈哈哈哈
妙手回春啊大夫
这皮套是真的可爱
假的，正常人不能反应的那么快
假的，正常人不能反应的那么快
医学奇迹
将军英明
忠诚
怎么打码了
膝跳反射检测也能测试出来啊
《军事法庭》
神探!
糟糕的家伙
先治好再鲨掉（狗头）
裁判
哈哈哈
冒昧的家伙
李镇长
医学奇迹
常威
将军！！！
起大狙 狙他
华佗再世
沃艹没看头像
将军为何发怒？
后面那个眼里有光
〔将军の恩情〕
我嘞个福瑞啊
好帅的警察小哥
成交！！！
神医
审判官
省流：一个厨师不看菜谱，他跟我玩上兵法了
铙参片哥片姐
铙参片哥片姐
铙参片哥片姐
妙手回春
医学界奇迹
《狙他》
神医
狙他
医学奇迹，神医啊
将军！南下吧！
清蒸大老爷！
这是心法
妙手回春啊大夫
忠诚
查克：拿机关枪的大猩猩
是将军
哈哈哈哈哈哈哈哈，将军的审判，正义！忠诚！
北恩南忠
医学奇迹
@伤心欲茄222
医学奇迹
还真有可能可以
医学奇迹
医学奇迹
高启强？
神医！
九 一 新址[z叉43]
医学奇迹啊
其他能看到这只熊的位置的人先起来跑这视频会显得更真实一点
医学奇迹
我回朝鲜
严丝合缝
严丝合缝
撅他
忠！诚！
可真是再照之恩啊
忠！诚！
将军！
吾乃白头山金氏，尔等感恩了吗？
这属不属于刑讯逼供
常威，你还说你不会武功
据他
法官是微胖男孩
挠脚底3小时就可以了
右边已经在憋笑了
哈哈哈哈哈哈哈哈哈
byd这三下锤子笑死我了
真的是医学奇迹
医学奇迹
一下爬起来给法官都吓一跳
写实系兽装
写实系兽装
常威，还说你不会武功
将军？
《裁判》
常威，还说你不会武功
医学奇迹啊
∧
医学奇迹呀 真是妙手回春啊！大夫
恩！情！
妙手回春啊大夫
右边法官的表情绝了
医学奇迹啊熊大夫
医学奇迹
忠诚！！
将军！！
芙蓉白面，不过带肉骷髅；芍药红妆，乃是杀人利器。《寿康宝鉴》《阴律无情》
80后
夺舍成功
神医
《逆 转 裁 判》
穿着熊
妙手回春啊，大夫
触发斩杀了
宗曾！
将军！
法官锤子都要敲断了
裁判长
不至于比腰粗吧
还说你不会武功
マツコ・デラックス
举报了
法官都被她的反应吓一跳
落槌落槌！
将军
熊大夫真是妙手回春啊
麦片似全家
全斗焕
医术高超
将军？
狙他
哈哈哈
freddy
神医
哈哈哈哈哈
法官口红啥色号？
脚刚瘫痪的会手撑地爬着走，瘫痪很久的会下意识推着轮椅
高，实在是高，哈哈哈
医 学 奇 迹
法官是大元帅？
常威，你还敢说你不会武功
医学奇迹
你还说你不会武功！
裁判没绷住
小郭：这简直是医学史上的奇迹啊老白
九一新址[z叉47]
九一新址[z叉47]
九一新址[z叉47]
九一新址[z叉47]
妙手回春啊
吓治瘫痪
异议！
太阳
医学奇迹
三将军发力了
拘  灵  遣  将
九一全家退役伐木工没斧没木
哈哈哈哈哈
《judge》
架狙，狙他
常威，你还说你不会武功
夺舍成功
将军
法官:升职！
清塘大老院。
忠！诚！
法官姓金吧
常威你还说你不会武功
这不就以前中国的路数吗
《狙  他》
别笑，还真就是裁判
泥砖菜盘
能大夫妙手回春啊
人在极度危险的情况下腿部会痊愈（）
哈哈哈
医学奇迹，神医啊
将军！
太阳法官
幽默麦片姐
《夺舍成功》
《夺舍成功》
九一新址[z叉47]
九一新址[z叉47]
九一新址[z叉47]
九一新址[z叉47]
九 一 新址[z叉43]
九 一 新址[z叉43]
九一 新 址[z叉43]
九 一新址[z叉43]
九 一 新址[z叉43]
好家伙漂亮国国旗咋还打上马赛克了
终于上当了
忠！诚！
当代华佗
大夫神医啊
包拯夜审郭槐
甚至熊还没来得及下他，扑了个空哈哈，貌似把熊也吓了一跳
甚至熊还没来得及下他，扑了个空哈哈，貌似把熊也吓了一跳
甚至熊还没来得及下他，扑了个空哈哈
甚至熊还没来得及下他，扑了个空哈哈
哈哈哈哈哈哈哈
咋看起来有点眼熟啊嗯，啥时换人了
医学奇迹啊
全票打飞
神医！
所以说还是得沉得住气
清汤大老爷
恩情！
Better call sual
哈哈哈哈
元帅！？
不愧是元帅！如此果断！
常威还说你不会武功？？
医学奇迹
妙手回春啊大夫
我九你老爸妈啊九一九一
亚裔法官吧
还真的有受伤的病腿一吓给干正常的
一眼假，剧本
片哥片姐发力了
医学奇迹
点进来以为是最强80后
Better call Saul
片姐逆天了
为什么要挡住我的精神故乡国旗，是不是歧视
常威你还说你不会武功！
将！军！
一血奇迹
好招
恩情的力量
九一 新 址[ze53]
九一 新 址[ze53]
九 一 新址[z叉43]
九一 新 址[z叉43]
九 一新址[z叉43]
写实兽装（）
我们常威根本不会武功！！！
我一进来就看到常威在打来福
妙手回春啊大夫
直接穿进来怕误伤吗？
神医，妙手回春啊
逆转裁判
常威，你还说你不会武功！
大本在这里干嘛
医学奇迹
常威，你还说你不会武功
神医啊！
医学奇迹
神医啊判官
医学奇迹
哈哈哈
熊大夫，妙手回春呐
中国不可能出现的
已全部举报
法官的恩情还不完
九一 新 址[ze53]
哈哈哈哈哈哈
医学奇迹
假，眼睛还没后看就跑，正常人遇到一般会愣住1～2秒，恐惧感才上来
常威，你还说你不会武功！
这发型？！（耀眼）
妙手回春啊
医学奇迹
哪来麦片佬
医学奇迹啊
神医啊
常威 你还说你不会武功
费斯熊
小锤快敲烂了哈哈哈
妙手回春啊神医
清汤大将军
忠！诚！
常威，你还说你不会武功。
主体！
常威！你还说你不会武功！
妙手回春啊大师
妙手回春啊大夫
感恩！
帮忙举报一下刷九一的
忠！诚！
将大局逆转吧
妙手回春
猜错主角
忠诚！
二周目
将军！
冒昧的家伙，片都买到这来了。
