懂了，旅途的终点是屠龙
如果旅行的话，你想去哪里
下雨时的末影人Be like:
末影人：**********************************！
好活！
w血清
是光影！他开了光影！
？
火钳刘明
飞雷神
烟斗不带烟的
飛雷神の術
飞雷神
船型版本
恭喜宝藏发现了你
创意太牛了
Tommy召唤曲
小玉的小曲
好活当赏
这么剪？
下雨时的末影人(Doge)
oh my pccccccc
血清w
末影龙：啊？
飞雷神！
-─═┳︻
这个是真帅
马夫鱼的传送基质
飞雷神*二段！
帅帅帅
除了b，剩下你都有了。
请问我是第一条弹幕吗？
我超！飞雷神！
好活
《飞雷神》
4083这个我是真喜欢
丸辣，走马灯了
达成成就：探索的时光
物理转场
末影人：要不你来当？
一来信，一多蛋
酱紫剪？
4039开赌
口臭就别来上班
黄色の閃光は捕まえられない
沧海桑田啊
好活当赏
多少了解黄色闪光的由来了吧
好会剪
飞雷神？
4009开赌
哇
飞雷神
进来之前没想到这么绝
神游蛊
up要趋势啦，走马灯很正常的
飞雷神
飞雷神二段
我累个3千粉丝40万赞啊
哥们，不带这么剪的啊
恭喜你发现了宝藏！
我嘞个三千雷动
天才啊！
末影珍珠只是你的谎言
啊
"Oh, I watch the moon"
斯安威斯坦
《粉丝：3876  播放：254.5万》
飞雷神！！！
《如何回忆我的世界旅行》
上上个视频看有人模仿你
值得我给你的三连
挺有创意的
有点东西有点东西
可以跳慢点，感觉效果会更好
啊？卧槽
啊？卧槽
赌一波
探索的时光
我去这个创意好好哦
从百草园闪到三味书屋
明明是粉色闪光
世外桃源？！
啊？
关注了
酱紫剪？
我嘞个紫水晶矿洞啊
第一眼这很普通啊，第二眼，卧槽！
感觉这里把最后一幕改成自己第一个建的家更好
感觉能火，差个jak12
《自动成就完成器》
好活
真是眼前一亮又一亮
啊？
我大妈呀，还有惊喜
又新又好
丢这么多，就是不丢个到末地
丢这么多，就是不丢个到末地
坐稳了吗，要出发了
都不用剪了
此术名为 飞雷神
飞雷神
飞雷神！
tommyinit
省流：血清-W
再带我走一趟吧，定仙游
已来行！
好创意！
听到这个想到tommy的庭妹们可以重开了（雾
火钳刘明
天才
飞雷神
第二次刷到果然火了
改成生存就老实了
woc！火星哥！！
飞雷神
3483开赌
好看！
飞雷神
bro以为自己是佐助
