元气团仔（
666，这个入是桂（）
耐活王三坪
你想看（X）泛哥哥想看（
别甩锅老虚啊 老虚只写了第一季前半  后面都是别人写的
那用这剑去砍那盾，何如？
是《视听》啦，泛八爷出错力（）
你说是吧，黄金神威
我的中二之魂重生乐
卧槽，史
中二病->高二病
我洗海带哟～洗海带哟～
我洗海带哟～洗海带哟～
假发修一下现在还能cos五条悟）
真怀念啊 烟花告白。当年抄袭这一幕的国产漫画作者都成国内漫画app的ceo了
《月刊少女野崎君》
鲁鲁修：没错，我想看的就是这个
大删减时代
无头骑士有点接近（）
如果要联姻，也是火星和地球联姻，最后火星内部联姻…………
三体人式交流
真实系vs超级系
笑点解析：大叔不会念unravel选择跳过了
看山不是山咯
据说当时女主声优（雨宫天）配完之后脸都黑了
姨妈说过kimi你爱意大利～
女主嫁路人
婆罗门的养成方法
kimi 去拿 吉他 糯米糖
喰种是南慕容/doge
遊戲人生:別看我 我也不知道
金木小天使，艾伦小天使
厕纸模版之一
《你》-指泛式自己
《迷惑》
要扣出三室一厅了
re0:这我熟啊
《虚渊玄》
此事在闪光的哈撒韦中亦有记载
东京吃货（）
歌比番火hhhh
当年的梗，声优界假萝莉音永远干不过真萝莉
法国像德国出售通信硕士人才（bushi
指烟花
马云姨妈：受不了力
明明是美食三部曲好吧（doge
卧槽这么一描述瞬间就有印象了
马云我赐你姨妈～
马云我赐你姨妈！
喰种还算有点意思，寄生兽是真的无聊
哈哈哈，好像当时配音的人配到这一段脸都黑了
巨人 寄生兽：竟与我齐名？
哈哈哈哈哈哈哈草
不反目成仇我推什么番。对了，我推治愈番ƪ(˘⌣˘)ʃ优雅
别没看过就说是烂番，人家只是结尾烂，其他部分观感还是很好的，不要总是刷烂番出神曲的梗，真的很让人忍俊不禁
哦洗海带哟，洗海带哟~
动工巅峰
啊6……6人？
火力覆盖不够猛，一个太阳不够那就十个太阳
恋爱舞台我嘞个豆，看的第一部耽美，小时候懵懵懂懂的，真的觉得bl很美好
这番追的时候弃了
哇哇哇竟然能看到这个
结尾很棒好吧，女主大局观
翻看无数遍的月刊
剧情可以的
1000-7
其实挺好看的
舌尖上的东京嘛
机 战 神 金 作
我靠，恋爱舞台
入坑番
神！！！
月刊少女！！！！
aniki——（无端联想天元突破）
！！！
全体起立
十年了卧槽
n刷的
确实，喰种和巨人真不配碰瓷寄生兽
B站有广播剧，非常好的
青春之旅好看！
我也喜欢尼亚。。。和大家
我心目中的神作！
再次起立
强推三坪，很好看的
痛，太痛了
入坑季
火星，古代科技，机战，这不是铁血的奥尔芬斯吗
四月！
笑死我了
人家直接去法国搬了
“不孝有三，无后为大”
泽野弘之的配乐可不跟你嘻嘻哈哈
哈哈 磕双男主的有福了
月刊少女野崎君！！！！
怎么不出第二季！！！！！！！！！！！！！！！！！
治好男主的精神内耗？
漫画最后也挺迷的
下个季度有重头戏白箱
看不懂
依神专场
这个战斗确实好看啊
入坑作！
三大美食番
西园寺世界：对对对，都怪我
cod13?
love stage居然也是十年前的番了
can？
其实有点无聊的
mizuki瑞葵女神！
实际过程也儿戏，看的时候千万别动脑子去思考
青春之旅
师傅别念了
神番
真真好看
起立
大师我悟了
月刊居然已经10年了！！！！！！！！！！
现在已经是正版受害者了
除开结局就是神作
什么时候出第二季！！！！！！！
神仙打架
大上传时代开启了
神作
入坑番
谁还记得濑尾结月
月刊少女赛高
试过了啃不下去
只有第一季不错
打上花火
爷青回
憋说辣
这个好看
这一句是致敬鲁鲁修。最早出自于08年鲁鲁修r2
后面便当地太随意了
十年了？？
真神登场
哈哈哈哈哈哈哈哈哈哈哈哈
还有高手!
一边男的死光一边女的死光
全体起立！！！！
确实
那一开始就使用伊神不就好了吗（）
切    尔茜
斯雷因你好苦啊呜啊呜啊 奈因好香啊我吃我吃
不要说了没脸见人了
神
但我对食尸鬼印象最深的是咖啡店里对和平和希望得渴望和追求的大家
真神登场
神
进击的巨人
阎王点名
我的最爱
卡哇伊
md，我现在在跟女朋友开车的时候就算这玩意（）
太痛了
神！
给我整嘛了
绝剑！
唯二神
真神
第二季
闭嘴番
哭了 入坑作
