我服了身材怎么都这么好！！
丝滑变装
这个姐姐是主唱嘛？这音色太好听了吧！而且中文咬字都这么厉害！！！
中文厉害！
我的天，这个拉普一听就对味
这位姐姐和穿长裤的那位中文发音很标准  不违和
璐最后甩头ending这一下好美
我们二三代团的粉丝吃的真的很好，泪目
曹璐最好的大姐
时代的眼泪
这段RAP用英文很巧妙啊!既避免了中文RAP说不好（男子汉），加在中文歌曲里又不违和。
看到这么整齐的舞蹈想起有人说自己的爱豆唱歌不需要舞蹈齐整
哎呀，露露呀，你总算能站上c位了，加油啊，祝你长红
这个雨景好看 还应景
路人，很感动
这段rap也太帅了
这位好标准啊
感觉从之前的怨妇，成长为了大女主
没有追过什么韩娱什么女团但是看的很感动
填词很棒诶，不是怨妇风，是洒脱大女人
因为前公司不当人lulu绿卡没什么词，是后面综艺火了lulu苹果派词才开始多
冲
短裤曹璐，短裙yel金惠美，长裤Linzy林敏智，长外套yezi李礼智，短外套jei金珍熙
短裤曹璐，短裙yel金惠美，长裤Linzy林敏智，长外套yezi李礼智，短外套jei金珍熙
支持一下
好感动
回归大发！！！！！！回归大发！！！！！
再来亿边
这刀群舞啊好厉害
欧尼
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！！
加油！！
璐姐歪头好可爱
好听！！！
中文版让我get到主唱的实力 也太准太好听了
前面的点了，好严重的母语羞耻听着都觉得很舒服
想要中文音源
姐姐中文发音咬的好准
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好听，加油！
支持
好棒
来了，姐姐们加油
回归大发
这编舞比那个莫名其妙的性感风好多了
璐璐以后是不是可以唱这首歌了（公开场合）
姐姐们实力真好
真不错呀，我已经不想听拼接念经之类的了
这句一出来鸡皮疙瘩掉一地！！
冲！
填词好棒啊
太飒了
姐姐腹肌鲨我
已三连
曹璐姐姐真是个女人！
回归大发！
啊啊啊啊啊啊啊啊啊啊姐子们这个身材，我晕腿了
我们惠美姐姐真的好仙啊啊啊啊啊啊
这段音乐配上姐的rap我起鸡皮疙瘩了谁懂
全员门面好吗，我们完颜团。
这俩主场是真的顶
身材管理真好
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好清楚！
璐璐璐璐姐！！！！！！！
一拉远景全是细长匀称还不筷子的大长腿，太牛了姐姐们的身材
linzy
linzy
惠美
惠美
惠美
这个歌有两版中文版和韩文版
也没有那种说中文的尴尬感
中文版璐璐就两句很少，韩文版璐璐唱的多一点，两版每个人的part都不一样
回归大发~
长裤子姐姐的发音好棒
喜欢喜欢喜欢
主唱的发音真的好棒
填词真的好棒
姐姐加油
冲冲冲！
姐姐加油！！
谁懂这段唱到眼泪的含金量
啊啊啊啊啊！！！！死去的青春回忆在攻击我！！！！这才是乘风破浪的姐姐
歌词真的绝了
好好听
不错不错
这是洒脱啦，女主~
看到这里总算明白这几年基本没有爆火女团出现了
冲啊
努努力破百万
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
我真的好喜欢中文版
