标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
《崩坏：星穹铁道》动画短片：「清闲自在身」,崩坏星穹铁道,https://www.bilibili.com/video/BV1WvpTekEPQ,475.6万,1.8万,"晨起，将军们抓住转瞬将逝的清闲光阴，开始了各自的一日之计。这一刻他们与罗浮上的芸芸众生并无不同。

中文CV：
飞霄——叶知秋
景元——孙晔
椒丘——陈张太康
怀炎——李昊甲

日文CV：
飞霄——小松未可子
景元——小野大辅
椒丘——丰永利行
怀炎——宫泽正

韩文CV：
飞霄——손정민
景元——류승곤
椒丘——이정민
怀炎——조민수",43.1万,19.4万,43.1万,6.4万,"['动画', '综合', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-06 12:00:00
可以不要发死亡威胁吗🥲,是李嗲和老铁,https://www.bilibili.com/video/BV19epKeWEK4,361.6万,3087,Not Found,59.2万,14.2万,59.2万,2397,"['影视', '小剧场', '公益', '新疆', '足球', '新疆足球']",2024-09-05 12:30:17
0:7输了，球场上我都没破防，地铁上让我崩溃了,何胜0423,https://www.bilibili.com/video/BV1AWpGexEXJ,660.9万,3.2万,全力以赴的意义不在于一定会成功，而是不留遗憾,35.4万,5.2万,35.4万,3.0万,"['国足世预赛前方观赛团', '运动', '足球', '体育', '中国队', '世界杯', '国足', '足球', '退钱哥']",2024-09-06 00:44:40
超级偷子,小潮院长,https://www.bilibili.com/video/BV1VQH9eWEBE,389.8万,3.1万,"希望观众老爷喜欢这个系列！ 
（希望你们喜欢，记得素质三连！）
温馨提示：本期节目有一点点不一样，更偏实况、推理、讨论，
大家都是自然真实的表现。
可能没那么多节目效果，希望大家多多理解！！！",32.3万,16.0万,32.3万,6200,"['搞笑研究所', '生活', '搞笑', '搞笑', '高能', '娱乐', '生活', 'vlog', '沙雕', '小潮院长', '小潮team', '奶酪大盗', '搞笑研究所2024 5.0']",2024-09-07 12:00:00
我爸被撞没死掉，真有后福，有给钱的，还有给安排新车的,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1qZHDeQEEX,322.6万,8556,Not Found,43.5万,7.1万,43.5万,2380,"['了不起的新农人', '生活', '三农', '途岳新锐', '上汽大众', '小青年大丰收']",2024-09-07 17:00:00
大学里二阳又会怎么格式呢？,二阳咂-,https://www.bilibili.com/video/BV1CyHDehE94,271.8万,680,-,27.7万,2452,27.7万,505,"['影视', '小剧场', '校园', '搞笑', '原创']",2024-09-06 20:36:24
世界渲染大赛第九届，最有温度的作品！,不灵不灵灵姐,https://www.bilibili.com/video/BV1gWpueZERx,210.0万,187,Not Found,48.2万,6346,48.2万,526,"['热点观察局', '生活', '日常', '动画', '艺术', '世界渲染大赛', '温度', '资讯直通车4.0']",2024-09-05 16:00:00
新生开学 VS 老生开学,进击的金厂长,https://www.bilibili.com/video/BV1zvHQe4EKi,279.7万,2757,点赞投币后果然有好运buff加成～,11.2万,7.2万,11.2万,1234,"['原创搞笑剧情', '生活', '搞笑', '校园', '大学', '搞笑', '搞笑动画', '短片', '开学', '学生', '新生', '金厂长', 'BILIBILI金电视奖']",2024-09-06 17:59:47
每个人都可以是大圣，但她的孩子是真的回不来了『黑神话:悟空』通臂猿猴,修片狂魔,https://www.bilibili.com/video/BV1P6p3eREGs,378.8万,929,献给最伟大且无私的爱！,16.4万,6623,16.4万,2794,"['游戏', '单机游戏', '游戏杂谈', '单机游戏', '游戏', '黑神话悟空', 'Steam游戏']",2024-09-06 03:32:32
灵吉菩萨的纹身，是对他最大的讽刺,STN工作室,https://www.bilibili.com/video/BV1TDpMeHEWn,345.0万,7889,黄风岭错综复杂的剧情，绕乱了不少天命人。这一期我们就带大家理清剧情时间线，并从独特角度为大家带来深度解读！,20.3万,9.1万,20.3万,1.2万,"['黑神话天命人来也', '游戏', '单机游戏', '游戏杂谈', '西游记', '剧情解析', '单机游戏', '黑神话悟空', '黑神话', '灵吉菩萨', '黄风岭', '黄风大圣', '《黑神话：悟空》8.20 直面天命']",2024-09-05 18:00:00
