摇头晃脑可爱捏
说台风停课那位记得做好防灾准备哦～
他是怎么做到怎么丝滑的
我！打！工！了！！！！！
这不就是我最爱的天真浪漫嘛
作者能做bgm是Shut up my mums calling的视频吗
boring写错了
要不要试着反思一下bgm 确实不好听
真的…好有18的感觉啊！
B站第一定律
好作品从来都不会被埋没
大家都开学了
质量越高播放量越少，播放量少是因为质量差，所以质量越高质量越差。
我是江西的，江西高中的，我又放假了
我想死了
豪庭
ooooooooooooooo
我说怎么这么难听，原来是乃万的
姐姐英文拼写错了，是boring
太肝了
原来是你
高潮开始！！！！！
这里好听！
萌番了！
略略略
流畅得嘞
卧槽
387
孩子并不是
Gut gemalt
找个班上吧，互联网要饭不容易
发350人给我出来。
大佬，收下我的膝盖!!!
嗯，有一点点凉，但还是热乎的
377个人
乃万 乃万 乃万
乃万！乃万！
111.1萬觀看
做得很好
首页刷到四次，决定进来看看
《热门》
大工程
其实可以不用学画画只要你会画画就行
这是真有质量，不像某些孤芳自赏还有一堆人捧
三连
乃万的歌，好评
乃万的歌，给个好评
359
上热门了
不是，现在还有350个人看
[OHH]
乃万啊！
画风真好
来回看了好多遍
好活当赏
歌曲编的挺好的，喜欢
我因为高温，延期开学了
666
首页通知书
我蛋仔好友叫这名↓
我蛋仔好友叫这名↓
很快啊，啪的一下就关注了
我初中时51℃都没放。哭死
确实少了
保护牛魔海洋
牛啊
开学啦
哇塞
Boring
b站是这样滴
完全认可
听成see you again 还有救吗
鬼知道我看了多少遍
我明天就开学，太伤心了
nb
有种橙子汽水的洒脱
画了多少张啊
526
橘子汽水的感觉
我操500人。
b站是这样的捏
乃万！风的颜色
绝世唐门里的橘子吗（）
我咧个豆，你币有了
up辛苦了
好看
智齿
这得上万张了吧。还没有算上费稿
哇！厉害厉害！
老师  某音把你画的画做成表情包了！
其实挺好的，就是有点儿无聊。
334人
印象里的哔哩哔哩
333人
谁还记得UP最先是画火柴人的
真的?
boring
想抱啊
boring？
首页看到的
239
好可爱
