包裹着金箔的史
up只是在模仿风格鲜明的导演啊 并没有说他们就是一个层面的
怎么了呢。。。郭确实也有自己的风格而且很鲜明，哪怕很多人不喜欢
抽帧开始
超市有的啊，有一种进口的凤梨罐头很好吃的，切片的很甜很脆就是贵
史前巨史
文艺时代
为啥不能放一起，说的是各个导演的风格，你不喜欢这也是人家的风格
这口音竟然对上了！
看着像《我们的爱》
郭敬明蚌埠住了
郭敬明什么史
蚌埠住了王家卫和贾樟柯里夹着郭敬明
娄烨 王家卫之后来了个郭敬明没绷住
土土的很安心
天呐这个色调，好电影！
这就别了吧，这也能凑一起讲啊
该说不说，小四的确是最对得起粉丝的导演
这个不适合出现
这个差太多了
《山海》
这个没拍出郭敬明的感觉，他镜头拍人还是很好看的
还是这个感觉好
唯一真史
这是堕落天使吧
？
最喜欢的导演
没有县城，万万不能
经典重庆森林
我喜欢这个
贾科长！！！呜呜呜呜呜！！！
拉了
叶倩文《珍重》
没有王家卫的感觉
娄烨？那个拍疫情的娄烨？
爱只是爱，伟大的爱情到头来也只是爱
啊啊？
bgm:fxxk love
才华横溢
你不喜欢不代表别人不喜欢
你懂完了
go west
？？？
卧槽像呀
这个好
算是邯郸学步，不管学院派还是天赋视觉，都不够
哇 有感觉
好口活
大爱贾樟柯
这位是史
小时代
这叫抽帧
阿珍？
亡妻回忆录
最喜欢的一集
没词说了吧
李米的猜想
看到郭敬明取消了我的点赞
这个更是重量级
勾史
专拍老婆
妆太浓了。。
《审美在线》
把郭敬明和这俩导演放一起，是在侮辱他们吗？
赞收回
求问BGM
癫痫
有内味儿了
哈哈哈
零分电影将就看吧
太美了吧也
我要看成龙
精致到虚假
山河故人绷不住了
这有点让人反胃了
？？？
直接划走了审美在线
不要为了黑而黑，客观来说确实审美不错
郭敬明除了妆造真的其他难以表达
郭敬明拍的确实不好但他真没抄袭
王家卫不像
吃点好的
可是真的很有氛围感
精神病导演
这就是没加稳定器吧
我爱重庆森林！
好牛
这个抽真恍恍惚惚
真的这个电影还挺好看的
山河故人
哇喔，吹箫很棒？
郭敬明的电影确实风格鲜明，抄得那么猖狂还永远坚持是“原作”的这么不要脸的我只见过他这么一个
这个嗑瓜子是很传神的
我：眉头紧皱.jpg
这电影都不知道怎么看下去的。。。
没有物质的意识就是一盘散沙 都不用风吹就散了
may呀！
推拿！
最爱贾科长了
只是在模仿片段啊
天哪这种摇晃的镜头超级有感觉
拍的好好
郭4的是PPT不是电影。说他是导演真是侮辱这个职业了。
山河故人
叶倩文必不可少（doge）
没放磁带啊，没放磁带啊~~~
这个味不够重
姐姐好牛！模仿的超像！！
多一点就会爆炸
