通臂猿猴一直都在主持猴王工作
花果山点子王
说会死的那些人是不是不知道生死簿被孙悟空改了？
你在原著里看过紫霞仙子么？
“不，你不是……不！你可以是！”
难认，初代大圣孙悟空实打实死了，天命人是孙悟空转世不是原来那个孙悟空
不是留下，是准备拿走，被你发现了
不会老死，但会老，也会死，而且地府不收
菩提老祖！
五蕴齐，大圣归
通臂猿猴：“你这石猴果真令我欢喜~”
花果山的猴子在大圣陨后都迁走了，有的留在火焰山被炼成妖怪，有的去了小雷音寺出家
可能是菩提老祖
猴哥把猴子的生死簿都划了，理论上猴子们都不会老死
东海龙王：好一个借
《借》
猴欢喜
《借》
因为峨眉山是佛门封给他的，花果山不是
岂止4 500岁，她在大圣诞生前就活着，大圣死后她也还在，其中起码过去上千年了
共乐天真
这个仙人可能是菩提祖师
泪目了
不是她留下的，是她想取下来，然后自己去复活大圣，但是没办法取，初见算是被我们吓跑，后面慢慢变成指引，最后那个才是她亲手给我们的
“明明你并不是他，可你却如此像他”
她没有余生，孙悟空划掉了她的生死簿，只要神佛不对她下手，她永生
回不来了，又好像早就回来了
像啊...太像了
大圣已经转世了，五蕴丹已经无用了，大圣他回来了
是大圣干娘
可能是他知道了大圣的安排，所以释然了
其实我们都知道人死不能复生，但对于绝望的人来说，哪怕只是那一丝希望，哪怕只是有可能，一会拼尽全力去寻找，那可能存在的一丝希望
《能力弱小》……第一次围剿花果山。独角鬼王为先锋被擒，花果山四健将可都完整归寨！
问为啥孙悟空的道场为啥不能在花果山的，麻烦买个游戏把影神图看完先，悟空是一路西行修成正果后，发现世间苦难依旧，百姓仍为鱼肉，才辞去果位，不做那食利阶级，继续反天替苍生做主！
是黑神话作者自己添加的内容，原著中没有的
这就和活出第二世一样，大圣是天命人但天命人不全是大圣，如果这都不算那狐妖小红娘里的所有转生人都不是原来的人
《山魈》
《她》
平账大圣，谁不爱啊
只需三年
健
闹天宫前活了300年，孙悟空关了500年，黑神话是取经500年后，通臂猿猴少说得1300岁往上了
没有名字多不能轮回算好事？
避刀仙人在此
《她》
通臂猿猴不是梅山七圣袁洪吗？
泪
可惜这五蕴也只能做一个无关紧要的东，这么长时间的收集打了水漂
这个表情，T T
泪目
一笔画过生死簿，两猴相伴已千年
感动
图鉴里说得挺详细的
这是通臂猿猴啊
猴哥她妈
中间为了六耳猕猴还回来了一次
他给我那个东西的时候我都傻了，我还寻思得打一架呢，我剧情啥都不知道
通背猿猴是袁弘啊。。。
这和辞去佛位有什么联系吗
路上之人，你们从不孤独
菩提老祖真是为徒儿操碎了心
花果山太后啊
天命人就是齐天大圣啊，六根归位大圣就复活了
平账大圣
眼睛袅袅了
游戏里只有花果山的猴子，像猴游戏里的猴子，竟然像人
吉吉国王
BGM神话好评
爱你老妈
猴子猴孙被屠过一遍，但没死绝
如果最终集齐六根，那大圣才算真正复活
养母
+-慢慢慢慢密密麻麻，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，-+
卧槽！养母
mg9hmg
你只像他三分，我便已经失了神
原著大圣被压前有四万七 二郎神听命来剿灭残党但只放了火就走了 躲起来没被烧死的一半因为山被烧另寻出路 留下的被猎人捕杀一半还剩几千
给你了他不会回来了他再也不会回来了。
你中有我，我中有你，即是也不是
真的这个游戏做的太好了
这么灵找到一个就复活了。
主持花果山工作
我朋友的网名
如今猴群没了，大圣也兵解，唉
山魈本来就存在别乱ky
因为是猜到大圣的安排
玩的时候没看懂，这下真类目了！
《借》
通臂（bei）猿猴
通背（读）猿猴
眼睛里进地球了
大圣刚出世是第一个就遇到的他，也是他把大圣带到水帘洞口
通臂猿猴是母猴吗
好哭
呜呜呜，眼睛廖廖了
眼睛尿尿了
此时衔接杨戬大战孙悟空场面
蕾姆了
也许那只山魈也曾是一个天命人呢
蕾姆
你不是他……不……你可以是！
《借》
冷知识天命人跟大圣是一模一样的，所以说大概他是把他当成大圣了。大人回来啦，回来啦
天命人可以为了过关死几千次，但这位母亲一次也不能死，还有人在等着他
魈上仙：你礼貌吗
那这个老猴是？
密码正确，账号…（这是哪
20点属性还是太香了
是男的
极端借
最后她应该是认出了天命人就是大圣
把我看哭了，你赔钱
孙悟空到地府的时候一并划掉了好多猴子
基本每两个都是，黑神话悟空
石猴养母
算是养母了
起鸡皮疙瘩了
你在找五根而她在找五蕴
中国话是烫嘴么？
这里说错了，猴子猴孙没死，要不然为什么有天命人呢？之前是杨戬和孙悟空演戏，实际猴子猴孙一个没死
那当然了。10殿阎罗跑的只剩下阎罗王了。几百年的烂账被孙悟空给划了。多好的事儿。
这一走就是五百年，再走谁知道何时能回啊。。
天上果然不是人待的地方 回来就好
补药啊啊啊啊啊
好帅好帅
母亲伟大母爱伟大。
泪目
泪目！！！
好细致
花果山的猴都被大圣勾了生死簿可不长生不老吗？
母爱伟大
啊对对对，外国人在你们眼中就是傻子，就你能读懂外国名著，外国人看不懂中国的四大名著
好感动
至少有50 60年才回来
至此，已泪目
然后五蕴丹就被天命人自己吃了（
是孙子
宣佛爷 勤王护驾 ~~~！
他回不来了，倒也不必回来，有人已经成为了他
应该是他给小猴子留下的才对吧。
这就是母亲才会为孩子做的事
相貌有些雷堆，定是别处来的妖怪
猴哥，大圣，要多大勇气啊
通臂猿猴
影神图里讲了这些?
因为通臂猿猴也是混世四猴之一
石猴似你不是你
是感觉天命人能成才把五蕴让给你的吧
悟空阳寿340多，证明通臂猿猴还要长命
只能说通臂猿猴懂得真多，哪有高人他都知道
说原著没有的也别看原著了建议看看脑子去
阴影应该是原著的七十二洞妖王
回娘家了
灵明石猴 六耳猕猴 赤尻马猴 通臂猿猴
通臂猿猴
我哭死
看到了曾经大圣的样子
通臂猿猴是只母猴
基里曼和尤顿夫人（doge）
为什么活得久，大闹地府的时候都从生死谱上划掉了啊
有没有可能叫通背猿猴
这都不是原著了，这是游戏
我儿，我儿，好！woohoo woohoo！
生死簿不会老死，但会被杀死，被杀了就变成孤魂野鬼了
借，用的好啊
长征
不信神佛不信仙，因为有了母亲
是你们满天诸佛满口谎言欺骗俺老孙在先！
养育之恩大于生
孟母三迁
这应该是黑神话自创的故事吧，原著可没有
通背猿猴
-0
肉体用DNA复制了新的，意念分六个硬盘重新安装，意念大概也丢失了部分，基本算是复活了，而且还是忠孝难两全，有遗憾不完美，但能复活，母亲也释然了，不奢望孩子一直陪在自己身边了
因为不可能把花果山封给他，你见过诏安之后还把原地盘给他吗
能力不是很弱对比起来不够
这位妈妈，太辛苦了，泪目
有什么情感能跨越500年
仙人是道家称呼，五蕴是佛家语，西游记里也就菩提祖师能以仙人身份说佛家语了。
拉飞奇
不拿会不会解锁新结局
混世四猴是如来瞎掰的，不然的话生死簿就不该有记录，生死簿记录的也是天产石猴。
“他已经不是孙悟空他是六耳猕猴”——扯淡
仙人是乌巢禅师
这不是最开始见到石猴的通臂猿猴？？
说开了组个队可好
有了传承，开心的释怀了。
应该是孙悟空的师傅托梦的吧（我觉得应该不是唐僧）
大圣养母
第一次见到的时候衣服是新的 最后看到的时候衣服都烂了
某种程度上 这也许就是悟“空”吧
她不是通臂猿猴中的其中一只吗？
通臂猿猴
估计是疯了
袁洪：我是虚构的
弼马温
练丹了肯定是太上老君
这个面相应该是马猴才对
到底是他还是她
我是笑着泪目的
唉，可怜天下父母心。。。。
好借
借了
我真的哭S。。。。
其实我感觉她更像是引领天命人来找到五蕴
随他去吧
眼泪都下来了
也不知道谁传的孙悟空是灵明石猴的
泪目
终于明白了这个剧情，游科真牛逼
通臂猿猴说清的那句话似乎是:好怀念呀
他的衣服 肉眼可见的 越来越破
好家伙，这哪是齐天大圣，分明是平账大圣
抢=借≠还
泪目了
它最后是跳崖了吗……
扔给天命人的一蕴，真正做到了照的五蕴皆空
网上有分析说如来封印孙悟空自己也元气大伤，只不过装的体面没示弱
阎王：玉帝我替你平账了   玉帝：给倒霉蛋一点甜头吧
左一狮驼王，左二鹏魔王，左三蛟魔王，右一牛魔王，右二应该是禺狨王（但是禺狨王原型不应该是猿类）右三猕猴王，猴子是老幺美猴王
影子是大圣结拜的六个兄弟，蛟魔王牛魔王鹏魔王狮驼王禺狨王和猕猴王
隐藏结局不是恢复孙悟空本人的记忆了吗？应该能认出通臂猿猴吧？
原来是悟空的养母？
天命人全程没有一句台词，只有各种猴叫，所以天命人只是大圣留下的空壳，也就是大圣自己，集齐六根之后，大圣复原，只不过是多了一段天命人的旅程记忆而已
一直以为是老鼠，还以为是六丁六甲里面的子鼠
打了隐藏结局大圣就回来了
原来是奶妈
我要哭了
黑神话悟空除了有点难以外我认为几乎完美
快去请如来佛祖~~~！
罢了罢了，拿去吧小猴！
原著中孙悟空手下有两只通臂猿猴和两只赤尻马猴
“都忙，忙点好啊”
哦 是八戒啊
她这是山魈和她是通臂猿猴又不冲突
生死簿上具体有5个科目，对应着飞鸟走兽，游鱼百虫，人
我是真的泪目了
猿鸣三声泪沾裳
0元购
是那套衣服
我想起来了，是那个猴子！那个老猴子！！！
他一开始只是想活着快活
这个脸确实是山魈啊
莫名想起电影《失孤》，感觉到相似的感动
我的眼泪不值钱（泪目）
六耳猕猴是孙悟空的新心魔
蕾姆了
这一段描述出自影神图
这便是母亲
挺感概的！
她？
她找到过五蕴，最后又丢掉了五蕴，所谓五蕴皆空不外如是
啥啊，这是通背猿猴，大圣的养母
这叫义父
泪目
灵台方寸山，斜月三星洞！
这是子鼠
可问题是孙悟空吧，猴子猴孙和他自己都从生死簿上滑了下去，就等于他们万一出个什么意外，没了再也无法进入轮回
世间哪得双全法？
看哭了卧槽
你不是…不，不，你可以…你可以是……你可以是…哈哈，呵…对对对，你可以是，你可以是他!他已经…他已经回不来了，啊哈哈哈哈哈哈，哈哈哈…
有三灾会死的
原著中从来没说孙悟空是灵明石猴
大圣和女娲没有关系，是天产灵石，不是什么补天石
通臂猿猴视角
大圣养母
这是黑神话的剧情了吧
我儿，回来了
我们都可是天命人啊
摇头表示 也罢这样也好
最后一颗蕴扔给天命人时 他犹豫了 知道大圣永远不会回来了
嘉然和马文杰已泪目
亦是游戏，亦是现实
大圣是天产石猴不是灵明石猴
泪目
袁弘
像啊
真不看影神图
我也以为是只老鼠
她找到了五蕴，蓦然回首，见你形神皆似故人来
像，真像啊
泪目
这里真的想哭
平账大圣
通臂猿猴
肉佛头可是很凶残的··· 参考黄风岭的石敢当图鉴解说
通臂猿猴找的五蕴都是佛头上的，
那石猴不得叫她声妈
哎！ 这一幕
@AI识曲
泪目
菩提祖师说的吧？
泪目，可怜天下父母心
山魈
她说了一句好怀念
神作！
这里放原片就好了，演出效果太好了
鬼童继承了阳间的记忆，可他是阳间吗？
好难过，大圣是唯一的
六老师太帅了
看影神图的人物志，这位叫通臂猿猴
泪目
唉……
享不了~享不起~
山魈。。。
通背猿猴走得早，可能不认识天命人
相貌雷堆
我以为是大老鼠
雷姆
猪腰
大圣的退休计划
《她》
平帐大圣
大圣的奶娘
通臂猿猴是孙悟空封的大将啊
不是哥们，这通臂猴也能活500年？
泪目
不是通背猿猴吗？
通臂猿猴也是四大灵猴之一，活得久点不奇怪吧
不是疯了，她觉得大圣回来了，后面的叫更像是欢呼，回来了！回来了！
眼睛袅袅了
零元购
空降:1:00
跳伞:1:03
通臂猿猴可不是一般猴子
可以出书了，写挺好
也是换来了两……两个字
