杨戬：助战？助哪边？
正好后羿射9日，嫦娥飞天
杨戬的武器很重把天命人压了下去说明那是金箍棒
这确实，相比于火眼金睛的能力，反而徒增一项弱点
黑猴里，八戒的故事两人第一次见面是八戒也羡慕猴哥能痛痛快快的大醉一场
马保国：偷袭，不讲武德，耗子尾汁
孙悟空天生石猴能杀他的只有他自己
“共谋大事的人来了！”
三尖两刃两万多斤，比定海神针还重
那个武器这么重，丢过去都接不住，可能是金箍棒
被天庭杀的猴子猴孙：6
谢谢，听了太多次，已经红温了
不是说是假杨戬，是想表达杨戬的心性也改变了成长了不是原来的他了
二郎神和猴子本来就不冲突啊，原著打完九头虫还喝了一晚上的酒
杨戬:不是哥们 怎么闹天宫不带我？
梅山七怪
张翰是吧
风灵月影宗表示不用试了，我秒了
说的丑是说之前的二郎神不敢直面天命的丑陋，如今放下顾虑所以才说他之前比现在丑多了
不是复活，是大圣自己重走修心路，结局打完残躯成就是“二心竞斗，只取其一”
"这里有个细节,杨戬边说话,边抬手施法用云把天上的金光给挡住了."
反天庭第一人——杨戬
四大天王：我上早八
大圣：稳辣！
用活物炼丹，果然鹤仙人就是你，老君
灌江口二郎显圣真君
悟空：杨戬反否 杨戬：哪吒反否 哪吒：早他娘想反了
《小神》
因为悟空曾说过：天上的阳光太扎眼，随我去山中会会
细节：把阳光遮住了
这不周冠宇么
赛 马 娘
因为一开始序章的故事是假的，不是真实的事
弥勒很不服如来的，他俩之前争过佛主之位
丸辣！
根据西游记原著记载杨戬的三尖两刃枪要比孙悟空的如意精箍棒更重
杨戬的武器有可能就是如意金箍棒，因为很重，天命人都拿不动
弥勒这句话含金量很高啊，直接明说了这就不是真的二郎神。
天兵说；阿米诺斯
原版是二郎神，沉香是后来改版的
这个结果，我信服
偷袭！
龙傲天怎么能杀得了呢
然后杀了9
孙悟空自行兵解就是唯一的选择
二郎神反的时候孙悟空还没出生那
天命人就是悟空
昂昂昂昂昂，昂
这不是悟空传里的吗
听调不听宣
明着反：猴哥，暗着反：二郎神，说反就反：哪吒
所以杀光花果山猴子是为了演得更真？
？？？？伤口淤青这么快？？？
那大圣死了，紧箍摘了还有啥用
天庭三个斗神—悟空 杨戬 哪吒，也是三个最大反骨仔doge
他来了！
天庭还是灵山，我感觉是两股势力
猴哥是紧箍，金箍是红孩儿的，黑熊精禁箍，箍见肉生根，必须换个肉身
他的身份啊，它天生阵营在神，悟空是真的平民妖出身
喜欢上杨戬了，太有魅力了，宝莲灯里的也是
一开始想借着降服来扬名立万，结果不打不相识发现猴子是同道中人
《人生长恨水长东》
金箍是外神的污染，黑皇帝希望通过自杀再复活拜托污染。
天命人是悟空转世
火眼金睛可不是好东西啊，大圣的眼睛让熏成这样的，也是大圣唯一的弱点
这后面那个是张飞吗？ 长得太像了吧。
造三不就是二郎神反天庭，我们一路打
打上天庭
DLC
这个世界就一个巨大的张翰
白黄翠黑皓
下一部，黑神话造反
金箍也不是天庭安的啊
不要总是拿以前的说角色是什么什么样的人，他们的故事从未结束，只要读者看着喜欢，传播的够广，人们认同，那就是他的设定
韩道友
韩立
打上凌霄殿！
