《创造模式》
创造模式
开发者模式
鲁迅玩周树人
真逆天
0周目玩家
第一个游戏通关的
草哈哈哈哈哈
笔下有乾坤
吴承恩:让我看看我设计的人物在游戏里实力怎么样
开发者模式
之
吴承恩：要不给西游记再写个续集吧
吴承恩：我寻思着我也没写后续呀
除了骂人。
专家评审团
原作者非常推荐
吴承恩:这我熟啊
《已打开开发者模式》
吴承恩：这虎先锋不是被八戒一耙就拍死了吗
吴承恩：不行不行这游戏有点超标了，得改一下书了
up名字……逆天
我承哥写书写累了玩儿游戏消遣消遣怎么了(doge)
吴承恩：OK啊，今天来玩一玩我的悟空
吴承恩：孩子们我打赢复活赛了
吴承恩汗流浃背，我马上绝对要削弱那些妖魔鬼怪
吴承恩：我自己写的书，玩一下怎么了!
吴承恩：好玩，爱玩
开创造啊
《版本认证》
哈哈哈哈哈哈哈我去 找灵感
镜头语音
百万播放了
100.2万
巧了，我这有个菩提祖师在玩
为啥这么低创的视频这么多点赞
逆天
省流：禁止up主自娱自乐
啊？？？？？？
禁止UP主自娱自乐
《自产自销》
《开发者模式》
吴承恩：不行，得给猴子加强了，不然不好打啊（）
创造模式
不行啊，这个虎先锋太难打了，你看我削一下（
Q
想了半天，吴承恩是谁，突然想起来了
吴承恩:没人比我更懂一命速通
92.6万播放量
吴承恩：耗碗
逆天名字
吴承恩：你懂还是我懂？
？
？
吴承恩:豪玩
《开发者模式》
《关于我有一个朋友叫吴承恩》
？
up主头像逆天
没黑神话谁知道你吴承恩
《》自产自销》
他说黑神话是抄袭，我是一点屁都不敢放
垂死病中惊坐起。一看战绩零杠几？
前有明末千里行，后有悟空
吴承恩当年就是玩黑神话悟空后气到写下了西游记
内测
原作者听说原作出dlc了
倒反天罡（doge）
有图有真相
吴承恩：不是我玩我自己的东西，我有错吗？
"牛逼,作者玩自己写的作品改编的游戏"
创造模式
吴承恩：不是，这有点太强了吧？我写的不是这样！！
有一种正主贴脸同人的美感，我透
吴承恩：娘的，等会就把原著虎先锋删了
大明科技
《原告：吴承恩》
《大明开国皇帝朱元璋     正在玩     饿殍：明末千里行》
吴承恩曰呼：爽！
合理
禁止作者自娱自乐？禁止作者自娱自乐！禁止作者自娱自乐，禁止作者自娱自乐，
专家评审模式
开  发  者  模  式
创造者模式
开发者玩一下怎么了！
NIKE                                                   ╱/                             ╱/
吴承恩:看一下有没有能够写后续的灵感
吴承恩：没灵感，看一下素材
吴承恩：没灵感了，打一下吧，看看这里有什么灵感
我嘞个豆啊
逆天名字
6
破解版
吃瓜吃到自己家
吴承恩：虎先锋有点难打，回调一下
黑神话：吗喽
我知道这个原视频是谁啊
不忍打破1145个关注
《1142个粉丝》
这人玩的明白吗？
up名字过于逆天
吴承恩:你们这群小孩子玩的明白吗？
吴承恩:我看看有没有尊重原创
Steam：不是机器人就行
底克                                                        ╱  /
他在玩抢先版
悟空：爹你咋来了
各路妖怪：我超！爹！
吴承恩：我猴子怎么削成这样了？！
快 看 U P 名 字！
虎先锋：完了，我是不是要一笔被写死了？
吴承恩：以管理员身份运行
现在知道悟空为什么在原著中一棒一个妖怪了（）
吴承恩：听说这游戏挺难玩的，但是我怎么就速通了？
得到原作的认可
头一次见弹幕全是up主的
up主的名字真炸裂
原作作者品鉴二创中
吴承恩：我也是玩上二创了
吴承恩说这咋跟我写的不一样
