乐子鼠标
《那可是我们自己兄弟啊》
我就是个看视频的观众，控制不了鼠标
小推车：人机
盲猜有人说 ut好评
盲猜铁桶后面坑普僵
这个表情可爱捏
鼠标是僵王扮演的！！！
因为他可是《预言家》
阿加莎克里斯蒂《无人生还》的翻版！
祝花生生日快乐！！
空瓶是我的辣
再度担心花生的精神状态
斯科特233
20904是植憨第一个视频发布的时间！
编号？这么说，原世界线的鸭子可能没死？（）
你也逆天！
豌豆下士伤透了心
斯科特既视感（雾）
完了完了，又疯一个
空瓶
逆天（尾巴大爷音）
《好植坞》
花生生日快乐！
我去gbcの小曲
《你也逆天》
路障：我上早八
“豌豆下士记得把我推回来啊我一个人是回不来的啊”
《杀死一只知更鸟》
狼人杀那集，向日葵死后，豌豆射手好像骗别人说自己是预言家，测试鸭子僵尸来
玩崩铁玩的
我嘞个回忆录
？！你不是向日葵吗？怎么叫指挥官？
这是和之前的植憨连上了？
你得去找花生，我只是个观众
《片场版》
《僵尸斯科特》
花生！再更一期吧，我看不到就感觉浑身有蚂蚁在爬
所以这些都是戏，是没有那些死亡消失的吗，那就好
留下来的花有百般开法（）
这期植憨场景不止局限于花园了唉，质量好高！
在水里泡了三年的向日葵
崩铁斯科特（大雾）
a线的豌豆指挥官，我还记着那狼人杀呢（）
我嘞个斯科特呀
《幻影忍者，前情提要》
扭曲豌豆       舞台落幕
怎么到这里有那么多的月计人
斯科特?崩铁的斯科特是吧
黑神话现状
我用手机看的，没有鼠标（doge）
爷青回！！
花生生日快乐！
爷青回！！
生日快乐
你也逆天
爷青回！
曾爷爷，您关注的系列更新了
爷青回
爷青回
爷青回
爷青回！
爷青回！
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
生日快乐
爷青回
看过兵王的救国船员有点憨
爷青回
garden of avalon
我用的手机。
爷青回
我就知道
《无人生还》
花生生日快乐！
你也逆天
这个剧情怎么越看越熟悉？我是不是从哪儿看过你说对吧？星穹铁道。
爷青回
爷青回
你也逆天
爷青回
生日快乐
豌豆:我听见c之声了
花生生日快乐
花生生日快乐
生日快乐
等下啊啊，花生超级无敌大制作啊啊啊啊！！
生日快乐
上面玩U T的，哈哈哈
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
贝 木 的 小 曲
《奔跑吧！植物》
植物能奔跑的吗？？！！
爷青回
你也逆天
爷青回
生日快乐
浦江：不是哥们
你也逆天
逆天
花生生日快乐
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
爷青回
生日快乐花生
QAQ
你也逆天（尾巴
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
中要
我嘞个斯科特啊
爷青回
爷青回！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
lndiecorss植物大战僵尸版doge
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
斯科特？!
花生，生日快乐！
爷青回
