《E5-2690，14核心28线程》
8192核刷铁机
黑山大叔的熔炉组诶
有种左耳进右耳出的感觉
5W（指刷铁机功率）
刷铁机？AI服务器我都信
创哥理赔（
我相信不久以后，赤石科技就能做出负150万效率的刷怪塔(dge)
就看视频这一会1.4万变1.5万了
玻璃一定要染色吗，有没有大佬
双子塔（doge）
别划走！这不是搬运，这是自制！
《鸿石》
月月养活一堆生电玩家
1个也没有，最好的时候半路爆了6个（QAQ）
这种剪辑方式看起来真舒服。
为了造刷铁机而造刷铁机be like
基岩版雷姆
地狱吞噬者，简称地吞，对比世吞，地吞可以更贴近地面，减少容错率
我很少用左右横跳来形容一首音乐
老外同款剪辑
我有一计，建造2048核心刷铁机
翻译:96组村民
《顺手》
966人
第9211个入一股
5628！
你未来绝对是百大，只要你坚持下去不出一年左右
老迪快乐机
第6753，开始！
中国人自己的外国人
自制投自制
双声道(喜
我是来自2034的人，在2034他成为一个百大
9518！
自制投自制，父母健康在
不是这个视频，怎么那么像从外国搬的？虽然看着像是国内自己做的
铁（ti4）砧
我也见过这个（悲）
我嘞个去   三分钟涨5000粉
7266
前排提醒：这是自制！！！
入股
Nothing Is Impossible
啊？这剪辑，新人但不新手
生物科技
难道他还有多个眼的？！
没有不可能!
⎛⎝≥⏝⏝≤⎛⎝
√
同时实现了骨粉自由
入市
Just do it
铁中毒
7.2w
1211
一个视频长7.2万粉丝
7点2万了
7.2万了
一个视频7.2万粉丝
最不敢催更的
肉眼可见的开始卡起来
Just do it√
我会成为老粉丝
开创造拿都没这么快
是哪个大佬的小号
这是国人！不是搬运！
第7.1w粉丝
↑最后刀了（bushi）
先交易，再抓走（doge）
……
7.1万！
7.1万，开赌！
7.1万了！
7.1万合影
海洋那不得搞海带呀？
IMPOSSIBLE   IS   NOTHING”                没有不可能
感觉下辈子也不会缺了
7.1万
↑红字老参政党了
10个
7万
刷怪笼启动
生电玩家令人安心的PVE技术
A???
三连入股
7w！
7W
天才↑
居然还卡点
7w+
写满的都怎么想的，要么云，要么装，这种概率低到什么程度，你不知道吗?
没有眼睛
坏了，开始就变成老粉了
7w
生电新星
超级百大圣体
新人，但不新手
亿些
刷铁机100天
盾构机：我咋立正了
铁？你猜我为什么要刷铁机
来晚了，都七万了，哭哭
土方队：喵喵喵？ 商砼：喵喵喵？
0个“是我”
他甚至是从零开始
7万
nothing is impossible
7.0w
7万
勇敢去做
入股
7w.
第7万粉丝
基岩版需要20个村民效率为时产700铁锭
6.9w
搁这挖矿呢
249个人出来吧
just do it
666眼都不眼了（
无限堆叠模组：给我上场啦（doge）
[OHH]
双声道好评
6.9万粉丝入股
？
⎛⎝≥⏝⏝≤⎛⎝
6.9万，现在关注以后就是老粉。
一期视频6.9万粉丝，不够啊？
没有不可能
6.9w＋
钢铁雄心4
快快关注，以后就是老粉了
很好，你已经是一名成熟的UP主了
服务器撕裂者
基岩版当场爆炸
6.9万。
第6.9w个粉丝！！！
牛鼻啊哥们
6.8万
支持每一个有如此实力和野心的MC玩家！
有满的，确实只见过一次
也是黑山大叔的沼泽刷怪塔
入股
黑山大叔的单区块34熔炉
找末地门可能已经是最简单的一步了
just do it
啊啊啊才发现是第一个视频太厉害了
肝帝の披风
夺少？
6.8万
6.8万粉其中一个
？
先落地再放水，没毛病
落地成河
很好，我缺CPU
耳机党起飞
nothing is impossible
没见过带眼的
just do it！
6.7w
欺负我是非酋是吧？
牛壁牛壁牛壁牛壁了1
可恶！为啥没早看到这个视频
2025年前来考古，他破百万了
我是0
没有不可能 Nike
左耳墙健到右耳
火钳刘明
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]
川川的
布什¿夺少¿??︖?¿??
铁针
11.3万了
肝上长了个人
那么，开赌吧
一投稿6.7万粉丝？
曲对币有！！
6.6万开赌！
耳机党狂喜
三连了
6.6
臻至化境
同款木厂
6.6万
入股
地…地鸣？
我也见过没有门的要塞，我真的找了好久，开了tweakeroo的灵魂出窍也没找到
不是第1期6.6万粉
入股
6.6万
太厉害了
左右耳双声道好评
我嘞个豆啊
甘地老哥今天要搞一个2048刷铁机
入股！！！
哇，一天6.6W粉丝，太强了吧
前面的，你就知道人家看火弦月了？
我现在玩的就是一个都没有的
《金属风暴》
编号6.5万
好！你配得上！
一个视频，6.5万粉丝？
妈耶 肝上长了个人
10万粉点个赞
人家能出一季
不是哥们
⎛⎝≥⏝⏝≤⎛⎝
⎛⎝≥⏝⏝≤⎛⎝
铁（钅失）砧（石占）
一个视频6.5万粉！
我的世界工业化
如果我没看错的话，你炸了最少十个钻石
才发现这是第一个视频。
顺手牵骷髅头
这人我罩着了，谁赞同谁反对？
我从2027年穿越，他的粉丝数量是(
6.5万开赌！
关注了
啊？
入股！
没有，不可能
不过是双维堆叠刷怪塔，没有什么技术创新
一个视频，6.4万粉丝！
铁（man）砧
三联入骨
大叔同款刷怪塔
大叔的刷铁机
第96个，开赌！
黑色混凝土是干嘛用的，有没有人解释一下
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
入股
6.4万一千组粉开心入服
没有不可能
[ohh]
6.4w
止步于此
入股！
过程指导：小野鸽
老外剪辑方式
多少？
居然是第一个视频，那我也要当老粉
66.6万播放
666
6.23
一切皆有可能！
cpu：你不要过来啊
双扬声器表示很淦
不卡吗
6.3万
6、3万
《服务器》
[OHHH]
第一期视频就6.3万粉了！
细节我的世界新加载音乐
[ohh]
全面贯彻落实，推动经济基础发展
此时一个人打开了我的世界
6.3w
入股
不是？6.3万了？
现在关注我就是老粉
这必须三连加关注啊
村民：你不要过来啊
6.3万
6.3w
6.3万
[OHH]
904人
以后火了，我就是老粉丝
《铁头功》
那如果4096呢？
这下听懂了
6.4万
但可能缺钻呀！
真能生
勇敢去做
入股
JUST DO IT
6.3万
6.2万？
现火老
[ohh]
重点之一：Lv2
zhen
6.2万粉丝时期入股。
宝藏找到了我
just do it
6.5w
按照时间，现在是视频发出的，37个小时06分钟
剩下的1千人出来
OK
铁锻炉3
一个视频6.2w粉啊？
带英龙虾饼（幻视）
6.2万开赌！！！
6.2
我基本每次都是没眼
6.2万
赤石
一天涨粉6.2万
一个视频6.2万粉丝
[ohh]
见过10个的
6、2w了
入股
5.5W粉
我经常遇到一个眼都没有的啊
不像新人啊
（译：233吨）
第一期就这么肝
6.2万粉，63.9的播放，10.4万的点赞
《忘做处死了》
今天第一个三连！
他真的太喜欢黑山大叔了
啊？
《积攒了亿些铁锭》
第6.3w+粉
努力將會被看見
《积攒了亿些铁定》
第6.1万个
啊？
这首歌的声音从我左耳进到右耳，从右耳进到左耳。
刷花机
