设计创意秒杀解体匠系列
万代：我今天公布要拆卸才能收纳的HG，你来拆我台？
你也可以做到（Ray音）
这下真是徒手搓高达了（指魔蟹）
建议卖给万代，因为我想玩，那个京宝梵都能出，这个必须得出啊
鱼的水贴本
哇，他甚至想要可动
不吃肯德基吗？（
万代：我也敢
下期食材:eg完美强袭（不是）
万代：以前是给我压力，这次是直接给我往死路上壁
正义；我来组成骨架！
参加比赛估计又能拿个冠军了
万代：好办，把手和肩甲去掉
《拘束架》（幻）
ray：跟着我，你（指万代），也可以做到
万代：什么？我打RAY？
《论RAY为什么是神》
你也可以做到（doge）
万代：很简单，只塞个身体和头就行了
创制燃焰:我不到啊
创燃：在想我的事？
解体匠蟹doge
阿斯兰萨拉，正义，出击!
弹簧锁（威廉老登色）
也感谢RAY Studio团队替我们这些爱胶人士圆梦
如果万代机设什么的没有定稿的话，可能直接找ray，按这里的来了
解体匠qwq蟹
太阳炉没绷住
神中神啊，ray.我的超人！
吃剩下的蟹壳
RAY的魔蟹世界(幻听)
RAY老师考虑自己开一家模型厂吗？直接干翻万代
万代上午还发了个新品预告，就有这个，但只能把正义上半身塞进去，而且正义高达还要单独购买。太幽默了
万代:中国都是怪物吗
万代进来叫爸爸
真mg骨架不能少
牛逼！
这个比必须投
万代明年要出
牛
下次跪求创制塞大魔里
nb！！！
感觉三连还不够
牛逼！！！！！！！！！
妈问跪
伪装蟹
真的牛逼
完了，把万代秒了
全体起立！
你与我相似个蛋 这是尽管我们曾在一起
[ohh]
解体匠蟹
啊？
台钳组值一千哈哈哈
NB
这些废件寄给我吧
好了到我玩了
创制燃焰塞大魔里也有人这么说
nb
欢迎来到币比赞多系列！（膜拜大佬）
@万代，快看看
真的太厉害了
又一次看呆了
万代学一学别想着坑钱了，国模现在要不就是199，要不就是299，还有铁骨
握草！！！！
WocccccccccccccccccccccccccCao
[OHHHHHH]
[ohh]
[OHHHH]
[OHH]
量产
短短十分钟发生了什么？
[ohh]
这身盔甲就是你新的牢房（泰凯斯既视感）
钢普拉是自由的！
拉克丝从你这里进的货？
恐怖如斯！！！
万代：MB走起
装完蟹壳没法2887
跪着看完
跪着看的
快！！！说出一个价格让我死心！！！
艺术
太帅了，！！
酱蟹·正义
《公司里为一台PG在水里》
荧光漆？？？？
