"设定记得好像就是末法时代,凡间混乱不堪"
啊？卯日星官是晖月魔君？
这怎么牵扯到太上老君的
也符合生物学规律，蝎子胆子很小，容易被噪音吓到
28星宿和孙悟空的关系都不错吧
肯定会出dlc的而且不止一个
看看魂游 那才是谜语人
我也试过，变身就会被打回原形
西王母的金钗一划可以划出一条天河隔开牛郎织女
也不算是过度解读，黑本来就是要解读
不忘初心是吧
游戏科学要是不出个dlc 那就真的算是个烂尾游戏 第一章到最终章坑埋的太多了
道德天尊很道德
有没有可能那个鹤是太上老君的坐骑
不是实力不够，是时间不够
为什么？因为都跟猴哥关系比较好，以前跟八戒一起救过猴哥
王灵官相当于是天庭的纠察大队队长
都帮过猴哥
他可是长着玉帝右手的男人
这理解是黑神话的黑神话吗，脑洞大又有点合理
第一步还不是无敌，第二步必将是无敌
我不认同这个观点，牵扯到王母，又没牵扯到太上老君
我三面环山。。。不好意思串台了
卯日星君。
鹤仙人的影神图有面旗子写着太上
看她的影神图可以知道她喜欢卯日星君
炼丹
男婴被镇元大仙拿去培养人参果啦
保安？道教最高护法神！人家可是玉帝亲命管理整个天宫的秩序
这不是我以前随机收到一个小说一虫筑基丹吗？
重走西游路，再闹凌霄殿
这章最后的图，鹤仙人背后举了个旗子，上面写着太上
这还不够碎片吗，哥们游戏内书是显示方式而已，有多少字啊
黑神话不是魂！不是魂！就是动作游戏，强惩罚机制都没有。叙事也不是碎片，梳理那本书里的内容就能很清晰明了了，魂类游戏绝不会出一本故事集。
原著里金钗好像是毗蓝婆的法器
《房中术》
如果先打了毒敌大王，再去晦月魔君那里会把一部分血量扣除
黑神话不是魂类吧
人也，兽也；佛也，妖也。
可能是嘉靖道长
2年内不知道能不能玩上DLC，十年内故事不知道能不能完结
克系修仙
黑神话不是魂类啊
中国游戏无敌！
中国游戏无敌
前作他也是主角，斗战神说的就是王灵官
。。。玩过魂就知道完全不是一个味道
你别说，基础玩法和对战逻辑真的有魂味的
幽默热搜
这都大几万字了吧，还碎片啊？
讲英雄联盟还是王者荣耀？我没玩过这些游戏我听不懂这个形容方式怎么办
老神仙莫不是等于老天使哈哈哈，太上老君
幽默第一
B站特色一播放40赞
希望四妹炼成的丹能多加点属性
现实也差不多
西游记原著本来就是这样的设定，神仙吃人都是“依本份”
这不是魂！跟魂类差别很大的。
只狼个坤，这种是类战神
妙啊妙
8000人出来吧
这剧情有点不知道咋说
但黑神话肯定是类魂啊
捻兰花指的菩萨和佛多了去了
丹阳子
火焰山土地就是太上老君的弟子，也在火焰山搞人体实验
这个剧情好西方化
是检察官啊
克苏鲁
支持
中国游戏无敌
中国游戏无敌
你家电视剧，跟游戏一样一拍好几年，没人规定必须要讲完
翼火蛇？
中国游戏无敌
中国游戏无敌
百眼死的时候叫的是道祖救我
因为这些人都是和大圣关系好的啊
喜欢剧情的可以看看，两本书，悟空传，西游日记
这游戏没了法术就是类魂了，差别真的不大
中国游戏无敌
碎片化是没能力讲故事的遮羞布
中国游戏无敌
这些事就是大圣放弃编制回花果山的原因吗？
其实蛮明显 避免宗教上的. 改个名字合理的
你哥俩生异形么
中国游戏无敌
毗蓝婆菩萨难道不是那条蛇吗？一直说从小看晦月魔君长大所以下不去手的那位
中国游戏无敌
后续作品？四五年才憋出这一部不长的黑猴，这次即使赚大了，后续感觉还是遥遥无期
相当于首都警备司令
天庭唯一成天把炼丹挂嘴上的道人就是太上老君
鹤是新任的卯日星君，应该是老君的手下
有没有可能是老君信使？
中国游戏无敌
真正的天命人是过全部BOOS触发的剧情
恶堕
中国游戏无敌
不算魂 而且也不是碎片化叙事整个剧情线路很清晰其他的只补充能不能不要沾到点就是魂啊
没事，王灵官的手最后还是从脑子上扯下来了
中国游戏无敌
