由崎司同款长生
钢筋混凝土保质期多久来着？
我听到了「不灭」的回响
黑神话马楼启动
《西游记·人类史后转》
齐天大圣？
死侍：版权费交一下谢谢
正常的水泥能几十年不坏就很厉害了
飞段:这我熟啊
孙悟空？
《阿廖正传》
SCP基金会（雾）
省流:封你做天蓬元帅
额的任务完成啦
黑神话:阿廖沙
孙悟空doge
笑的给爷整笑了。
后来石头裂开别人都叫我孙悟空
齐夏：这我熟呀
孙悟空是吧
《这个男人来自地球》
记住这个夜宵后面要考。∴
我看到了「生生不息」的激荡
这波猝不及防
图穷匕见
海:6奥，啥都往我这扔，我是神威空间
这个【杀】的音效好像是无悔华夏的吧
省流：司辰  维尔汀
Cp173.
水熊虫
这混凝土质量好呀
图穷匕见
尸兄龙右
所以啥夜宵啊，这么贵
我看见了生生不息的激荡
悟空
水泥质量挺好
坚持蛊，在这一刻练成！
所以身份证和生物验证怎么过国家检测的
好像有部电影就是把人关在铁处女里沉入大海
切片研究
黑神话不是西游记，别黑神话了
不是李献计历险记，是导演的另一部作品坏未来
《坏未来》
高低把这顿夜宵还了
过了百亿年，地球都没了可以解封了
想到葬花的村长了
方源:我!我来!
丸蛋辣！
进SCP了（doge
金刚狼
石猴是吧
D  I   O
欧巴宾海蝎
这混凝土不会被侵蚀吗
几百万年，水泥也早就烂了
牧苏苏：诶？
猴哥收了神通吧
坏未来？
帝皇？
学到了
这个男人来自地球
会疼吗?
嗯，王莽篡汉的时候被压在五行山下。
可是好痛的
？
活了这么久的人不会这么积极乐观
海里面很快就腐蚀了吧？
上次
省流：天蓬元帅
矢志不移
庞加莱重现？
灌水泥，沉海
盲猜轮回
尸兄龙右！
怎么这么熟悉？
猴王出世！
四八六
丸辣又要来500年了
盘古
全军！自刎归天！
省流:成功蹭到一顿夜宵
《板块运动》
不是哥们，这钢筋混凝土强度可以啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
不死?（致不灭的你）
亚托克斯
《丰饶余孽》
几百万年可远远不够地球一个轮回
所以困住他目的是啥？一个永生的普通人而已？？？？又不能飞天遁地？
省流：请吃夜宵
迪奥
永恒鸟 当钻石山被全部磨完的一刻，永恒的1秒才刚刚过去
石猴出世
石猴出世
你是否听说过骨魔
某个人还欠你一顿夜宵呢
DIO：吼吼！
穷鬼的上下2000年
神灯？
卡兹？
成神！
玩大钢炮玩的
dio爷是吧？
安杰洛是吧？
停止思考
一顿夜宵至于吗
很久以后，一艘潜艇在海底打捞到了坚硬的混泥土石块，并认为这里有宝藏，遂打开（）
省流:你请吃饭
秽土转生
尼采：6
你居然还会说话？逆天
你成孙悟空？
《黑神话：阿廖沙》
水泥甚至不如一个固定在海底的不锈钢棺材
别为宏大叙事送命！
dio
再次冲锋
dio：这我熟
水淹和土埋可以封印
金刚狼
卡兹放弃了思考
孙悟空？从石头里蹦出来？
声带还能用？
风化了是吧，石卵见风化作一石猴
沙哥改叫齐天大圣如何？
卡兹
不会变成孙悟空了吧？
无悔华夏音效
熏悟空是吧
迪奥：这我熟啊
？
致不灭的你？
这个衣服质量真好
韦世豪？
）钢铁是怎样炼成的）
这又不是一般的水泥
炎拳
燕国地图介么长？
生生不息！！！！
理论上来说 这种情况是百分百的，宇宙在膨胀到一定程度后收缩，收缩成奇点，继续膨胀，轮回了一遍又一遍
水泥扔海里？这不没几年水泥就自己溶解了？
1000－7=？
天才！
又没干坏事，凭什么？
不是？你反抗啊？？？
准备赴死的也是神人了
这个石头落水居然真有后续
不死？
佐藤是吧
《穷鬼的上下两千年》
无悔华夏音效！
成分复杂
永生博士逃离?
所以说，你是柱之男？
哈哈哈哈哈哈哈哈哈
绷不住了
二周目
天堂之门！
你哪来的手机？
坏未来
石猴出世是吧？
医生：唠够了没，赶紧回病房，那个谁给他加大药量
大梦千年
回答之前的问题 他在出来以后很可能是被海底的一些泥土和沙子给覆盖住了 所以说他后面撑开的不是混凝土 而是一些石头之类的杂物
这不是悟空出世
稳了
伊邪纳岐
上百万年还能保留语言系统啊
活了2000年思想还和普通人一样?
下一集：猴王出世
木大哒，只要永生不死，依旧有重返地表的希望
无悔华夏的音效
终焉之地
庞加莱回归
水泥早烂了
孙悟空？
孙悟空求道就是为了长生，如果他本来就长生又怎么会去见菩提
那个男人来自地球
坏未来？
那水泥早就风化了
阿伟：不是哥们
布什戈门
劳模，快快交出春秋蝉（doge）
精神病院的結局？
迪亚波罗，关迪奥什么事
小心一个叫断浪的
注意进度条，还有后续
迪奥、刀哥、马杰特：6
迪亚波罗：你不想
飞出个未来?
我脑子里只有一句话，欠我一顿夜宵
什么JOJO历险记
天命人
没错呀，这就是无悔华夏的呀。
《紫罗兰林恩》：轮回十亿次宇宙大破灭重启，磨灭了神性人性的神王，轮回
《紫罗兰林恩》：轮回十亿次宇宙大破灭重启，磨灭了神性人性的神王，轮回
《紫罗兰林恩》：轮回十亿次宇宙大破灭重启，磨灭了神性人性的神王，轮回
《紫罗兰林恩》：轮回十亿次宇宙大破灭重启，磨灭了神性人性的神王，轮回
贪生pass
剑魔本人
石头里蹦出来了？
会腐蚀开
要不了多少年就能出来了
猴子出来
啊??
深海少女
猿神启动
牧苏苏被沉海半个小时，疯了，一疯就是几百年
为了吃一顿夜宵，也是拼了
仙舟魔阴身
卡兹
好耳熟，有电影也是这个设定
理论上轮回不是要几百亿年吗
坚持蛊已成
菩提祖师
石纪元
一顿宵夜换来一个故事不亏
什么《致不灭的你》
亚人是吧
他就是想吃夜宵了
刃：丸辣
致不灭的你
冲~锋~陷~阵~
硬质化
打真·生桩
阿格尼:好的
几百万年除非被新的覆盖了 不然早就风吹日晒没了
该让阿伟请夜宵了
6
狱门疆
牛逼
我的眼前，只有黑暗
486：你很勇诶
跟外国一部女巫电影一样
省流：骗吃骗喝
卡兹停止了思考
炎拳是吧？
《十日终焉》:你很勇咯？
不对呀他在石头里面怎么知道人类已经星际旅行了的
[Dio Brandon]
dio
Dio
省流：宵夜
？啊
scp啊
人家活着碍你了
师傅，我想吃豆饭了（超大声）
BYD给我看笑了
说的我都信了
省流:欠一顿夜宵
啊，就这吗
我听见了“生生不息”的激荡
笑死我了
阿格尼啊
活下去
悟空！！！
大圣的金光
钢筋混凝土是会被海水腐蚀的
省流：下一次封你做天蓬元帅
ko no dio da
2分钟到了~
卧槽，鸿钧老祖！
等钢筋混凝土被腐蚀了 就有机会了
永生之酒
还有这种好事
西游记
哈哈哈
马杰特马杰特。
顾楠…
致不灭的你
超越天堂，时间开始加速
懂了
经典操作
几百万年水泥早就坏了吧？
稳啦！
我回来了，我就没走
哪来的BGM？
致不灭的你
省流：嘿一
生生不息的激荡
？石猴
你以为你能杀死我
我清楚的知道，人与人的道路都是不可复制，我走在我自己的人生路上，哪怕路途的风雨再大，大到我步履维艰，哪怕荆棘丛生，刺得我伤痕遍布，我也仍旧痴痴笑笑，体会此中滋味
？
失去了思考
这不是 坏未来 的剧本么？
阿格尼
《总之就是非常可爱》
666烟斗不带烟
卧槽，这样消磨的是意识，比死亡痛苦万倍
俺老孙出来了!!!
啊廖沙停止了思考
如果立了咋办（
苇名一心：稳啦
阿格尼
永生之酒
