我去，还有卫生巾，好细心啊
有卫生巾！真的考虑的很周到！
先生大义！
葫芦岛之前好像还有很多矿工有尘肺病 也没解决
葫芦岛吴奇隆呢？
李哥大义
甚至李哥他们自己还没来得及买外套
已三连，加油
投币回血
不要捐，我只能说三个字
热度都给黑猴了 呵呵
支持
投币了
央视播了新闻的
可惜我没办法捐赠，给你投币
别捐，越捐受害人越多
中年失业，找不到工作，只能投2和币支持一下了，哎，今年太难了
何其相似的一幕
投币支持！！
加油
2币之力！
我家也岛市的啊
感谢山东和河北支援队
第一个支援葫芦岛上热搜的视频，令人感叹
先生大义！
加油
还得是咱李哥
葫芦岛加油！！！
加油！
加油！！
加油！！
先生大义
葫芦岛吴奇隆赶紧上啊
卫生巾！天啊！太体贴了
热搜上了不少
我去，up不说我都不知道这事
开始干活了，兄弟们
太好了上热搜了
捐物，不要捐钱！
加油
但行好事，莫问前程
支持
为卫生巾投币了
黑悟空
我靠，新闻是一个没说啊。
对呀，好事就应该被更多人看见。
李哥大义
央视新闻都有播的，连播两天
葫芦岛吴奇隆呢
加油
暖心
看好了小子硬币之力是这么用的。
加油
加油
nb！！！！！！
关键捐款能把账单透明化吗
谢谢哥
加油！支持！
加油
加油
是缺棉被，水灾肯定是大风大雨，温度很低的，而且当地棉被肯定大部分都不能用了
加油
盛世一片祥和
我的家乡葫芦岛
做好事就该被夸
加油！！！
BV1fj41147Pg
加油
东北现在已经很冷了，有点常识好吗前面
做好事就应该被看见，藏着掖着干嘛
加油
加油
没事不是有葫芦岛吴奇隆
加油
加油
投币了
加油
葫芦岛杨丰智。
支持
加油！！！
有卫生巾，感谢！！
加油
你捐款他开跑车
如果走形式每家能分三瓶水三包泡面
加油
加油！
致敬！
加油！
慈善总会就算了……
这种事情总是指望民间力量？
投币回血
加油
这期必须三连了
加油!
已投币，加油
帅
葫芦岛人民加油！
大夏天缺棉被？
投币投币
会喊的孩子有奶吃啊，那些偏远受灾地区是不是更需要关注呢
义士！
支持
对拼，默默无闻的做只会让某些人更得瑟
先生大义！！
支持
小智怎么不出来帮忙了
加油
好事就该宣传
支持
牛逼
真爷们
你想要多大的传播度？
好好好好好好好
为啥啊，宣传一下啊
丹东艾纯杰实名支持
葫芦娃
所以高跟鞋真的不要出现了！他们是紧急受灾，不是买不起高跟鞋
加油
好事儿就该被大家看见的！给哥投币回血
加油
看好了，硬币之力是这么用的！
《不知道什么原因》
加油
遭灾了还有给不友好的评论的人什么想法
冲这卫生巾，不能不投币了哥
三连支持！！
噢。。。
加油
扇贝跑没跑
支持
李哥值得表扬！
强大的国家！加油
流浪狗有人重要？
好样的！！！
没说的，点个币吧
加油!!!!!!!!
吗的看到卫生巾眼泪都要出来了不知道为什么
卫生巾好好好！！
平安
君子论迹不论心
加油
杨丰智还活着没？谁知道
加油
支持，给葫芦岛该有的热度
已投币回血
我去这个真的很厉害
