黑熊精打白衣秀士险胜，反而黑风大王打他没那么吃力
毕竟幽魂只是金池的残魂
灵虚子：我打黑熊？
希望有二郎神打大圣残躯
因为幽魂是黑风想复活金池但失败的产物肯定比不上本身
看得出来主播是带着个人情绪的（笑）
幽魂:还是原来不缺魂少魄的我厉害啊
卢 恩 熊
刘邦：你也斩白蛇？
凌虚子舔爪子是大后摇，后面BOSS都没有
黑熊精：我就是山里灵活的熊
感觉这个没什么悬念呀。灵虚子弱火呀！黑熊精第二阶段遍地是火。
白衣秀士本来血条就短，你觉得长是因为磨叽二阶段＋让他在水里回血了
白衣修士的兄长应该是杨戬吧
可爱捏
金池，幽魂，三花猫.jpg
确实，亮的地方容易过曝暗的地方又经常太黑（）
幽魂的韧性太低了
灵虚子：是我没见过的机制呢（
白色宇宙黑暗穹苍
《真假金池》
幽魂是头目，金池长老是妖王，这真的公平吗？
自己打的时候光挨打了，现在才发现这些boss的动作设计的真好
熊大圣！
《鲁智深VS浪里白条》
没有水白衣不会回血
林冲大战鲁智深（doge
这观赏性一下就上来了
嗯，打幽魂打的
如此苦苦相逼，便怪不得小生现出本相！
金池比幽魂简单，场地小怪无限给玩家回血
灵虚了：我打大王？
《旗鼓相当》
化劲！
鲁迅大战周树人
byd公式化解说
6666倒地无敌帧玩火影玩的
《元素化》
都不谈画质，这动作可比法环帅多了
来个龙混战
地动！
这下看懂了
白衣目前好像打谁都打不过
白衣没主场优势啊
金池长老!
没在水里白衣的回血没起来，不然有机会
给黑风大王打升级了
白衣吃了不是主场作战的亏，放主场感觉能打黑风
赛博斗蛐蛐！！！
白衣得在水里打
我打我自己，哈哈哈哈
白衣0.1次，黑风0次，简简单单
输在数值
斗电子蛐蛐，当赛博王爷
灵虚子跟凌虚子都分不清啊老弟
福瑞控最爱的一集
福瑞控狂喜
数值的魅力
金池明显韧性更高，幽魂轻棍都能打出硬直，金池轻棍只有小硬直
爷我靠猛
黑神话:悟魂
何广智:勿cue
金池长老，不可战胜的
说场地没水的，谁主场谁客场
这杨戬是韩立大号吗
嘉然斗法马文杰
精彩！
讲究
我就知道有这么一天
真假金池长老
y
dxfcgyyyc
我打我自己
小西天土地，恭候天命人
可爱捏
从这个游戏只有cg的时候就知道总会这么一天的
你猜为什么这座山叫黑风山而不是白衣山
好长
福瑞控狂喜
灵虚子弱火
啊？我打黑熊
啊？黑风和我打的时候没这么灵活啊
敏捷型来了
精彩
黑熊精二阶段猛的一批，伤害高，附魔，攻击欲望强
幽魂硬值太低了
白衣是杨戬手下，奉命考验天命人
黑熊精打虎先锋毕竟有看头吧
互相磕头
寅虎vs虎先锋 虎先锋vs虎先锋 虎先锋vs疯虎
水蛇乱舞！
白衣秀士名叫常昊
连二阶段都打不到吧
我打我自己
大道级别地砖
低情商：透明塑料外壳
高情商：海景房
第一关的boss，和官底肯定打不过的呀
黄峰岭争霸赛
灵虚子怎么打，黑熊精会玩火（doge）
拒保微和你闹呢
比法环观赏性强多了
黑风应该跟黄风打
黑风也有二段
仙女星
、】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】】
灵虚子纯沙包
佛衣会现场实况
鲁提辖好手段！
23333
毛茸茸的都好可耐
终于还是来了吗
金池长老：看贫僧给各位吗喽报仇！
最没有悬念的一集
确定不是斯拉达
普陀山守山大神！！！！
鲁智深大战林冲
寒冰掌！
什么名字
板边！
金池长老，幽魂，三花猫.jpg
这个好看
福瑞是吧
那么在哪可以买到呢
让毒敌大王和小黄龙打
主场作战
灵虚子:我的银行卡密码是
白衣两阶段啊，感觉白衣赢
黑神话的ai真的不知道比老头环高级多少
顶一个！寅虎打小黄龙！
二郎神打大圣残躯
寅虎打毒敌大王
原著的其实是凌虚子，后来来的这只叫灵虚子
这白毛半天不打一下
老灵虚子被复活后不忍心喝同族的血上吊了，这只是狮驼岭来的狼，被黑熊精选中做灵虚子的
furry整俄心
龟星
147你敢用？
动物园争霸
无限量级对决
白衣秀士就是梅山兄弟，二郎神给天命人铺路安插的卧底，每个关卡都有
感觉像在看少林打华山
虚化狗啊
幽魂：我打金池长老
啊？
神威！完美虚化
宋老虎打刀哥
黑风大王教训自家狗狗的珍贵影像
