《先苟着》
磊哥：牢玩家，不可战胜的。
《连胜》
祖师爷の怜悯
潮水啊，我已归来
《我的坤坤》
磊研社最新力作
谈笑间入机鲁班满血吃药
第一个吃螃蟹的人
初音未来
原来师祖藏东西了
个人感觉牢布前期苍穹后边做个鸡爪都比影刃强点（个人感觉）
为什么不开大
《byd》局
皮肤碎片大战牢布
阿轲牢玩家发言
左下角妲己龙场悟道辣！
《版本畅销装备》
元始天尊新讲混元道果
祖师爷の经验
磊的善良
很蓝的啦
buff叠满
祖师爷的指导
《入机》
潮水啊，我已归来！
安琪拉技能全交妲己跑了，他不连跪谁连跪
会莹的！
好逆天的安琪拉
很想赢(指拿个妲己)
电刀鲁班甚至比血刀还逆天
《那维莱特》
逆天鲁班出电刀
电刀宗师不一定是人机，可能是低分段意识太差了
包赢的
还有一种情况是被偷家
为什么不开大？！答：因为他善！
蹲坑王
未来听说李信偷塔也会加评分所以啊，未来我们暗信偷塔偷的越多我们评分就越高
我有一次就是，只不过蹲了两次
《典韦》
蒙恬史诗级加强
懂了，马上换称号荣耀领袖(手动狗头)
啥时代了，鲁班还出电刀
刺客鲁班
被害妄想症
《有你在，这把稳了》
改成败方MVP不掉星就行了
确实是
为什么不开大
我玩蒙恬，对面典韦一级在草里蹲我
能者多牢
海诺狂喜
难绷
鲁班出装看网络上的，几世纪前，电刀还加暴击。
被偷家（）
系统还判定我满血回城，这说明王者荣耀的判定有问题，满血只要很快的回水晶就算是满血回城不管是死回去的还是传回去的。
出门十几秒就死了。
我遇到过老烦了。
我靠，真的。
证明牢者多牢
、74
送也得看给谁送啊，如果给防御塔送野怪送肯定会被举报的
宗师是三圣之力替换成的，2017年之前的出装
孙膑
《怎么跟人机好像》
这波张飞开大全杀了
至少十个版本之前确实是要出电刀宗师的
三人一起打我怎么玩？直接尽力
。。。。
，，
打过，5个顶天阵容，全觉悟
而且是全图四五个人追踪你，特别是对线期
我说呢，我都快被气死了，原来是人机搞针对
妈呀，怪不得
这个闪现非常强，我说真的
有天登上游戏，我发现我居然不能发信息和语音！只能发撤退
16.0的东皇。和4个平分不到9的。飞舞
这鲁班甚至是一下水晶都不打
会赢的
阿珂一级学二技能？？？
策划出来澄清啦，大家都快去信策划！
我
左无尽，右红叉，大招一吼，张飞乱杀
天才的吕布
今天上午打了一把就是这样的还输了
遇到过
真的，我也是
哈哈哈
标重点，打游戏要考的
梅衣阁诗人
kpl打法
《祖国人》
嘶，1楼是我朋友……
红方一楼包的
昨天才拿了个
入机吕布
经经历了所以就经历了
坤坤是哪个
以后只会多更多只敢猥琐k头不打的人刷评分保星
这波张飞开大全杀了啊
随便拿呀
入机
一楼名字
2-5，二百五，我哥（无端联想）[doge]
塞剑（）
安抚牢玩家
力了力了
磊哥细节抗塔
懂了，妲己也是人机，此乃软硬兼施之策啊
现在基本都买影刃
或者猝死翻盘局
細節送一血
178.1的粉丝178.1的播放
我都忘了，你是个打王者的了
哈哈哈哈哈哈哈哈哈哈
张飞没升三怎么开大啊doge
玩吕布四级反手双杀，然后对面投了
呃，是遇到过，但是四级之后他就打不过我了
30分钟前
龙：这名字，嘶~~丸辣，我成牢玩家了
尽力了尽力了
哈哈哈哈哈哈
卤鸡
更新了
当年上路被三个五个来回包抄的时候，我就知道这事不简单了，因为我根本没惹任何人。
一坤分
我一个元歌，还是负战绩，结果对面5个人对在上路
以前玩小号芈月就是，三分钟开始三个人住我那里爪我
逆大天《反手送了十几个》
至此心满意足地离开
《坭玛勒各粑仔》
磊哥：我们的悲喜并不相通
不包
极品ID
卧槽，原来如此
诗入握持
入机三分
坤坤不是在你下面吗
太对了，我那天被四个人压塔，队友还说我一直送
《个人胜利》
最多银牌
尽力了
锤子，上回一个鲁班开局不详
不务正业
我也是影刃
遇到过
我还真的经常会有败方金牌。。。。
我九连胜被卡退，可恶的小王
一汽大运
被翻盘
海诺稳了
错误的，这种只会给银牌
五月渡泸深入不毛
会赢的
原始人
diedie你
祖国人，起飞了
四个人机队友
完了，我第一件真出吸血刀
翻译：牢玩家才看磊哥视频
一肚子火
版本畅销正常
被挠蚕队友极限翻盘
还好我技高一筹。
我就爱出电刀
版本畅销装备
你猜她为什么全丢炮车？
吕布河南人，铠湖南人
我有一次败方金牌MVP
会赢的
我见到过，好吧，结果呢还不是被我偷塔。
三级就能开大
吕布出影刃，很正常啊，你们该不会不知道吕布平a能暴击哦？
不是边开吗？
会赢的（）
不是，对面对抗路吕布你选一个张飞...
这鲁班在站着不动a兵
德华败方MVP16.0都没拿金牌。
沾因果了
尽力了尽力了
鲁班是爆笑流
撞大运咯!
“你才是挑战者”
我那天碰见一个叫磊哥游戏解说的。
卧槽我也遇到过打野和辅助哪都不去就蹲我对抗路。。。。
这哪里是改匹配机制啊，这明明是把升星搞成了积分制
用嘴说的有。
哈哈哈，笑死
6
一看就是号主退游前的推荐装备 人机直接用了
都是原来玩家退游之后的默认出装
攻速鞋电刀，饮血刀 恶心人
我也碰到过，怎么喷都没用，原来是人机
吕德华16.0满评分输掉，华c必输
已经不是撞大运了，已经习以为常了
我除非是打肉才会前期出点攻速。不过顶天出个鸡爪。
怎么不是版本畅销吸血刀
入机
哈哈入机
人鱼小妹立正了！
坐大牢
元歌准备做圣杯吗
到时候各种卖队友
buff叠满了
哈哈哈
会赢的
刚遇到一个原皮宫本
《赵高赐死蒙恬》
