"设定记得好像就是末法时代,凡间混乱不堪"
啊？卯日星官是晖月魔君？
也符合生物学规律，蝎子胆子很小，容易被噪音吓到
28星宿和孙悟空的关系都不错吧
这怎么牵扯到太上老君的
肯定会出dlc的而且不止一个
看看魂游 那才是谜语人
我也试过，变身就会被打回原形
西王母的金钗一划可以划出一条天河隔开牛郎织女
也不算是过度解读，黑本来就是要解读
不忘初心是吧
游戏科学要是不出个dlc 那就真的算是个烂尾游戏 第一章到最终章坑埋的太多了
道德天尊很道德
有没有可能那个鹤是太上老君的坐骑
不是实力不够，是时间不够
为什么？因为都跟猴哥关系比较好，以前跟八戒一起救过猴哥
王灵官相当于是天庭的纠察大队队长
都帮过猴哥
他可是长着玉帝右手的男人
这理解是黑神话的黑神话吗，脑洞大又有点合理
第一步还不是无敌，第二步必将是无敌
我不认同这个观点，牵扯到王母，又没牵扯到太上老君
我三面环山。。。不好意思串台了
卯日星君。
鹤仙人的影神图有面旗子写着太上
看她的影神图可以知道她喜欢卯日星君
炼丹
男婴被镇元大仙拿去培养人参果啦
保安？道教最高护法神！人家可是玉帝亲命管理整个天宫的秩序
这不是我以前随机收到一个小说一虫筑基丹吗？
重走西游路，再闹凌霄殿
这章最后的图，鹤仙人背后举了个旗子，上面写着太上
这还不够碎片吗，哥们游戏内书是显示方式而已，有多少字啊
黑神话不是魂！不是魂！就是动作游戏，强惩罚机制都没有。叙事也不是碎片，梳理那本书里的内容就能很清晰明了了，魂类游戏绝不会出一本故事集。
原著里金钗好像是毗蓝婆的法器
《房中术》
如果先打了毒敌大王，再去晦月魔君那里会把一部分血量扣除
黑神话不是魂类吧
人也，兽也；佛也，妖也。
可能是嘉靖道长
2年内不知道能不能玩上DLC，十年内故事不知道能不能完结
克系修仙
黑神话不是魂类啊
前作他也是主角，斗战神说的就是王灵官
。。。玩过魂就知道完全不是一个味道
你别说，基础玩法和对战逻辑真的有魂味的
这都大几万字了吧，还碎片啊？
讲英雄联盟还是王者荣耀？我没玩过这些游戏我听不懂这个形容方式怎么办
老神仙莫不是等于老天使哈哈哈，太上老君
幽默第一
B站特色一播放40赞
希望四妹炼成的丹能多加点属性
现实也差不多
西游记原著本来就是这样的设定，神仙吃人都是“依本份”
这不是魂！跟魂类差别很大的。
幽默热搜
只狼个坤，这种是类战神
妙啊妙
8000人出来吧
这剧情有点不知道咋说
但黑神话肯定是类魂啊
这个游戏无敌
游戏剧情不要代入到现实的佛祖菩萨里面去
太长老君 = 大卫
都该图图了
内炼成丹  外炼成法（四妹能不能活就看这句话了）
佛道天庭三方势力
从来没有这么讨厌过太上老君
孙渣脑洞的含金量还在上升！
北约
[]
真人体蜈蚣
小黑子！！！！！！
怪物细胞，一拳超人一样的设定
人家都说来自黎山来你看不出她是大人物？
像之狼仙峰寺的剧情
太白金星：啊？
黑系游戏
DCL肯定会更快的 不用3年
西王母就是元始天尊的女儿，而仙桃是嫁妆！
冬虫夏草是吧
啊？
可怜呀
《致敬原著》
啊？
中国游戏无敌
阿美丽卡
直接黑到底 解析是吧
游科还我四妹
毗蓝婆法器是绣花鞋，不是簪子！
诶这里就不得不说关于西王母的阴谋论
md星不对应魔啊
这段不错
中国游戏无敌
说的也没错，地方与中央
无敌
太白金星：我成太上老君了？
唉，就是一伙的，是王母还是太上，都一样
中国文化无敌
注：黑熊精是正常的
这说的不是不愿意吃的那几个人么，变成虫子才是他的目的
这是对的
DLC，大圣归来，端了他天庭，还有各路佛陀！
不是太上老君，也起码是他亲近之人
握草，细啊
主体还是一只鸡
这是重女轻男，因为没女的才不高兴
中国游戏无敌
中国游戏无敌
观音也帮过，有本事搞观音去啊
游戏里出现的几个星官...结局都不咋好...
在盘丝洞会遇见好几个毒太子....
......
..........道侣=炮友
癌
二郎神表示  太下作了
太真
什么生化危机...
夜叉族...灵山的黑手套....
中国游戏无敌
毗蓝婆菩萨好像跟天庭就是不对付?看不惯天庭?
本相卯日星君打鸣是预示朝阳升起，这个鸣叫就是血月
蜣螂登阶！
蜣螂登阶
说西游记本来就这样的是从营销号那看的西游记吗
这是太白金星。。。哎
斗战神就有一个天庭副本叫炼妖工坊
原著可没有这么黑
西游记原著就是这样的
因为西游记里大圣变身术就不如杨戬，所以杨戬的攻击只要打中变身，变身都会消失，
很快：指能帮你打完一阶段
哥哥
中国游戏无敌！
子母河怎么生出男孩的，有这个能力请教教女儿国
这应该是魔将的手吧，就是那个倒在雪地的巨大尸身
？
或者一切都没变，不过是被那金玉其外的外表给骗了
异性？
推出。。
我全程打下来就毒敌大王卡了我一个多小时死了二十多次
什么时候战神成魂游了那黑神话确实就是魂了
美利坚德特里克堡
仙鹤道人是太白金星，太上老君不驾鹤
魂别沾边，众所周知魂是回合制游戏
佛道就没有大战，如果这样解释最后故事逻辑就不能自洽
又是某粥的经典语录，什么对抗？别胡咧咧，儒释道是一起的
四木禽星。。。
抱歉我没看攻略，全流程走完也就50小时
合格“天命”人，就是天庭的打工仔
真住手
如果没记错的话，刚才那张图是太白金星吧
什么背景图
怕是出道既巅峰 后续再无了
度化的这个有罪者好像是卯日星君
维兰德汤古老君
你知道污蔑太上道祖的下场吗？
不是，真有鸡哥参与呀
还在魂魂魂没玩过战神？
原著是悟空传 不是西游记
鹤仙人不是太上老君，看隼居士的故事
