剩下的可以包起来寄给我
为了防止所有巧克力都丑没法做封面甚至还搞了一个纯色的。
可以用青红丝代替，还有颜色（）
泥土裹假草坪
这不就是巧克力脆皮龙须糖
迪拜脆香米！
那我也妹吃着啊
我知道，龙须糖（bushi
在超市把手插进米里的你
把买来的巧克力融化，然后再凝固就变成自己的巧克力啦
薄荷牙膏大理石。
丝多了加油，油多了加丝
不知道有没有绍兴人，挺像榨面的
TreeTree的捏
龙须糖
你刚才不是已经试了一下了吗（手动狗头）
学校操场草皮绝赞制作中（bushi）
不好意思我没有头发
好像MC吃东西的音效
一份操场草皮就做好啦
学校操场草皮（
好看呀！
美食博主家里真是什么都有呢（dog
好像喜羊羊他们会吃的那种巧克力 类似于青草蛋糕
三崩子同款巧克力
所以为什么不带手套？
含草史块
迪克巧克力（）
你快速切三次，再慢接一次，就能模仿出mc吃东西的声音
5乘7=35
嗯，你这声音太假了……哈哈
烤冷面（幻视）
请你别太得意
这就去小区绿化带里吃
《草克力》
外觀看起來很軍用XD
一開始看還真以為是海草！
这个做的有点像某电影里的能量棒
我觉得好漂亮
起猛了，看見香菜巧克力了
这个就是米粉干！
哈哈哈哈哈哈哈
111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
原来迪拜巧克力长这样 刚从搞事那边过来
我就看看 我不吃
它其实就是米粉干
救敏你还用手拌
鲤鱼焙面
没有开心果酱可以去楼下薅一把绿化带代替
如果你吃不完可以寄给我
加点金箔配色超好看
[ohhhh]
已经闻到浓郁的开心果巧克力味了
加些地瓜叶翻炒，绝
可是我吃不到嘴啊（
开心果的味道放再多也无法比过巧克力啊
我头发没这么多
+*
好看的
《制作操场》
treetree的
但是我吃不到啊
谁香草巧克力？
他是懂BGM的
好了，可以吃了
哇，好好看
赛博朋克风
咖啡因加倍是吧
巧克力里面种草？
拿出脆香米模仿
好像水晶，挺美的啊！
可是吃不到哈哈哈
好奇开心果酱啥味道
龙须酥
以假乱真
感觉像贵妃酥的松散版
很棒！
寄给我啊！！！！！！！！！！
龙须酥？？
好看！
买了！！
这不龙须糖嘛
跟广东有种银丝饼很像
可以抹茶吗
好喜欢八眉的家呀
要想生活过的去头上必须带点弹幕的颜色!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
99999999999999999999999999999999999999999999999999999
00000000000000000000000000000000000000000000000000000000000000000000
这是???
1111111111111111111111111111111111111111111111111111111111
66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
为什么第一眼我感觉好像买得
正好找到了酥皮丝（doge
想和八妹做朋友
可以试试郫县豆瓣酱
牛逼
要不塞辣条？
脆香米秒了
我们踢球的草皮要这个成色我也满意了
哇
喔喔喔喔喔！！！这个声音好好听！！
好看！
鲤鱼焙面，延津做法~
意满离
可以吃了
像海浪的颜色！
长得太囧了吧
鲤鱼焙面
这是可可脂吗，看着不是很像的样子
这是面吧？和粉口感应该完全不一样
香
长这样原来
meihao
猫咪
请你吃硬币巧克力
可我也没吃到啊
热量炸弹～
菲克力
没带手套（bushi
没有抹茶的可以用芥末代替Doge
寻思我也妹吃着啊(思索)
珊迪巧克力
Mc草方块
直接吃
一切都是正好
松树的针状叶和松树皮的颜色搭配，天然搭配色，一定好看
涂多了
巧克力配草？我还以为我在看AI视屏
好好吃啊
青草巧克力
并没有
好了，该我吃了
像操场大草皮
一模一样哈哈哈哈哈
美食up主家里真是什么都有呢
这得空调开除湿做
可我吃不到啊
发什么神经 有理说不清
我从未爱过你 怎么会想念你～
我刷到的是迪拜巧克力自制版，我以为里面是枯草
博主咋这么像小兔子呢
猫砂
好舒服
我认为是32.19度
饥荒叶肉
好好看！
发霉的橘子上面的霉菌一个颜色hhh
我，草？
苔藓
先尝一口看看
这里巧克力颜色变成这样是因为加了水溶性色素 而可可脂是油 所以换成油溶性色素就可以了
香菜夹心（确信）
想吃
挺好看的
我去，把我球场草坪挖来了？
太耗功夫了
这个绿色应该是成型之后再涂上去再冷冻
吃过绿箭味的巧克力吗。头一次吃 感觉跟吃口香糖差不了多少
让我尝！！！！！！！
青草巧克力，懒羊羊最爱
人家让你模仿，没让你超越啊
这时泼上一碗水
哇塞哇塞哇塞
哇塞哇塞哇塞哇塞
干脆面
温州粉干？
好像脆香米，这个口感
人做了自己吃讲究啥带不带手套，不想看可以出去
好想把八眉娶回家
还蛮好看的！！
巧克力夹绿色的蛆
肉松
这不操场地面吗？
反正也不是你吃，管人家带不带手套
好像塑料
饱和度战神
夺少？
敦煌老马(幻视)
炸粉丝
干脆面！l
哇
啊—不敢想象会有多好吃
跟着感觉走～
稻田
萝马酥皮丝（指正）
投币了 包邮给我
我没吃，我凭什么给钱
猫罐头！！！！
你做的这也太诱人了
啊————
种草
我还以为是大码
完美！！
本来就不丑啊 像这种不会更好看吗？
不要青红丝不要青红丝
看着就很幸福啊！
渗流：巧克力+开心果酥，颜值优秀，口感独特。
龙须糖
我出3个让我先尝尝
草方块
建议做两个版本另一个米粉干试试
这个声音，！
人工草皮
为什么这么脆
这就是作坊吧，工厂还用手工就泰拉了
你寄过来啊
哇塞，这个声音好解压
这不就是粉丝巧克力吗
下次试试欧尼酱
你做的好干净啊。
草方块（确信）
萨尔达梦见岛bgm！
正好
这也太像草皮了
这不福建干线面吗
正好有
一次成功了吗？好强啊
蓝纹巧克力
青草
龙须酥啊
干脆面！
那也吃不到呀，忽悠我们
快炫我嘴里
看到这操场草皮一样的颜色我眼睛刷一下亮了，感觉我会想吃
菲克力
致死量
《正好》
不如麦丽素
我三连哈哈哈哈哈哈哈
是大自然的颜色
干脆面
鲤鱼焙面
tree tree的
可是我想吃
我没有头发
请你们尊重一点美食
《正好》
馅料如果换成贡菜，会不会嚼的脑子里更得嗡嗡的哈哈哈哈哈
好适合搞微景观的亚子
茴香
人家都是自己吃还用那么讲究吗 真是
我甚至刚开的时候以为这是青草县的
像翡翠，很美很美
黄油少了
666
好好看好好看好帅
龙须糖
像小时候吃的石头巧克力放大版
《不难》
手不油嘛
不过分，投币点赞了
烤出焦化层，不要洗锅（串台
别人要的是造型和口感，不是所有人都喜欢抹茶
啊啊啊好像琥珀！！！！
啊啊我还以为可以吃这个
迪克巧克力
年纪轻轻 嘴巴却已经歪喽......
砖块夹绿草，像在吃自家的草地
厨子不偷，五谷不收
怎么看怎么像草皮
迷彩风格的
像发霉了
jiongyong
在吃草？
给我来一口
龙须酥（？）
看起来好像线面呀，哈哈
空气炸锅可以吗
好听
寄给我
龍酥糖的感覺！~
我以为是咸的()甜咸口想想就好吃，竟然纯甜
好像红米肠里面卷的那个东西
龙须酥
大笨钟
海草
真的好像我在解猫毛团
《八妹》
用馓子呢哈哈
他还是那么喜欢塞尔达
大地色
米粉干可以的，小时候过年，那种切成方块的米花糖，就有粉干口味的，超好吃！
浇点柠檬糖浆已经可以吃了
那可太开心了（）
爱了爱了
下次小心点
大胆预测，干脆面也可以！
试试韭菜花
青 草 蛋 糕
草方块！
想c
好治愈的声音
绿化带巧克力
我还以为是鸭血
大伟哥的声音
足球草皮
吃不到，不给
mc草方块
可以上手吃了
巧克力脑袋馋了。。好想吃
mc经过草地的声音
顺丰到付
寄我嘴里
tree tree的
快，炫我嘴里
不是你刚刚不是吃过了吗？
炫我嘴里
太像米粉了
米粉太香了
总想到ting di的baba
很炫酷
八妹做的真仔细
鲤鱼焙面 迪拜做法
鲤鱼烩面
别加绿色了吧这个色还好看点
我一个都不给你 因为你把我看饿了
馋鼠了
包邮吗
又骗我买模具(bushi
还是掰的好看
硬币已经投了 主播发什么快递（ ）
我一个硬币都不会给你，因为我没吃到
视频一开始看着还像香菜
可以用椰蓉丝替代？
水域加热法
试试喷壶喷？
这不就是巧克力威化么，脆脆鲨什么的
过分因为吃不着
国足巧克力
懒羊羊的巧克力青草蛋糕
水浴加热...
阿三薄荷酱
绿色风暴
奶丝糖
tree tree 的
新疆很早就有包着龙须酥的巧克力产品
感觉好好吃！
treetree的
没有刷到过.....
绿绿的草地
好想吃。。。
我仿佛隔着屏幕问到了焦香味儿
像海和海浪
包邮给我
要
变色油墨哈哈哈
怎么哪都有小灰毛（开拓者）
我以为是抹茶的
好治愈的声音
好看！我喜欢
《做流麻》
想吃
我也吃不到啊
好看
过分 你也没给你 我啊
up声音好温柔啊
为什么没戴手套
龙须酥（什么
哎……
巧克力味巴卡拉瓦？
确实好的抹茶也挺贵
tree tree的
这是操场吧？
过分，我没吃到
青草蛋糕
宝石之国的巧克力（
币有了
好想吃
哇还挺好看
马文杰给嘉然买一盒吧
求包邮
不戴手套 应该是自给自足
甜的腻
足球场
绿色 大伙儿喜欢的颜色
小草一样
其实就是米粉干
这得有多好吃啊
真的好像草皮
