标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
全国第1人，残障玩家用嘴打过黑神话虎先锋,阿铭铭丶,https://www.bilibili.com/video/BV1X1WredEdw,249.8万,9218,Not Found,52.3万,31.1万,52.3万,5.1万,"['黑神话天命人来也', '游戏', '单机游戏', '吹气', '正能量', '励志', '精彩集锦', '直播录像', '黑神话悟空', '残疾人', '动作游戏', '用嘴', '《黑神话：悟空》8.20 直面天命']",2024-08-25 21:01:55
“独属于中国人浪漫的彩蛋”,y极简,https://www.bilibili.com/video/BV1QLWoeaEBg,790.9万,4812,地图位置：第二回 黄风岭 不济谷  打完沙大郎后可以看见背后有一面摆满佛像的墙壁 变身成大头撞开墙壁即可进入彩蛋隐藏地图,78.3万,5.8万,78.3万,1.3万,"['影视', '影视剪辑', '彩蛋', '孙悟空', '黑神话悟空', '菩提祖师']",2024-08-24 12:28:31
黑神话摄影师 | 卧龙寺「虎先锋」海报级摄影【第二期】,可达波昂棒,https://www.bilibili.com/video/BV1GrsFeGEU1,244.6万,1901,"小伙伴说可以先拍一些大家讨论比较多的BOSS，那我这就来了。

1、摄影原图100%为up主自行拍摄。
2、展示图片有经过后期调整。
3、后期是因为摄影师的责任是将最好看的呈现给大家。
4、感谢游戏科学的坚持不懈，终于将我们中华文化展现了出来。
5、再次感谢游科的顶级美术！
5、为保证观看体验，建议大家横屏观看。",35.4万,6.4万,35.4万,3.1万,"['黑神话天命人来也', '游戏', '单机游戏', '悟空', '国产游戏', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', '游戏摄影', 'steam游戏', '游戏科学', '《黑神话：悟空》8.20 直面天命']",2024-08-24 22:34:39
此处禁飞，像武侠一样起舞吧！无伤小黄龙,里奥达芬奇,https://www.bilibili.com/video/BV18sWBeCES1,209.4万,4128,感谢,19.2万,11.2万,19.2万,5.5万,"['黑神话天命人来也', '游戏', '单机游戏', '单机游戏', '悟空', '游戏', '无伤', '黑神话悟空', '黑神话', '动作游戏', '小黄龙', '《黑神话：悟空》8.20 直面天命']",2024-08-25 12:09:48
大型记录片《英雄杨树朋》持续为你播出,孤独醒来,https://www.bilibili.com/video/BV1Wbs7e5EmH,138.4万,3656,-,37.5万,1.3万,37.5万,231,"['知识', '人文历史', '人文', '人物', '历史']",2024-08-26 18:33:52
相片漂流瓶之冰棍老头,老牛的Vlog,https://www.bilibili.com/video/BV1mf421e7yy,315.7万,2364,-,71.3万,9.7万,71.3万,1796,"['生活', '日常', '手工', '生活记录', '摄影']",2024-08-24 11:48:33
黑神话凭什么这么火,碎嘴企鹅,https://www.bilibili.com/video/BV1Bw4m167su,187.7万,3545,很荣幸能亲眼见证。,39.8万,7.7万,39.8万,6349,"['我玩黑神话悟空belike', '生活', '搞笑', '游戏', '生活记录', '高能', '主机游戏', '搞笑', '原创', '吐槽', '黑神话', '段子', '搞笑研究所2024 5.0']",2024-08-24 18:56:36
《原神》角色预告-「玛拉妮：最佳观光体验」,原神,https://www.bilibili.com/video/BV1LW421X7BZ,140.6万,7094,"一般来说，旅行向导、水上用品专卖店店主、冲浪高手，是三种不同的职业。
但在玛拉妮这，大家可以一次性、全部、畅爽体验。

中文CV：
玛拉妮——王晓彤
基尼奇——斑马
卡齐娜——静宸
 
日文CV：
玛拉妮——东山奈央
基尼奇——杉山纪彰
卡齐娜——久保百合花

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",17.7万,5.7万,17.7万,1.5万,"['游戏', '手机游戏', '玛拉妮', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-08-27 12:00:00
太突然了，全部随机毫无准备直接出国旅行！！【青春旅行团03】,小精灵real,https://www.bilibili.com/video/BV1B4421o7MT,99.2万,2.1万,"全！新！系！列！！《青春旅行团》第三期！！
随机一个人策划一期旅游，结果会是怎么样的？？？
一键三连，我们速速拍摄下一期拉！！！",16.1万,11.7万,16.1万,8453,"['值得纪念的一天', '生活', '日常', '搞笑', '美食', '日常', '生活记录', '生活', '旅游', '青春旅行团', '友情', '记录', '生活万花筒14.0-给生活的planB']",2024-08-27 18:40:00
憋笑大挑战看你能坚持几秒,大森子哈哈哈,https://www.bilibili.com/video/BV1P1421b782,436.1万,1426,8月颁奖典礼启动,17.6万,2.0万,17.6万,2.5万,"['生活', '搞笑', '生活记录', '娱乐', '抑郁']",2024-08-25 12:06:01
内部绝密视频首次公开？影视飓风900万粉丝Q&A！,影视飓风,https://www.bilibili.com/video/BV1Yf421e72c,253.6万,3.0万,没想到才过了4个月我们又900w粉丝了，非常感谢大家的关注和支持。快来看看这次关于公司、员工、内容，大家又提了什么怪问题吧！如果你喜欢这期节目，请多多支持我们，并将视频分享给朋友看看！让我们1000万见！,30.1万,20.1万,30.1万,9930,"['科技猎手', '科技', '数码', '4K', '职场', '高能', 'Q&A', '员工', '工作', '粉丝', '年会', '问题', '科技猎手2024第2季']",2024-08-24 20:00:00
有人遗憾有人圆满,阿宅寒星星,https://www.bilibili.com/video/BV1pM4m1a79s,290.0万,3356,-,36.0万,1.4万,36.0万,5519,"['原创搞笑剧情', '生活', '搞笑', '生活记录', '校园', '爱情', 'BILIBILI金电视奖']",2024-08-24 18:36:52
我建议延迟开学2,谢谢艺,https://www.bilibili.com/video/BV16VWkeqEHQ,140.8万,1402,-,32.6万,1.0万,32.6万,2.0万,"['开学前的精神状态', '生活', '搞笑', '原创', '开学', '搞笑', '校园', '动感潮玩迎新会', '大学生', '学生', '高中']",2024-08-25 18:22:56
令人恐惧！正式揭开灵吉菩萨的真面目【黑神话悟空】震撼解读02,未知老D,https://www.bilibili.com/video/BV19rWzeDEsi,299.6万,6928,"爆肝第二章~这次不想再凉了
希望大家能三连加热一波~",11.3万,3.1万,11.3万,1.4万,"['黑神话天命人来也', '游戏', '单机游戏', '单机游戏', '孙悟空', '西游记', '游戏杂谈', '黑神话悟空', '《黑神话：悟空》8.20 直面天命']",2024-08-25 17:39:14
【星穹夏日联欢盛典】欢迎来到 匹诺康尼基金会！,哈米伦的弄笛者,https://www.bilibili.com/video/BV1Xz421e7m6,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
为了让大家多喝水，我做了这个…,老师好我叫何同学,https://www.bilibili.com/video/BV1N1421b7NL,172.6万,2054,-,22.3万,2.0万,22.3万,3830,"['影石Insta360', '生活', '日常', '何同学', '拇指相机GO3S']",2024-08-27 18:00:00
火了,小砍丶,https://www.bilibili.com/video/BV1FH4y1F7Es,177.7万,1.2万,"游戏规则：
一共26张道具牌 13张再来一次牌
谁的卡先翻完谁就输
一共有三种卡牌
再来一次（重新在翻一张卡
普通卡牌（没有效果
道具卡牌（获得道具
---------------------------------------
道具卡牌：
撬棍（顺手牵羊 拿走对方的道具
灭火器（刷新一张翻开的卡牌
望远镜（偷看一张卡牌
斧头（消灭一张卡牌
油桶（烧掉对方一张卡牌
感谢点开这个视频，看完觉得不错的话就点个赞！
投币分享收藏这个视频可以让更多观众看到我！",14.2万,4.7万,14.2万,1443,"['推荐宝藏游戏', '游戏', '单机游戏', '搞笑', '恐怖', '奇葩', '猎奇', 'Arsonate', '卡牌游戏', '沙雕', '挑战', '小砍']",2024-08-25 12:00:00
（这也能解说？！）爆燃！我的温度在你之上！热血陀螺大赛【8】,Super也好君,https://www.bilibili.com/video/BV1dM4m1a789,149.0万,2.4万,第八期终于来了！！！万众瞩目的激燃对决！！快来支持你喜欢的选手吧！,11.6万,5.5万,11.6万,5985,"['教育优惠真香', '生活', '搞笑', '童年', '解说', '陀螺', '这也能解说', '热血', '大学生', '教育优惠', 'Super也好君', '哔哩哔哩开学季', 'up！新学期']",2024-08-25 12:00:00
《旋转墓马》,伤心欲茄222,https://www.bilibili.com/video/BV18f421i7vk,181.7万,1552,素材：元气耀耀,28.1万,9269,28.1万,8096,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-08-26 17:58:49
《陕 北 说 鼠》,老坚果然翁,https://www.bilibili.com/video/BV1dT421B7Ro,123.0万,664,Not Found,16.2万,2.1万,16.2万,2.2万,"['黑神话天命人来也', '动画', '综合', '游戏', '动画短片', '搞笑', '猫和老鼠', '黑神话悟空', '综合', '陕北说书', '《黑神话：悟空》8.20 直面天命']",2024-08-25 11:40:00
