夫妻双双把家还
二凤
史密斯夫妇
幽默黄忠
李信：不是哥们儿
元流之子 ：我熟
这下看懂了
qp！！！
牢布返场
坦克杀手要配光棱才比较厉害（
朕的晚膳来了
没带斩杀（不是）
降低一倍等于零
有蔡文姬我也不敢开单
裹甲衔枚，劫营如入无人之境！
这黄忠绝对是德华的表兄弟
坦克看了直呲牙笑  (doge)
朵莉亚∶
牢信也干了
坠机了牢凯
蔡文姬：呱
牢布：也是坠机了孩子们
蔡文姬：6
这波应该算真空斩，因为不是哪吒，当然也是有效斩杀，就是性价比低
斩杀补输出，细节（doge）
幽默换装
谈笑间空个斩杀
其实那个是光信，一小撮才是暗信
幽默幽默哥
斩杀只要斩到了，就不是空斩！别随便乱刷
谈笑间空斩哥户口本上就剩一人了
吕布，你眼光不错，貂蝉，很润
谈笑间又空一个斩杀
日常空斩小鬼
谈笑间出来个空斩哥
谈笑间又空一个斩杀
牢布胜率不常年这样吗
蔡文姬：这力量不属于你
那改成大招转两圈，然后伤害稍微降低一点行不行？
控制时间都一半了鱼才交大
这个不行
死了（可汗声线）
这不就是之前被废除的专精装吗
貂蝉:老公我特么来啦
核心出装：蔡文姬
达奋改法
你这样不行，直接六次平A可以把对手装备全部弃置
错在不抢线，非要打人
失误在没出攻速匕首
王者荣耀设计师！！
《226》
别说了，今晚连跪，牛马策划就这样，骂的不冤
ban率倒也还挺高
因为没先清兵）
闪现似乎可以省哎，我和白起打有时候追不上就看他方不方便用二技能拉我一把
大完蔡文姬也奶完
起猛了，白起单杀吕布了
细节250金币
黄忠ID神秘奇男子
反正我敢，玩吕布怂什么
3分37秒
裹甲衔枚，劫营，如入无人之境！
吕布1技能劈到人没加攻速不好打。
经典寿衣
没带斩杀
牢信：Ohye~
孩子们，光信也牢死了
太好了，辅助卢布指日可待啊（前途一片光明）
那直接全是眩晕辅助吕布
坦克荣耀的意思是坦野出肉不如刺客出肉，太坦克
这里一个斩杀包赚的啊
《双飞》确定了
加一个牢司命吕布就开大了，但是是牢凯
《前典韦》
吕布是传统坦克杀手，对回血坦克。。。
真正的坦克克星
来个净化马克就老实了。
附魔自带重伤效果就行了
少了几个暴击（）
丢人杀手
在红警里面：坦克杀手也叫丢人杀手
谈笑间牢布跳进海月的小黑屋了
丢人杀手
人机局
那基本就直接出肉。靠大招回血和盾硬扛。
哎呀 牢布加牢铠，这把有了
那施法时间呢，那么长，一样躲得了，伤害还低了
这不是源流之子
现在老布有伤害吗？还有个蔡文姬顶多打完对面还剩个半血
没用，这样真一个人都跳不到了
弟中之弟
空斩哥估计连空是什么意思都不知道
符合若之策划的幽默大路线，指加技能使用次数，都有点像是个英雄更新就加次数了
辅助吕布狂喜
活人笑声
平a减1技能cd
没伤害这边还有回血
孩子们，等我破军可以吗
?亚连
感觉三年前看过，当时玩八戒打真伤夫妇也是这个效果
那就打辅助吧，稳定控制加封走位，前面说的对
马可b罗稳定发挥
牢信：幽默
确实，白起都20星了
幽默小满
他的老婆（指正）
空牛魔斩，斩杀打到伤害就行，为什么一定要盯着减54秒冷却不放
懂了，铁根玩的是老布
制裁一出游戏结束
现在是真坦克，荣耀打野都出肉了
《迪克杀手》
都这样了还不出制裁梦魇？
失误在选了坦克杀手
那倒不用，把吕布的真伤上限取消，想想四，5000暴击真伤的
吕布伤害怎么这么低？好长时间没玩儿了，以前一刀两多的真伤
顺风就不会出现
我觉得应该取消前摇直接跳就好了
大招改成跳过去制造地形
白起是少数可以和吕布硬刚的吧……
盲猜又有私权甲的空斩哥
有朵莉亚直接变4个
错在没带斩杀
吕布不强求啥：一技能后摇删了，减点大招前摇时间就行
果然又炸出来一堆私木空斩哥
没带斩杀
云璃：确实挺不错的。
裹甲衔枚，劫营如若无人之境！
吕布现在硬抗2刀都能反杀
怎么不玩红警也来了
幽默幽默哥，跑了又说海月不开大
丢人杀手
昨日之仇，如芒在背
暗信就不是李信啦？没光信他连40都没有
坦克，杀手
坦杀要和灰熊打配合
打不过也正常
对面吕布名字:神秘奇男子
笑死我了，这是看不到二吗
吕布一级是这样的
当年我还没出生呢
日常打个牢布
类似神鲁肃抢地主，问地主失误在哪
“丢人杀手”
丢人杀手
视频第二天前来考古
这波应该带斩杀
牢布还在憋破军
真的能吸哈哈哈
确实挺不错的
策划:能不能圈钱，不能的话还不如我出个皮肤
选个哪吒出红莲你就老实了
因为白起是步兵
蔡文姬:开麦开麦！
谈笑间空斩哥撕了劝架
南蚌
来了
尽力了尽力了
孤单边：我勒个辅助吕布啊
似进入无人境（
可以學學我們傳說對決，二技能吸到就附魔
这把对面四个坐牢人
第一眼红警
吕布敢跟白起近身，应该打消耗。一
这个地方不补伤害死不掉？
裹甲衔枚，劫营如入无人之境
吕布把数值稍微回调一下。下水道第一就是李信
空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀
空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀空斩杀
赏析此处！与～的作用（4分）
哈哈哈哈哈哈哈哈哈
