《绿管》
似曾相识燕归来
其实能看出来废稿君本身并没有敌意
早些年间阿婆主做视频的时候，
等等，才发现不是短片！
特效库限时免费是吧
耀眼的光，使火柴人不再平面
这就是在电脑里的视角吗？
左上角:就是想等一个机会
*对创作者的认可就是他们最大的鼓励！！！！！！！
论谷歌球的一百种玩法
把那些没有用的东西清理掉之后变快了
alan真实目的是教我们做视频（确信
再临学完几何回来魔怔了(
《伪柴》
red看不见的真实原因：小蓝不是空心头（
金发小蓝限时返场
注意这里有《黑神话：悟空》
动画师VS剪辑师
这就是我们的热血沸腾组合技啊！
",我以前也这么量过hhh"
视 频 的 由 来
电脑：我承受了我这年纪不该承受的东西
篮筐登场
程序，代码就是这么写的
众所周知，回收站才是最牛逼的。
再临大战green（雾
看了Alan也知道黑猴了
翻译：内存不足，请谨慎操作（大概）
变三维了！
yellow特有的天选行为（）
Green：吃我一记头槌！
五色：666这个入是桂
我嘞个分身啊
快请天选老祖！
黄蓝移篮球架hhh
概念神回收站
red的手手挡镜头了哈哈哈哈可可爱爱
神秘的东方文字（上面）
我的green啊！这一下看着好痛！
him：这个我熟
我要是也有这种效率就好了……
red宝宝会为了朋友而上前！好宝宝
性别不重要，blue女的好磕，男的……更好磕！
黑神话：吗喽
这个视频B站上有！还是GreenStickFigure本人发的！
格绿扎
green来帮我剪视频吧（哭
刀法精准
笑点解析《黑神话悟空的推荐》
真的特别像新年的手机广告hhh
《电视人》
我内个虚化犬啊
左上角神秘东方文字
再临的头↓
黑神话：悟空
我靠 小绿也有大号了
《綠幕》
注：小绿的办法是把视频放进回收站再清空，这样就能防止发生灾难
真•绿幕
我勒个V总的技能
yellow立大功！（黄厨狂喜）
黑神话悟空哎！
伏笔？
黑神话悟空瞩目
《黑火柴•小绿》
视频小伙立正了
出现了！Green的大号！
注：这个账号是真的
鼠标老登！！！
alan团队开始进行场景3D化了！
黑神话：悟空
黑神话悟空的神级排面
《黑神话：悟空》
记住这一段，后面要考
大力小猫晃锤子萌
谷歌:我吃柠檬
爸爸（反正没人能看见）
啊啊啊黄蓝好可爱！
垂死病中惊坐起，阎王夸我好身体
冷色开饭
垂死病中惊坐起，阎王夸我好身体
那3000加的人呢
黑神话悟空打钱！
临蓝两个宝宝好萌
阎王夸我好身体
垂死病中惊坐起，阎王夸我好身体
herobrine：6
影 流 之 主
你猜回收站为什么是高清的
mc!!!!!
垂死病中惊坐起，阎王夸我好身体
太对了
《火柴人两千连弹》
如果打歪了的话，那就是另一个事
格里扎
《奥特曼打怪兽》
装逼给你飞起来
疑似最美天选
Alan：我吃柠檬
终于…终于…终于更新了！
AB柴要拍大电影是指这个大电影啊！
头锥指导，炭治郎
哦不，
ooooo—red的打击力量感好强
丸辣
小馋猫
布豪！
绿斯拉
Alan:想不到吧我其实不用剪他们会帮我
锁屏可打
黑神话：悟空
YouTube：Huh？
谷歌：谢谢嗷
黑暗领主
谷歌：我没惹你们任何人
谷歌：我上早八
谷歌：我吃柠檬
神器出现了！是回收站！
bgm幽灵行者即视感（
绿巨人
dude  perfect
哈哈哈好活泼
为什么只是小绿不是五色组啊
文化输出已经这么猛烈了吗？黑神话悟空唉
真·机绿
him：6
垂死病中惊坐起，阎王夸我好身体
回收站：我的代码在你身上
卡威！！！
轻轻敲醒沉睡的心灵
Alan辛苦了！
迫真特效
哇，就是这个账号
鬼故事：进度条
《绿幕》
再临可爱捏
不是吧，这我刚刷到的老主出的视频吗？
Wc?
你看，坚守者下面那个视频写着bilibili
感觉每次看Alan的视频都好幸福啊
这个剪辑过程看得我一楞一楞的
2:26am好家伙凌晨在电脑里打架
赛博剪辑
火柴人，电视人
啥时候更火柴人vs动画师11集
帅
小绿的账号
剪辑大师
削除（）
上成果
啊？
哈哈哈哈哈哈…什么鬼……
666 房主有神器
笑死，red就是被群殴的命
忽略了我的世界
绷不住了
把视频删除了不就行了吗
在视频里面做视频
论alan有多少钱换电脑
你我兄弟二人齐上，焉有一合之将？
受害者：？
这边建议加一个文件太大，无法直接删除
好涩的blue
回收站：我的程序在你之上
拉丝出场好涩
啊喵喵喵
那个好茶组开饭是认真的吗
笑点解析，屏蔽一个惊坐起就全没了
Monkey brother~Monkey brother~
好激烈
黑神话悟空
这集的Green终于不光挨打了
垂死病中惊坐起，阎王夸我好身体。
注意进度条
垂死病中惊坐起，阎王夸我好身体
Adobe Premiere Pro 的系统内存非常低。请保存您的项目和项目并谨慎操作
《黑神话·马喽》
致敬传奇回收站
！     评论区里有小绿的账号ರ_ರ 心塞
评论区小绿的账号啊亲
我看到的时候以为是同人
我们老师：黑魔法悟空
评论区里有小绿的账号！
垂死病中惊坐起，阎王夸我好身体
评论区里有一个小绿的号
注意看，评论区里有一个真的小绿
《天选·green版》
野生OPPO A5（bushi）
素材库现实免费
笑死了啊啊啊哈哈哈哈哈
盲猜费搞搞事
记住刚刚这段连招
